Orthogroup	C_amplexicaulis	S_parvula
OG0002256	Caamp.0076s0161	Sp5g27420
OG0002256	Caamp.0024s0227, Caamp.0046s0257	Sp1g15430
OG0002257	Caamp.0006s0030	Sp5g33550
OG0002257	Caamp.0024s0245, Caamp.0046s0236	Sp1g15220
OG0002258	Caamp.0076s1397	Sp4g25980
OG0002259	Caamp.0024s0501, Caamp.0026s0584, Caamp.0035s0023	SpUn0400_0010
OG0002260	Caamp.0052s0033, Caamp.0024s0513	Sp1g06690
OG0002260	Caamp.0024s0512, Caamp.0052s0032	Sp1g06680
OG0002261	Caamp.0026s0116, Caamp.0052s0247, Caamp.0026s0095, Caamp.0026s0208, Caamp.0026s0140	Sp3g23090
OG0002262	Caamp.0006s0469, Caamp.0026s0114, Caamp.0026s0113, Caamp.0026s0112, Caamp.0006s0468, Caamp.0076s0253	Sp5g28680
OG0002263	Caamp.0026s0240, Caamp.0026s0413	Sp5g14640
OG0002264	Caamp.0026s0269	Sp2g25610
OG0002264	Caamp.0005s0250	Sp5g14410
OG0002265	Caamp.0033s0038	Sp2g25730
OG0002265	Caamp.0005s0284, Caamp.0026s0301	Sp5g14140
OG0002266	Caamp.0005s0348, Caamp.0026s0362	Sp5g13540
OG0002267	Caamp.0078s0126, Caamp.0026s0527	Sp5g11630
OG0002267	Caamp.0027s0049	Sp1g33470
OG0002268	Caamp.0093s0193, Caamp.0026s0559	Sp3g30950
OG0002269	Caamp.0026s0560	Sp3g30930
OG0002270	Caamp.0060s0039, Caamp.0093s0196, Caamp.0026s0561	Sp4g09720
OG0002271	Caamp.0093s0198, Caamp.0026s0563	Sp3g30910
OG0002272	Caamp.0093s0205, Caamp.0026s0571	Sp3g30830
OG0002273	Caamp.0046s0024, Caamp.0026s0791, Caamp.0097s0032, Caamp.0052s0556	Sp1g41700
OG0002274	Caamp.0266s0004, Caamp.0303s1106	Sp2g00910
OG0002275	Caamp.0027s0022	Sp1g32760
OG0002276	Caamp.0004s0038, Caamp.0027s0096, Caamp.0027s0094	Sp1g34010
OG0002277	Caamp.0028s0196	Sp6g06115
OG0002277	Caamp.0028s0195	Sp6g06120
OG0002278	Caamp.0052s0338, Caamp.0028s0269	Sp6g05270
OG0002279	Caamp.0095s0230	Sp7g16390
OG0002279	Caamp.0003s0762	Sp2g11670
OG0002280	Caamp.0003s0788	Sp7g16710
OG0002280	Caamp.0095s0203, Caamp.0003s0789	Sp7g16720
OG0002281	Caamp.0303s0568	Sp1g06770
OG0002285	Caamp.0049s0013, Caamp.0032s0048	Sp6g09440
OG0002286	Caamp.0084s0009	Sp5g34680
OG0002286	Caamp.0037s0001	Sp1g41910
OG0002287	Caamp.0078s1164	Sp3g11660
OG0002287	Caamp.0037s0073, Caamp.0046s0072	Sp1g41120
OG0002288	Caamp.0078s1219	Sp3g12220
OG0002289	Caamp.0076s0570	Sp1g40470
OG0002289	Caamp.0046s0135, Caamp.0046s0136	Sp1g40480
OG0002290	Caamp.0040s0212	Sp1g39950
OG0002291	Caamp.0037s0219, Caamp.0040s0245	Sp1g39620
OG0002292	Caamp.0040s0281, Caamp.0037s0254	Sp1g39300
OG0002294	Caamp.0046s0034, Caamp.0040s0266	Sp7g35030, Sp7g35020
OG0002295	Caamp.0094s1032	Sp7g26080
OG0002295	Caamp.0444s0003	Sp2g09760, Sp3g34170
OG0002296	Caamp.0006s0625, Caamp.0064s0092	Sp5g34060
OG0002296	Caamp.0046s0195	Sp1g14840
OG0002297	Caamp.0046s0358, Caamp.0068s0054	Sp1g30490, Sp1g30480, Sp7g05270
OG0002298	Caamp.0047s0034	Sp5g17560
OG0002299	Caamp.0005s0047, Caamp.0097s0105	Sp5g16710, Sp5g16720, Sp5g16690
OG0002300	Caamp.0005s0082, Caamp.0097s0134	Sp5g16320
OG0002301	Caamp.0005s0152, Caamp.0005s0151, Caamp.0097s0215, Caamp.0097s0216	Sp5g15530, Sp5g15540
OG0002302	Caamp.0097s0226, Caamp.0005s0166	Sp5g15370
OG0002303	Caamp.0005s0190, Caamp.0097s0255, Caamp.0097s0254, Caamp.0005s0188	Sp5g15030
OG0002304	Caamp.0077s0086, Caamp.0076s1056, Caamp.0051s0250, Caamp.0077s0085	Sp2g14220, Sp2g14230
OG0002305	Caamp.0052s0283	Sp3g24510, Sp3g27120, Sp1g30880, Sp4g07510, Sp6g11810
OG0002306	Caamp.0054s0040	Sp5g06790
OG0002306	Caamp.0099s0049, Caamp.0097s0892, Caamp.0076s1266, Caamp.0076s1267	Sp5g06780
OG0002307	Caamp.0097s0748, Caamp.0058s0128, Caamp.0064s0431	SpUn0117_0020, Sp4g10480, Sp2g07630
OG0002308	Caamp.0058s0132	Sp1g14190
OG0002309	Caamp.0064s0213	Sp5g32770
OG0002309	Caamp.0006s0099	Sp5g32780
OG0002310	Caamp.0064s0250, Caamp.0064s0249	SpUn0984_0010
OG0002310	Caamp.0006s0139	SpUN0984_0020, Sp5g32240
OG0002311	Caamp.0064s0252, Caamp.0006s0141	Sp5g32220
OG0002312	Caamp.0006s0162, Caamp.0064s0274	Sp5g31970
OG0002313	Caamp.0006s0165	Sp5g31940
OG0002313	Caamp.0006s0166, Caamp.0064s0277	Sp5g31920
OG0002314	Caamp.0064s0319	Sp1g18510
OG0002314	Caamp.0006s0202	Sp5g31560
OG0002315	Caamp.0006s0419	Sp5g29230
OG0002315	Caamp.0076s0305	Sp5g29240
OG0002316	Caamp.0064s0063	Sp5g34410
OG0002317	Caamp.0006s0695, Caamp.0064s0005	Sp5g34810
OG0002319	Caamp.0064s0629	Sp1g35080
OG0002319	Caamp.0099s0040, Caamp.0095s0699	Sp5g06880
OG0002320	Caamp.0007s0479	Sp5g29380
OG0002321	Caamp.0085s0050	Sp2g12470
OG0002321	Caamp.0076s0876	Sp7g17010
OG0002322	Caamp.0078s0192	Sp5g11050
OG0002323	Caamp.0095s0946	Sp5g09520
OG0002323	Caamp.0078s0347	Sp5g09510
OG0002324	Caamp.0078s0397, Caamp.0095s0794	Sp5g07890
OG0002325	Caamp.0095s0902, Caamp.0078s0504	Sp5g09020
OG0002326	Caamp.0095s0749, Caamp.0078s0546	Sp5g07410
OG0002327	Caamp.0095s0737	Sp5g07290
OG0002327	Caamp.0095s0739, Caamp.0078s0556	Sp5g07310
OG0002328	Caamp.0078s1104	SpUn0417_0010, SpUn0005_0170
OG0002329	Caamp.0079s0012	SpUn0399_0030
OG0002329	Caamp.0095s1292	Sp3g33150
OG0002330	Caamp.0095s1312	Sp3g33320
OG0002331	Caamp.0095s1377	Sp5g30340
OG0002331	Caamp.0079s0094	Sp3g34030
OG0002332	Caamp.0097s0994, Caamp.0089s0002, Caamp.0089s0001	Sp7g07070
OG0002333	Caamp.0095s0041, Caamp.0090s0022	Sp7g14350
OG0002334	Caamp.0094s0896	Sp7g27430
OG0002334	Caamp.0093s0013	Sp3g32950
OG0002335	Caamp.0095s1230, Caamp.0093s0069	Sp3g32370
OG0002336	Caamp.0093s0083	Sp3g32210
OG0002337	Caamp.0095s1209	Sp3g32080
OG0002337	Caamp.0093s0091, Caamp.0095s1210	Sp3g32090
OG0002338	Caamp.0093s0112	Sp3g31800, SpUn0030_0030
OG0002339	Caamp.0093s0113, Caamp.0095s1185	Sp3g31790, SpUn0030_0040
OG0002340	Caamp.0095s0082	Sp7g14770, SpUn0581_0010, SpUn0786_0010, SpUn0413_0010, SpUn1305_0010
OG0002341	Caamp.0099s0058, Caamp.0095s0680	Sp5g06700
OG0002342	Caamp.0097s0229	Sp1g38550, Sp1g38500, Sp1g34580, Sp5g08540, SpUn1948_0010, Sp5g15270
OG0002343	Caamp.0097s0780, Caamp.0097s0781, Caamp.0097s0455	Sp7g04030
OG0002356	Caamp.0001s0001, Caamp.0085s0006, Caamp.0076s0835	Sp2g12060
OG0002357	Caamp.0001s0022	Sp2g11840, Sp1g25230
OG0002358	Caamp.0095s0227	Sp7g16450
OG0002358	Caamp.0076s0809, Caamp.0001s0025	Sp2g11800
OG0002359	Caamp.0001s0054, Caamp.0076s0787	Sp2g11520, SpUn0036_0090
OG0002360	Caamp.0076s0786	SpUn0036_0100, Sp2g11510
OG0002361	Caamp.0076s0772, Caamp.0001s0068	Sp2g11370
OG0002362	Caamp.0105s0254, Caamp.0001s0089, Caamp.0045s0019	Sp4g14460
OG0002363	Caamp.0001s0096, Caamp.0001s0093, Caamp.0076s0746	Sp2g11130
OG0002364	Caamp.0001s0095	Sp6g34820
OG0002364	Caamp.0076s0747	Sp2g11140
OG0002365	Caamp.0076s0668, Caamp.0001s0167, Caamp.0190s1014	Sp2g10360
OG0002366	Caamp.0076s0626, Caamp.0001s0207, Caamp.0076s0625, Caamp.0018s0077	Sp4g27000
OG0002367	Caamp.0076s0614, Caamp.0001s0214	Sp2g09670
OG0002368	Caamp.0001s0227, Caamp.0026s0675, Caamp.0076s0597, Caamp.0001s0258	Sp2g09540
OG0002369	Caamp.0001s0241	Sp2g09410
OG0002370	Caamp.0001s0245	Sp2g09370
OG0002371	Caamp.0061s0036, Caamp.0001s0270	Sp7g11230
OG0002371	Caamp.1039s1567	Sp3g21940
OG0002372	Caamp.0012s0113, Caamp.0010s0336	Sp7g10440
OG0002373	Caamp.0013s0139, Caamp.0088s0019, Caamp.0001s0357, Caamp.0050s0016	Sp7g09990
OG0002374	Caamp.0008s0133, Caamp.0010s0037, Caamp.1040s1103	Sp4g05700
OG0002375	Caamp.0010s0083, Caamp.1039s0433	Sp4g04880
OG0002375	Caamp.0024s0429	Sp2g01400, Sp1g05910
OG0002376	Caamp.1039s0435	Sp4g04900
OG0002376	Caamp.0010s0088	Sp4g15170
OG0002377	Caamp.0010s0090, Caamp.1039s0436	Sp4g04940
OG0002378	Caamp.0010s0094, Caamp.1039s0428	Sp4g04790
OG0002379	Caamp.0026s0811	Sp3g26840
OG0002379	Caamp.0020s0031, Caamp.0010s0095	SpUn0001_0050, Sp6g06510, Sp4g09840
OG0002380	Caamp.0190s0346	Sp7g24720
OG0002380	Caamp.0010s0110, Caamp.0026s0812	Sp2g29660
OG0002381	Caamp.0010s0116	Sp4g04370
OG0002382	Caamp.0010s0118	Sp4g04360
OG0002383	Caamp.1039s0377, Caamp.0010s0139, Caamp.0011s0145	Sp4g04090
OG0002384	Caamp.0010s0163	Sp4g03560
OG0002385	Caamp.0010s0164, Caamp.1039s0319	Sp4g03550
OG0002386	Caamp.0010s0168	SpUn0003_0080
OG0002387	Caamp.1035s0008, Caamp.0010s0189	Sp2g04390, SpUn0426_0010
OG0002388	Caamp.0010s0193	Sp4g03290
OG0002388	Caamp.0094s0757	Sp7g28890
OG0002389	Caamp.0094s0795	Sp7g28480
OG0002391	Caamp.0007s0394, Caamp.0010s0277, Caamp.1039s0204	Sp4g02330
OG0002393	Caamp.0010s0294	Sp4g02110
OG0002394	Caamp.0010s0324	Sp3g22710
OG0002395	Caamp.0035s0025, Caamp.0052s0008, Caamp.0013s0035, Caamp.0101s0019	Sp4g11590
OG0002396	Caamp.0024s0487	Sp1g06480
OG0002396	Caamp.0013s0046, Caamp.0101s0028	Sp4g11490
OG0002397	Caamp.0066s0053, Caamp.0101s0038, Caamp.0013s0057	Sp4g11380
OG0002398	Caamp.0013s0085, Caamp.0101s0059	Sp4g11110
OG0002399	Caamp.0097s0737, Caamp.0101s0106	Sp4g10630, Sp4g10640
OG0002400	Caamp.0097s0744, Caamp.0101s0114, Caamp.0101s0116	Sp4g10520
OG0002401	Caamp.0101s0138	Sp3g24440
OG0002401	Caamp.0064s0512	SpUn0651_0010
OG0002402	Caamp.1027s0254, Caamp.0101s0167	Sp7g34840
OG0002403	Caamp.0101s0169, Caamp.0048s0008	Sp3g24760
OG0002404	Caamp.0048s0013	Sp3g24880
OG0002405	Caamp.1031s0291, Caamp.0102s0002	Sp4g22850, SpUn0061_0060
OG0002407	Caamp.1031s0254, Caamp.0102s0028	Sp4g22570
OG0002408	Caamp.0102s0038, Caamp.1031s0245	Sp4g22480
OG0002409	Caamp.1031s0241, Caamp.0102s0043	Sp5g18230, Sp4g22440
OG0002410	Caamp.0102s0111, Caamp.1031s0169	Sp4g21720, Sp4g21730
OG0002411	Caamp.1031s0161, Caamp.0102s0118	SpUn0018_0020, Sp4g21650
OG0002412	Caamp.1031s0158, Caamp.0102s0120	SpUn0018_0050, Sp4g21620
OG0002413	Caamp.1031s0157, Caamp.0102s0121	SpUn0018_0060, Sp4g21610
OG0002414	Caamp.1031s0156, Caamp.0102s0123	Sp4g21590, SpUn0018_0080
OG0002415	Caamp.1031s0155, Caamp.0102s0124	SpUn0018_0090, Sp4g21580
OG0002416	Caamp.0102s0125, Caamp.1031s0154	Sp4g21570, SpUn0018_0100
OG0002417	Caamp.0102s0126, Caamp.1031s0151	SpUn0018_0120, Sp4g21550
OG0002418	Caamp.0102s0127, Caamp.1031s0150	Sp4g21540, SpUn0018_0130
OG0002419	Caamp.1031s0136, Caamp.0102s0139, Caamp.0102s0140	Sp4g21410
OG0002420	Caamp.1031s0135, Caamp.0102s0142	Sp4g21400
OG0002421	Caamp.0102s0147, Caamp.0078s0375, Caamp.0095s0773, Caamp.1031s0131	Sp4g21340
OG0002422	Caamp.0076s1409, Caamp.0102s0151	Sp4g25820
OG0002423	Caamp.0044s0248, Caamp.0102s0167, Caamp.1031s0117	Sp4g21210
OG0002424	Caamp.1031s0115, Caamp.0102s0169	Sp4g21190
OG0002425	Caamp.0102s0205	Sp4g20770
OG0002425	Caamp.1031s0080	Sp3g07230
OG0002426	Caamp.0102s0206, Caamp.1031s0079	Sp4g20760
OG0002427	Caamp.0102s0409	Sp4g17010
OG0002427	Caamp.0105s0656	Sp4g18670
OG0002428	Caamp.0095s0957	Sp5g09600
OG0002428	Caamp.0102s0426	Sp4g18470
OG0002429	Caamp.0190s0986, Caamp.0105s0624	Sp4g18310
OG0002430	Caamp.0105s0552, Caamp.0031s0006, Caamp.0102s0516	Sp4g17480
OG0002431	Caamp.0102s0550	Sp4g17190
OG0002432	Caamp.0102s0553	Sp4g17140
OG0002433	Caamp.0105s0505	Sp4g17060
OG0002434	Caamp.0102s0615, Caamp.0105s0447	Sp4g16480
OG0002435	Caamp.1039s1030, Caamp.0102s0618, Caamp.0105s0444, Caamp.0051s0295	Sp3g16540
OG0002436	Caamp.0105s0435, Caamp.0102s0628, Caamp.0105s0434	Sp4g16370
OG0002437	Caamp.0105s0397	Sp4g16010
OG0002437	Caamp.0102s0661	Sp1g32060
OG0002438	Caamp.0028s0204, Caamp.0102s0736	Sp6g06010
OG0002439	Caamp.0102s0757	Sp6g06230
OG0002439	Caamp.0190s0660, Caamp.0003s0277	Sp7g21570
OG0002440	Caamp.0102s0789	Sp6g06450
OG0002440	Caamp.0028s0166	Sp7g21870
OG0002441	Caamp.0102s0810, Caamp.0028s0150	Sp6g06710
OG0002442	Caamp.0028s0126, Caamp.1033s0889, Caamp.0102s0836	Sp6g06980
OG0002443	Caamp.0102s0861, Caamp.0028s0099	SpUn0121_0020, Sp6g07290
OG0002444	Caamp.0102s0869, Caamp.0028s0093, Caamp.0028s0092	Sp6g07430
OG0002445	Caamp.0102s0872, Caamp.0007s0315, Caamp.1033s0932	Sp1g29070
OG0002447	Caamp.0102s0949	Sp6g08590
OG0002448	Caamp.0028s0018, Caamp.0102s0957	Sp6g08660
OG0002449	Caamp.0214s0463, Caamp.0102s0998, Caamp.0303s0117	Sp2g07670
OG0002450	Caamp.0102s1000, Caamp.0028s0004	Sp6g09010, Sp6g09020
OG0002451	Caamp.1027s0012, Caamp.0059s0140, Caamp.1041s1170	Sp7g37520
OG0002452	Caamp.0059s0136, Caamp.1027s0016	Sp7g37470
OG0002452	Caamp.0044s0001	Sp4g00010
OG0002453	Caamp.1027s0032	Sp7g37300
OG0002453	Caamp.0105s1047	Sp7g32910
OG0002454	Caamp.0094s0024	Sp7g36850
OG0002454	Caamp.1027s0073	Sp7g36840
OG0002455	Caamp.1027s0127, Caamp.0094s0077	Sp7g36220
OG0002456	Caamp.1027s0169	Sp7g35820
OG0002456	Caamp.0094s0115	SpUn0131_0010
OG0002457	Caamp.1027s0179, Caamp.0094s0125	Sp7g35700
OG0002458	Caamp.0094s0181, Caamp.1027s0211, Caamp.0073s0028	Sp7g35330
OG0002459	Caamp.0089s0024	Sp7g35300
OG0002460	Caamp.1039s0179, Caamp.0094s0176, Caamp.1027s0215	Sp7g35280
OG0002462	Caamp.1027s0231	Sp6g35960
OG0002462	Caamp.0094s0161	Sp7g35130
OG0002463	Caamp.1027s0243, Caamp.0094s0190	Sp7g34950
OG0002464	Caamp.0094s0208, Caamp.1027s0263	Sp7g34760
OG0002465	Caamp.0094s0219, Caamp.1027s0269	Sp7g34670
OG0002465	Caamp.1039s0219	Sp4g02490
OG0002466	Caamp.1027s0279, Caamp.0094s0226	Sp7g34580
OG0002467	Caamp.1031s0062	Sp4g20610
OG0002467	Caamp.0105s0551	Sp4g17470
OG0002468	Caamp.1031s0167	Sp4g21710
OG0002468	Caamp.0095s0734	Sp5g07260
OG0002469	Caamp.1031s0320, Caamp.0076s1654	Sp4g23180
OG0002470	Caamp.1031s0324, Caamp.0076s1651	Sp4g23210
OG0002471	Caamp.0076s1596, Caamp.1031s0375	Sp4g23770
OG0002472	Caamp.0076s1547	Sp4g24290, Sp4g24300
OG0002473	Caamp.0105s0212, Caamp.0013s0230, Caamp.0013s0283, Caamp.1031s0438	Sp4g24500, Sp5g13700
OG0002474	Caamp.0076s1516, Caamp.1031s0451	Sp6g02310, Sp4g24640
OG0002475	Caamp.0076s1487, Caamp.1031s0476, Caamp.0105s0267	Sp4g24930
OG0002476	Caamp.0076s1464, Caamp.1031s0496, Caamp.0027s0005	Sp4g25160
OG0002477	Caamp.1031s0508	SpUn0921_0020, Sp4g25280
OG0002477	Caamp.0076s1453, Caamp.0095s0404	SpUn1318_0010
OG0002478	Caamp.0076s1443, Caamp.1031s0516	Sp4g25380
OG0002480	Caamp.1031s0551	Sp4g25710
OG0002480	Caamp.0076s1418, Caamp.1031s0552	Sp4g25720
OG0002481	Caamp.0076s1417, Caamp.1031s0553	Sp5g03540, Sp4g25730
OG0002483	Caamp.0095s0359	Sp5g03330
OG0002483	Caamp.1031s0570	Sp4g25890
OG0002484	Caamp.0076s1402	Sp4g25910
OG0002484	Caamp.1031s0571	Sp4g25900
OG0002485	Caamp.0076s1398	Sp4g25970
OG0002485	Caamp.1031s0575, Caamp.0076s1399	Sp4g25960
OG0002486	Caamp.1031s0577	Sp4g26000
OG0002487	Caamp.1031s0581, Caamp.0076s1391	Sp4g26060
OG0002488	Caamp.1031s0622, Caamp.0018s0041	Sp4g26540
OG0002489	Caamp.1031s0628, Caamp.0190s1317	Sp4g26600
OG0002490	Caamp.1031s0653, Caamp.0018s0067	Sp4g26890
OG0002491	Caamp.0018s0070, Caamp.1031s0655	Sp4g26930, Sp5g02910
OG0002492	Caamp.0018s0086, Caamp.1031s0669	Sp4g27090
OG0002493	Caamp.1031s0684, Caamp.0018s0100	Sp4g27240, SpUn0031_0080
OG0002494	Caamp.1031s0685, Caamp.0018s0101	SpUn0031_0070, Sp4g27250
OG0002495	Caamp.1031s0687, Caamp.0018s0103	Sp4g27260, SpUn0031_0060
OG0002496	Caamp.0018s0105, Caamp.1031s0689	Sp4g27280, SpUn0031_0040
OG0002497	Caamp.0018s0131, Caamp.0018s0130	Sp3g31160
OG0002497	Caamp.1031s0710	Sp4g27540
OG0002498	Caamp.1031s0731, Caamp.0018s0150	Sp4g27780
OG0002499	Caamp.0065s0055	Sp5g02100
OG0002499	Caamp.1031s0743, Caamp.0018s0162	Sp4g27900
OG0002500	Caamp.0018s0187	Sp4g28190
OG0002500	Caamp.1031s0769	Sp1g12980
OG0002501	Caamp.1031s0778, Caamp.0190s1167, Caamp.0018s0197	Sp4g28270
OG0002502	Caamp.1031s0787	Sp4g28370
OG0002502	Caamp.0018s0207	Sp5g01770
OG0002503	Caamp.0018s0218	Sp4g28430
OG0002504	Caamp.0097s1015	Sp7g07240
OG0002504	Caamp.1031s0800, Caamp.0018s0222	Sp4g28490
OG0002505	Caamp.0018s0223	Sp4g28500
OG0002505	Caamp.1031s0801	Sp1g24220, Sp1g24210
OG0002506	Caamp.0018s0224	Sp4g28530
OG0002506	Caamp.1031s0802	Sp4g28520
OG0002507	Caamp.0018s0227, Caamp.1031s0805	Sp4g28560
OG0002508	Caamp.0018s0237, Caamp.1031s0814	Sp4g28670
OG0002508	Caamp.0065s0110, Caamp.0023s0494	Sp5g01500
OG0002509	Caamp.0018s0346, Caamp.1031s0917	Sp5g18130, Sp4g29780
OG0002510	Caamp.0065s0199, Caamp.0023s0583, Caamp.0018s0348, Caamp.1031s0918	Sp5g00570
OG0002511	Caamp.1033s0013, Caamp.0190s0133	Sp1g19200
OG0002512	Caamp.1033s0039, Caamp.0095s1224	Sp1g19470
OG0002513	Caamp.0037s0355	Sp1g19800
OG0002513	Caamp.1033s0071	SpUn0091_0010, Sp5g33360
OG0002514	Caamp.0037s0383, Caamp.1033s0103	Sp4g24780, Sp1g20170
OG0002515	Caamp.0037s0406, Caamp.1041s0814, Caamp.1033s0131	Sp1g20390
OG0002516	Caamp.1033s0200	Sp1g21270
OG0002516	Caamp.0303s0887	Sp5g25380
OG0002517	Caamp.1033s0201	Sp1g21290
OG0002517	Caamp.0037s0484, Caamp.0037s0483	Sp1g21280
OG0002518	Caamp.1033s0223	Sp1g21490
OG0002519	Caamp.0037s0503, Caamp.1033s0218	Sp1g21540
OG0002520	Caamp.1035s1148, Caamp.1033s0241	Sp1g21830
OG0002521	Caamp.1036s0471, Caamp.1033s0265, Caamp.0037s0552	Sp1g22070
OG0002522	Caamp.1033s0274, Caamp.0037s0562	SpUn0296_0010, SpUn0019_0020, SpUn0008_0120
OG0002523	Caamp.1033s0369, Caamp.0037s0654	Sp1g23160
OG0002524	Caamp.1033s0393, Caamp.0037s0672	Sp1g23360
OG0002525	Caamp.1033s0397, Caamp.0037s0676	Sp1g23400
OG0002526	Caamp.0085s0055, Caamp.1033s0440, Caamp.0070s0096	Sp1g23830
OG0002528	Caamp.0070s0057	Sp1g24300
OG0002528	Caamp.1033s0483	Sp4g15870
OG0002529	Caamp.0070s0037, Caamp.1033s0505	Sp1g24540
OG0002530	Caamp.0052s0095, Caamp.0188s0058, Caamp.1033s0511	Sp1g07360
OG0002531	Caamp.1033s0524, Caamp.0070s0022, Caamp.1033s0525, Caamp.0070s0021	Sp1g24730
OG0002532	Caamp.0008s0005, Caamp.0008s0007, Caamp.0008s0004, Caamp.0008s0006, Caamp.0078s0565, Caamp.1033s0585	Sp1g25390
OG0002533	Caamp.1040s1365, Caamp.1033s0601, Caamp.0007s0009	Sp1g25530
OG0002534	Caamp.0007s0012, Caamp.1033s0604	Sp1g25555
OG0002535	Caamp.1037s1324, Caamp.1035s0087, Caamp.1033s0618, Caamp.1041s1059, Caamp.1038s0373	Sp6g32900
OG0002536	Caamp.0007s0027, Caamp.1033s0622, Caamp.0007s0249	Sp1g25770, Sp1g25760
OG0002537	Caamp.1033s0628, Caamp.0007s0031	Sp1g25790
OG0002538	Caamp.1033s0642, Caamp.0007s0042	Sp1g25930
OG0002539	Caamp.0007s0066	Sp4g16930
OG0002540	Caamp.0007s0094, Caamp.1033s0702	Sp1g26590
OG0002541	Caamp.1033s0887, Caamp.0015s0006, Caamp.1033s0788	Sp1g27570
OG0002542	Caamp.1033s0790, Caamp.0007s0183	Sp5g21510, Sp1g27590
OG0002543	Caamp.1033s0902, Caamp.0007s0289	Sp1g28720
OG0002544	Caamp.0007s0344	Sp1g29280
OG0002545	Caamp.1033s0954	Sp1g29330, Sp1g29310
OG0002546	Caamp.0040s0300, Caamp.1033s0967, Caamp.1033s0968	Sp7g10220, Sp5g20590, Sp7g10240
OG0002547	Caamp.0007s0371, Caamp.1033s0982, Caamp.1040s1300	Sp1g29590
OG0002548	Caamp.1033s0989, Caamp.0007s0354, Caamp.1033s1006	Sp1g29920
OG0002549	Caamp.1033s1021	Sp2g15010, SpUn1007_0010, Sp3g18130, Sp3g18105
OG0002550	Caamp.1033s1050, Caamp.0008s0026	SpUn0216_0010, Sp1g30370
OG0002551	Caamp.1033s1052, Caamp.0008s0028	Sp1g30390
OG0002552	Caamp.1039s0837, Caamp.1033s1065, Caamp.0051s0100	Sp3g14510
OG0002553	Caamp.1035s0030	Sp5g12090
OG0002553	Caamp.0033s0361	Sp2g29300
OG0002554	Caamp.1035s0058	Sp2g29020
OG0002555	Caamp.1035s0061, Caamp.0033s0332	Sp2g28980
OG0002556	Caamp.1035s0076, Caamp.0033s0317	Sp2g28800
OG0002557	Caamp.0033s0305	Sp2g28660
OG0002557	Caamp.1035s0091	Sp7g28540
OG0002558	Caamp.1035s0152, Caamp.0033s0248	Sp2g28010
OG0002559	Caamp.1041s0918	Sp6g34300
OG0002559	Caamp.1035s0270	Sp2g26760
OG0002560	Caamp.1035s0420, Caamp.0120s0997	Sp2g25130
OG0002561	Caamp.0120s0989	Sp2g24990
OG0002561	Caamp.0105s1415	Sp6g35540
OG0002562	Caamp.1035s0440	Sp2g24900
OG0002562	Caamp.0120s0984	Sp2g24940
OG0002563	Caamp.1035s0475, Caamp.0019s0083, Caamp.0019s0105	Sp5g19200
OG0002564	Caamp.1035s0478, Caamp.1035s0477, Caamp.0120s0949	Sp2g24520
OG0002565	Caamp.1035s0495, Caamp.0120s0931	Sp2g24360, Sp2g24350
OG0002566	Caamp.1035s0501	Sp3g22220, Sp2g24290
OG0002567	Caamp.1035s0509, Caamp.0028s0268, Caamp.0120s0918	Sp2g24230
OG0002568	Caamp.1040s1102, Caamp.0120s0846, Caamp.1035s0557	Sp2g23460
OG0002569	Caamp.0005s0376, Caamp.0026s0384	Sp5g13240
OG0002570	Caamp.0120s0859, Caamp.1035s0571, Caamp.0015s0011	Sp2g23600
OG0002571	Caamp.0120s0870, Caamp.1035s0580	Sp6g34510, Sp2g23710
OG0002572	Caamp.1035s0604, Caamp.0120s0891	Sp2g23950
OG0002573	Caamp.1035s0613, Caamp.0041s0017, Caamp.0120s0900	Sp2g24040
OG0002574	Caamp.0120s0915	Sp2g24190
OG0002576	Caamp.1035s0671	Sp2g22410
OG0002576	Caamp.1038s0339, Caamp.1041s1095	Sp6g32560
OG0002577	Caamp.1035s0673	Sp2g22350, Sp2g22400, Sp2g22390
OG0002578	Caamp.0120s0725, Caamp.1035s0687	Sp2g22260
OG0002579	Caamp.1035s0735	Sp2g21710
OG0002580	Caamp.1039s1266	Sp3g18870
OG0002580	Caamp.0120s0665, Caamp.1035s0742	Sp2g21660
OG0002581	Caamp.0023s0613	Sp5g00290
OG0002581	Caamp.0120s0662, Caamp.1035s0746	Sp2g21620
OG0002582	Caamp.1035s0759, Caamp.0120s0651	Sp2g21490
OG0002583	Caamp.1035s0793, Caamp.0120s0615	Sp2g21140
OG0002584	Caamp.1035s0813, Caamp.0120s0590	Sp1g06410, Sp2g20940
OG0002586	Caamp.0120s0578, Caamp.1035s0827	Sp2g20810
OG0002587	Caamp.0120s0515, Caamp.1035s0899	Sp1g37090, Sp2g20070
OG0002588	Caamp.0120s0492, Caamp.1035s0923	SpUn0021_0030, Sp2g19820
OG0002589	Caamp.1035s0930, Caamp.0120s0484	Sp2g19750, SpUn0021_0100
OG0002590	Caamp.1035s0931, Caamp.0120s0483	Sp2g19740, SpUn0021_0110
OG0002591	Caamp.0120s0482, Caamp.1035s0932	SpUn0021_0120, Sp2g19730
OG0002592	Caamp.1035s0946, Caamp.0120s0466	Sp2g19580
OG0002593	Caamp.1035s0949	Sp2g19530
OG0002593	Caamp.0214s0364	Sp3g05790
OG0002594	Caamp.1035s0966, Caamp.0120s0452	Sp2g19330
OG0002595	Caamp.0120s0450	Sp1g24280
