Orthogroup	S_parvula	C_amplexicaulis
OG0004453	Sp2g25260	Caamp.1035s0403, Caamp.0120s1012
OG0004454	Sp2g25190	Caamp.1035s0410, Caamp.0120s1007
OG0004455	Sp2g25180	Caamp.1035s0411, Caamp.0120s1006
OG0004456	Sp2g25160	Caamp.0120s1004, Caamp.1035s0413
OG0004457	Sp2g25140	Caamp.1035s0415, Caamp.0120s1003
OG0004458	Sp2g25080	Caamp.0120s0999, Caamp.1035s0418
OG0004459	Sp2g25050	Caamp.0120s0995, Caamp.1035s0422
OG0004460	Sp2g25020	Caamp.0120s0992, Caamp.1035s0425
OG0004461	Sp2g24970	Caamp.1035s0430, Caamp.0120s0987
OG0004462	Sp2g24960	Caamp.0120s0986, Caamp.1035s0431
OG0004463	Sp2g24830	Caamp.0120s0976, Caamp.1035s0445
OG0004464	Sp2g24680	Caamp.0120s0964, Caamp.1035s0460
OG0004465	Sp2g24630	Caamp.0120s0959, Caamp.1035s0464
OG0004466	Sp2g24620	Caamp.1035s0465, Caamp.0120s0958
OG0004467	Sp2g24590	Caamp.1035s0470, Caamp.0120s0955
OG0004468	Sp2g24540	Caamp.0120s0950, Caamp.1035s0474
OG0004469	Sp2g24500	Caamp.0120s0947, Caamp.1035s0480
OG0004470	Sp2g24470	Caamp.1035s0483, Caamp.0120s0945
OG0004471	Sp2g24430	Caamp.0120s0938, Caamp.1035s0489
OG0004472	Sp2g24400	Caamp.1035s0491
OG0004473	Sp2g24380	Caamp.1035s0492, Caamp.0120s0933
OG0004474	Sp2g24340	Caamp.1035s0496, Caamp.0120s0930
OG0004475	Sp2g24280	Caamp.0120s0923, Caamp.1035s0503
OG0004476	Sp2g24250	Caamp.0030s0033, Caamp.1035s0507, Caamp.0120s0920
OG0004477	Sp2g24200	Caamp.1035s0514, Caamp.0120s0916
OG0004478	Sp2g22920	Caamp.0120s0789, Caamp.1035s0515
OG0004479	Sp2g22950	Caamp.1035s0518, Caamp.0120s0792
OG0004480	Sp2g22990	Caamp.1035s0521, Caamp.0120s0797
OG0004481	Sp2g23060	Caamp.0120s0805, Caamp.1035s0528
OG0004482	Sp2g23140	Caamp.0120s0814
OG0004483	Sp2g23150	Caamp.0120s0815, Caamp.1035s0534
OG0004484	Sp2g23250	Caamp.0120s0827, Caamp.1035s0540
OG0004485	Sp2g23290	Caamp.1035s0543, Caamp.0120s0830
OG0004486	Sp6g06470	Caamp.0120s0836
OG0004486	Sp2g23350	Caamp.1035s0548
OG0004487	Sp2g23370	Caamp.0120s0837, Caamp.1035s0549
OG0004488	Sp2g23450	Caamp.0120s0845, Caamp.1035s0556
OG0004489	Sp2g23510	Caamp.1035s0561, Caamp.0120s0851
OG0004490	Sp2g23560	Caamp.0120s0855
OG0004491	Sp2g23580	Caamp.0120s0857, Caamp.1035s0569
OG0004492	Sp2g23630	Caamp.1035s0574, Caamp.0120s0862
OG0004493	Sp2g23730	Caamp.1035s0582, Caamp.0120s0872
OG0004494	Sp2g23750	Caamp.1035s0584, Caamp.0120s0873
OG0004495	Sp2g23770	Caamp.1035s0586, Caamp.0120s0875
OG0004496	Sp2g23780	Caamp.1035s0587, Caamp.0120s0876
OG0004497	Sp2g23820	Caamp.1035s0591
OG0004498	Sp2g23850	Caamp.1035s0595, Caamp.0120s0881
OG0004499	Sp2g23870	Caamp.0120s0883, Caamp.1035s0597
OG0004500	Sp2g23890	Caamp.0120s0885
OG0004501	Sp2g23930	Caamp.0120s0889, Caamp.1035s0602
OG0004502	Sp2g23940	Caamp.0120s0890, Caamp.1035s0603
OG0004503	Sp2g23970	Caamp.0120s0894, Caamp.1035s0607
OG0004504	Sp2g24090	Caamp.1035s0618, Caamp.0120s0905
OG0004505	Sp2g24130	Caamp.0120s0908, Caamp.1035s0622
OG0004506	Sp2g24160	Caamp.1035s0625, Caamp.0120s0911
OG0004507	Sp2g22860	Caamp.1035s0634, Caamp.0120s0783
OG0004508	Sp2g22840	Caamp.0120s0781, Caamp.0275s0045, Caamp.1035s0636
OG0004509	Sp2g22800	Caamp.1035s0639, Caamp.0120s0776
OG0004510	Sp2g22790	Caamp.0120s0775, Caamp.1035s0640
OG0004511	Sp2g22780	Caamp.1035s0641, Caamp.0120s0774
OG0004512	Sp2g22750	Caamp.1035s0644, Caamp.0120s0771
OG0004513	Sp2g22740	Caamp.1035s0645, Caamp.0120s0770
OG0004514	Sp2g22710	Caamp.1035s0647, Caamp.0120s0767
OG0004515	Sp2g22650	Caamp.1035s0650, Caamp.0120s0758
OG0004516	Sp2g22640	Caamp.0120s0757, Caamp.1035s0651
OG0004517	Sp2g22560	Caamp.1035s0659, Caamp.0120s0750
OG0004518	Sp2g22520	Caamp.1035s0662, Caamp.0120s0746
OG0004519	Sp2g22450	Caamp.0120s0740, Caamp.1035s0668
OG0004520	Sp2g22340	Caamp.1035s0679, Caamp.0120s0733
OG0004521	Sp2g22080	Caamp.0120s0712, Caamp.1035s0698
OG0004522	Sp2g22070	Caamp.0120s0709, Caamp.1035s0699
OG0004523	Sp2g22040	Caamp.1035s0702, Caamp.0120s0707
OG0004524	Sp2g22010	Caamp.0120s0703, Caamp.1035s0706
OG0004525	Sp2g21960	Caamp.0120s0699, Caamp.1035s0710
OG0004526	Sp2g21940	Caamp.0120s0697, Caamp.1035s0712
OG0004527	Sp2g21920	Caamp.0120s0695
OG0004528	Sp2g21910	Caamp.1035s0715, Caamp.0120s0694
OG0004529	Sp2g21860	Caamp.0120s0688, Caamp.1035s0721
OG0004530	Sp2g21790	Caamp.1035s0728, Caamp.0120s0681
OG0004531	Sp2g21760	Caamp.1035s0731, Caamp.0120s0677
OG0004532	Sp2g21690	Caamp.0120s0670, Caamp.1035s0738
OG0004533	Sp2g21670	Caamp.1035s0740, Caamp.0120s0667
OG0004534	Sp2g21590	Caamp.0120s0661, Caamp.1035s0749
OG0004535	Sp2g21580	Caamp.0120s0660, Caamp.1035s0750
OG0004536	Sp2g21570	Caamp.0120s0659
OG0004537	Sp2g21450	Caamp.1035s0763, Caamp.0120s0647
OG0004538	Sp2g21430	Caamp.1035s0765, Caamp.0120s0645
OG0004539	Sp2g21410	Caamp.1035s0767
OG0004540	Sp2g21400	Caamp.0120s0642, Caamp.1035s0768
OG0004541	Sp2g21350	Caamp.0120s0637, Caamp.1035s0773
OG0004542	Sp2g21340	Caamp.0120s0636, Caamp.1035s0774
OG0004543	Sp2g21330	Caamp.0120s0635, Caamp.1035s0775
OG0004544	Sp2g21310	Caamp.0120s0633, Caamp.1035s0777
OG0004545	Sp2g21300	Caamp.1035s0778, Caamp.0120s0632
OG0004546	Sp2g21250	Caamp.1035s0782, Caamp.0120s0625
OG0004547	Sp2g21210	Caamp.0120s0621, Caamp.1035s0785
OG0004548	Sp2g21170	Caamp.0120s0618, Caamp.1035s0790
OG0004549	Sp2g21130	Caamp.1035s0794, Caamp.0120s0614
OG0004550	Sp2g21110	Caamp.0120s0612, Caamp.1035s0796
OG0004551	Sp2g21090	Caamp.1035s0797, Caamp.0120s0609
OG0004552	Sp2g21060	Caamp.0120s0606, Caamp.1035s0799
OG0004553	Sp2g21050	Caamp.1035s0800, Caamp.0120s0604
OG0004554	Sp2g21030	Caamp.1035s0804, Caamp.0120s0599
OG0004555	Sp2g20910	Caamp.1035s0817, Caamp.0120s0587
OG0004556	Sp2g20850	Caamp.0120s0581, Caamp.1035s0822
OG0004557	Sp2g20770	Caamp.0120s0575, Caamp.1035s0830
OG0004558	Sp2g20730	Caamp.0120s0572, Caamp.1035s0833
OG0004559	Sp2g20720	Caamp.0120s0571, Caamp.1035s0835
OG0004560	Sp3g04040	Caamp.0303s0181, Caamp.1035s0845, Caamp.0120s0563
OG0004561	Sp2g20600	Caamp.0120s0559, Caamp.1035s0849
OG0004562	Sp2g20560	Caamp.1035s0853, Caamp.0120s0557
OG0004563	Sp2g20540	Caamp.0120s0555, Caamp.1035s0855
OG0004564	Sp2g20510	Caamp.1035s0858, Caamp.0120s0552
OG0004565	Sp2g20440	Caamp.1035s0865, Caamp.0120s0549
OG0004566	Sp2g20340	Caamp.1035s0875, Caamp.0120s0540
OG0004567	Sp2g20320	Caamp.1035s0877, Caamp.0120s0538
OG0004568	Sp2g20220	Caamp.0120s0529, Caamp.1035s0885
OG0004569	Sp2g20210	Caamp.1035s0886, Caamp.0120s0528
OG0004570	Sp2g20180	Caamp.1035s0889
OG0004570	Sp3g03360	Caamp.0303s0246
OG0004571	Sp2g20170	Caamp.1035s0890, Caamp.0120s0524
OG0004572	Sp2g20130	Caamp.0120s0521
OG0004573	Sp2g20110	Caamp.1035s0895, Caamp.0120s0519
OG0004574	Sp2g20100	Caamp.1035s0896, Caamp.0120s0518
OG0004575	Sp2g20050	Caamp.0120s0513, Caamp.1035s0901
OG0004576	Sp2g20000	Caamp.1035s0906, Caamp.0120s0508
OG0004577	Sp2g19990	Caamp.1035s0907, Caamp.0120s0507
OG0004578	Sp2g19980	Caamp.1035s0908, Caamp.0120s0506
OG0004579	Sp2g19960	Caamp.0009s0020, Caamp.1035s0910
OG0004580	Sp6g09550	Caamp.0027s0112
OG0004580	Sp2g19950	Caamp.1035s0911
OG0004581	Sp2g19940	Caamp.1035s0913, Caamp.0120s0503
OG0004582	Sp2g19930	Caamp.0120s0502, Caamp.1035s0914
OG0004583	Sp2g19850	Caamp.0120s0495, Caamp.1035s0920
OG0004584	SpUn0021_0040, Sp2g19810	Caamp.1035s0924, Caamp.0120s0491
OG0004585	Sp2g19770, SpUn0021_0080	Caamp.0120s0487, Caamp.1035s0927
OG0004586	Sp2g19710	Caamp.0120s0481, Caamp.1035s0933
OG0004587	Sp2g19640	Caamp.1035s0940, Caamp.0120s0474
OG0004588	Sp2g19600	Caamp.1035s0944, Caamp.0120s0469
OG0004589	Sp2g19590	Caamp.1035s0945, Caamp.0120s0468
OG0004590	Sp2g19410	Caamp.0120s0458, Caamp.1035s0958
OG0004591	Sp2g19380	Caamp.0120s0455, Caamp.1035s0962
OG0004592	Sp2g19340	Caamp.1035s0965, Caamp.0120s0453
OG0004593	Sp2g19310	Caamp.0120s0449, Caamp.1035s0969
OG0004594	Sp2g19230	Caamp.1035s0977, Caamp.0120s0440
OG0004595	Sp2g19210	Caamp.1035s0978, Caamp.0120s0438
OG0004596	Sp2g19130	Caamp.1035s0987, Caamp.0012s0101
OG0004597	Sp2g19090	Caamp.1035s0991, Caamp.0120s0431
OG0004598	Sp2g19070	Caamp.1035s0993, Caamp.0120s0433
OG0004599	Sp2g19060	Caamp.1035s0994, Caamp.0120s0426
OG0004600	Sp2g19020	Caamp.0120s0424, Caamp.1035s0998
OG0004601	Sp2g18940	Caamp.0120s0418
OG0004602	Sp2g18910	Caamp.0120s0415, Caamp.1035s1008
OG0004603	Sp2g18900	Caamp.1035s1009, Caamp.0120s0414
OG0004604	Sp2g18890	Caamp.1035s1010, Caamp.0120s0413
OG0004605	Sp2g18880	Caamp.0120s0412, Caamp.1035s1011
OG0004606	Sp2g18870	Caamp.0120s0411
OG0004607	Sp2g18830	Caamp.1035s1015, Caamp.0120s0407
OG0004608	Sp2g18820	Caamp.0120s0406, Caamp.1035s1016
OG0004609	Sp2g18730	Caamp.0120s0398, Caamp.1035s1023
OG0004610	Sp2g18620	Caamp.0120s0388, Caamp.1035s1034
OG0004611	Sp2g18610	Caamp.0120s0387, Caamp.1035s1035
OG0004612	Sp2g18580	Caamp.1035s1039, Caamp.0120s0383
OG0004613	Sp2g18570	Caamp.0120s0382, Caamp.1035s1040
OG0004614	Sp2g18560	Caamp.1035s1041, Caamp.0120s0381
OG0004615	Sp2g18480	Caamp.0120s0373, Caamp.1035s1049
OG0004616	Sp2g18470	Caamp.1035s1050, Caamp.0120s0372
OG0004617	Sp2g18420	Caamp.0120s0366, Caamp.1035s1055
OG0004618	Sp2g18410	Caamp.1035s1056, Caamp.0120s0365
OG0004619	Sp2g18370	Caamp.1035s1060, Caamp.0120s0362
OG0004620	Sp2g18330	Caamp.0120s0358, Caamp.1035s1064
OG0004621	Sp2g18320	Caamp.1035s1065, Caamp.0120s0357
OG0004622	Sp2g18310	Caamp.1035s1066, Caamp.0120s0356
OG0004623	Sp2g18300	Caamp.1035s1067, Caamp.0120s0355
OG0004624	Sp2g18250	Caamp.0120s0351, Caamp.1035s1070
OG0004625	Sp2g18240	Caamp.0120s0350, Caamp.1035s1071
OG0004626	Sp2g18210	Caamp.0120s0348, Caamp.1035s1073
OG0004627	Sp2g18140	Caamp.1035s1080, Caamp.0120s0342
OG0004628	Sp2g18100	Caamp.0120s0337, Caamp.1035s1084
OG0004629	Sp2g18090	Caamp.0120s0336, Caamp.1035s1085
OG0004630	Sp2g18050	Caamp.1035s1090, Caamp.0120s0334
OG0004631	Sp2g18010	Caamp.1035s1095, Caamp.0120s0327
OG0004632	Sp2g17990	Caamp.1035s1097, Caamp.0120s0325
OG0004633	Sp2g17960	Caamp.0120s0322, Caamp.1035s1100
OG0004634	Sp2g17910	Caamp.1035s1105, Caamp.0120s0316
OG0004635	Sp2g17890	Caamp.1035s1107, Caamp.0120s0314
OG0004636	Sp1g26250, Sp2g17870	Caamp.1035s1109, Caamp.0120s0312
OG0004637	Sp2g17830	Caamp.0120s0308, Caamp.1035s1112
OG0004638	Sp2g17680	Caamp.1035s1128, Caamp.0120s0292
OG0004639	Sp2g17670	Caamp.1035s1129
OG0004639	Sp7g02370	Caamp.0120s0291, Caamp.0015s0319
OG0004640	Sp2g17660	Caamp.0120s0290, Caamp.1035s1131
OG0004641	Sp2g17630	Caamp.1035s1134, Caamp.0120s0287
OG0004642	Sp2g17560	Caamp.0120s0283, Caamp.1035s1140
OG0004643	Sp2g17530	Caamp.1035s1143
OG0004644	Sp2g17510	Caamp.0120s0278, Caamp.1035s1145
OG0004645	Sp2g17340	Caamp.0120s0265, Caamp.1035s1161
OG0004646	Sp2g17330	Caamp.0120s0264, Caamp.1035s1162
OG0004647	Sp2g17320	Caamp.1035s1163, Caamp.0120s0263
OG0004649	Sp2g17090	Caamp.1035s1184, Caamp.0120s0239
OG0004650	Sp2g16880	Caamp.1035s1200, Caamp.0120s0220
OG0004651	Sp2g16870	Caamp.0120s0219, Caamp.1035s1201
OG0004652	Sp2g16860	Caamp.1035s1202, Caamp.0120s0218
OG0004653	Sp2g16820	Caamp.0120s0214, Caamp.1035s1207
OG0004654	Sp2g16720	Caamp.1035s1218, Caamp.0120s0205
OG0004655	Sp2g16710	Caamp.0120s0204, Caamp.1035s1219
OG0004656	Sp2g16700	Caamp.0120s0203, Caamp.1035s1220
OG0004657	Sp2g16680	Caamp.0120s0201, Caamp.1035s1223
OG0004658	Sp2g16660	Caamp.0120s0199
OG0004658	Sp4g28330	Caamp.1035s1225
OG0004659	SpUn0633_0010, Sp2g16590	Caamp.0120s0192, Caamp.1035s1231
OG0004660	Sp2g16580	Caamp.1035s1232, Caamp.0120s0191
OG0004661	Sp2g16540	Caamp.1035s1236, Caamp.0120s0188
OG0004662	Sp2g16530	Caamp.0120s0187, Caamp.1035s1237
OG0004663	Sp2g16500, Sp2g16510	Caamp.1035s1239, Caamp.0120s0185
OG0004664	Sp2g16490	Caamp.1035s1240, Caamp.0120s0184
OG0004665	Sp2g16390	Caamp.0120s0173, Caamp.1035s1247
OG0004666	Sp2g16360	Caamp.1035s1250, Caamp.0120s0170
OG0004667	Sp2g16350	Caamp.0120s0169
OG0004668	Sp2g16340	Caamp.1035s1252, Caamp.0120s0168
OG0004669	Sp2g16220	Caamp.1035s1263, Caamp.0120s0159
OG0004670	Sp2g16190	Caamp.0120s0157, Caamp.1035s1266
OG0004671	Sp2g16150	Caamp.1035s1270, Caamp.0120s0152
OG0004672	Sp2g16100	Caamp.0120s0147, Caamp.1035s1275
OG0004673	Sp2g16090	Caamp.0120s0146, Caamp.1035s1276
OG0004674	Sp2g16080	Caamp.1035s1277, Caamp.0120s0145
OG0004675	Sp2g16070	Caamp.0120s0144, Caamp.1035s1278
OG0004676	Sp2g16060	Caamp.0120s0143, Caamp.1035s1279
OG0004677	Sp2g16050	Caamp.1035s1280, Caamp.0120s0142
OG0004678	Sp2g16030	Caamp.0120s0139, Caamp.1035s1282
OG0004679	Sp2g16010	Caamp.1035s1284, Caamp.0120s0137
OG0004680	Sp2g15950	Caamp.1035s1290, Caamp.0120s0132
OG0004681	Sp2g15870	Caamp.1035s1297, Caamp.0120s0124
OG0004682	Sp2g15850	Caamp.0120s0122, Caamp.1035s1299
OG0004683	Sp2g15790	Caamp.1035s1306, Caamp.0120s0119
OG0004684	Sp2g15710	Caamp.1035s1313
OG0004685	Sp2g15700	Caamp.1035s1314, Caamp.0120s0111
OG0004686	Sp2g15670	Caamp.1035s1317
OG0004687	Sp2g15620	Caamp.0120s0106
OG0004688	Sp2g15600	Caamp.0120s0104, Caamp.1035s1322
OG0004689	Sp2g15550	Caamp.1035s1327, Caamp.0120s0098
OG0004690	Sp2g15290	Caamp.0120s0080, Caamp.1035s1351
OG0004691	Sp2g15260	Caamp.1035s1354, Caamp.0120s0078
OG0004692	Sp2g15230	Caamp.0120s0075
OG0004693	Sp2g15220	Caamp.0120s0074, Caamp.1035s1358
OG0004694	Sp2g15200	Caamp.0120s0072, Caamp.1035s1360
OG0004695	Sp2g15140	Caamp.1035s1367, Caamp.0120s0065
OG0004696	Sp2g15120	Caamp.0120s0063, Caamp.1035s1369
OG0004697	Sp2g15110	Caamp.1035s1370, Caamp.0120s0062
OG0004698	Sp2g15100	Caamp.0120s0061, Caamp.1035s1371
OG0004699	Sp2g15070	Caamp.1035s1373, Caamp.0120s0059
OG0004700	Sp2g15030	Caamp.0120s0056, Caamp.1035s1380
OG0004701	Sp3g12480	Caamp.1039s0645, Caamp.1035s1383
OG0004702	Sp3g12470	Caamp.1035s1384, Caamp.1039s0644
OG0004703	Sp3g12450	Caamp.1039s0642, Caamp.1035s1386
OG0004704	Sp3g12430	Caamp.1039s0640, Caamp.1035s1388
OG0004705	Sp3g12420	Caamp.1035s1389, Caamp.1039s0639
OG0004706	Sp3g12390	Caamp.1039s0636, Caamp.1035s1392, Caamp.1035s1393
OG0004707	Sp3g12380	Caamp.1035s1394, Caamp.1039s0635
OG0004708	Sp3g12370	Caamp.1035s1395, Caamp.1039s0634
OG0004709	Sp1g01010	Caamp.0188s1084, Caamp.1035s1400
OG0004710	Sp1g01030	Caamp.1035s1402, Caamp.0188s1082
OG0004711	Sp1g01040	Caamp.1035s1403, Caamp.0188s1081
OG0004712	Sp1g01090	Caamp.1035s1407, Caamp.0188s1076
OG0004713	Sp1g01160	Caamp.0188s1069, Caamp.1035s1414
OG0004714	Sp1g01190	Caamp.0188s1065, Caamp.1035s1416
OG0004715	Sp1g01250	Caamp.1035s1420, Caamp.0188s1061
OG0004716	Sp1g01480	Caamp.1035s1428, Caamp.0188s1037
OG0004717	Sp1g01540	Caamp.0188s1029, Caamp.1035s1436
OG0004718	Sp1g01550	Caamp.0188s1028
OG0004719	Sp1g01580	Caamp.1035s1438, Caamp.0188s1024
OG0004720	Sp1g01610	Caamp.1035s1441, Caamp.0188s1022
OG0004721	Sp1g01650	Caamp.0188s1018, Caamp.1035s1445
OG0004722	Sp1g01760	Caamp.0188s1007, Caamp.1035s1456
OG0004723	Sp1g01860	Caamp.1035s1463
OG0004724	Sp1g01870	Caamp.1035s1464, Caamp.0188s0998
OG0004725	Sp1g01910	Caamp.0188s0993, Caamp.1035s1469
OG0004726	Sp1g01930	Caamp.0188s0992
OG0004726	Sp1g01940	Caamp.1035s1471
OG0004727	Sp1g01960	Caamp.1035s1473, Caamp.0188s0990
OG0004728	Sp1g01980	Caamp.1035s1475, Caamp.0188s0988
OG0004729	Sp1g02000	Caamp.1035s1477
OG0004730	Sp1g02030	Caamp.0188s0983, Caamp.1035s1480
OG0004731	Sp1g02050	Caamp.1035s1481, Caamp.0188s0981
OG0004732	Sp1g02080	Caamp.0188s0978, Caamp.1035s1484
OG0004733	Sp1g02120	Caamp.1035s1487, Caamp.0188s0974
OG0004734	Sp1g02160	Caamp.1035s1490, Caamp.0188s0972
OG0004735	Sp1g02200	Caamp.1035s1494, Caamp.0188s0968
OG0004736	Sp1g02240	Caamp.0188s0964, Caamp.1035s1498
OG0004737	Sp1g02320	Caamp.0188s0957
OG0004738	Sp1g02350	Caamp.0188s0954, Caamp.1035s1505
OG0004739	Sp1g02380	Caamp.1035s1508, Caamp.0188s0951
OG0004740	Sp1g02440	Caamp.1035s1513
OG0004741	Sp7g14830	Caamp.1035s1519, Caamp.0095s0086
OG0004742	Sp7g14700	Caamp.0095s0076, Caamp.1035s1527
OG0004743	Sp7g14650	Caamp.0095s0071, Caamp.1035s1533
OG0004744	Sp7g14640	Caamp.0095s0070, Caamp.1035s1534
OG0004745	Sp7g14610	Caamp.0095s0067, Caamp.1035s1538
OG0004746	SpUn0816_0010	Caamp.0034s0069, Caamp.1036s0005
OG0004746	Sp6g10660	Caamp.0013s0091
OG0004747	Sp6g25850	Caamp.1036s0014, Caamp.1037s0361
OG0004748	Sp6g25860	Caamp.1037s0360
OG0004749	Sp6g25870	Caamp.1037s0359, Caamp.1036s0017
OG0004750	Sp6g25910	Caamp.1036s0021, Caamp.1037s0354
OG0004751	Sp6g26040	Caamp.1037s0345, Caamp.1036s0030
OG0004752	Sp6g26090	Caamp.1036s0035
OG0004753	Sp6g26180	Caamp.1036s0046, Caamp.1037s0333
OG0004754	Sp6g26190	Caamp.1036s0047, Caamp.1037s0332
OG0004755	Sp6g26340	Caamp.1037s0316, Caamp.1036s0070
OG0004756	Sp6g26390	Caamp.1036s0074
OG0004757	Sp6g26440	Caamp.1036s0078, Caamp.1037s0306
OG0004758	Sp6g26450	Caamp.1036s0079, Caamp.1037s0305
OG0004759	Sp6g26460	Caamp.1036s0080, Caamp.1037s0303
OG0004760	Sp6g26480	Caamp.1037s0301
OG0004761	Sp6g26520	Caamp.1037s0297, Caamp.1036s0086
OG0004762	Sp6g26530	Caamp.1036s0087, Caamp.1037s0296
OG0004763	Sp6g26590	Caamp.1036s0092, Caamp.1037s0290
OG0004764	Sp6g26600	Caamp.1037s0289, Caamp.1036s0093
OG0004765	Sp6g26620	Caamp.1036s0095, Caamp.1037s0288
OG0004766	Sp6g26660	Caamp.1036s0099, Caamp.0303s0331, Caamp.1037s0284
OG0004767	Sp3g02370	Caamp.0214s0667
OG0004768	Sp6g26780	Caamp.1037s0271, Caamp.1036s0112
OG0004769	Sp6g26790	Caamp.1037s0270, Caamp.1036s0113
OG0004770	Sp6g26800	Caamp.1037s0269, Caamp.1036s0114
OG0004771	Sp6g26810	Caamp.1037s0268, Caamp.1036s0115
OG0004772	Sp6g26830	Caamp.1036s0117, Caamp.1037s0267
OG0004773	Sp6g26910	Caamp.1036s0126, Caamp.1037s0257
OG0004774	Sp6g26930	Caamp.1037s0255, Caamp.1036s0128
OG0004775	Sp6g26960	Caamp.1036s0131, Caamp.1037s0252
OG0004776	Sp6g26970	Caamp.1036s0132, Caamp.1037s0251
OG0004777	Sp6g27000	Caamp.1036s0135, Caamp.1037s0248
OG0004778	Sp6g27010	Caamp.1037s0247, Caamp.1036s0136
OG0004779	Sp6g27030	Caamp.1037s0245, Caamp.1036s0138
OG0004780	Sp6g27050	Caamp.1037s0242, Caamp.1036s0140
OG0004781	Sp6g27090	Caamp.1036s0145, Caamp.1037s0239
OG0004782	Sp6g27160	Caamp.1036s0151
OG0004783	Sp6g27180	Caamp.1036s0153, Caamp.1037s0230
OG0004784	Sp6g27230	Caamp.1037s0225, Caamp.1036s0158
OG0004785	Sp6g27280	Caamp.1036s0161
OG0004786	Sp6g27300	Caamp.1037s0219
OG0004787	Sp6g27330	Caamp.1037s0214
OG0004787	Sp3g02040	Caamp.1036s0166
OG0004788	Sp6g27370	Caamp.1037s0209, Caamp.1036s0171
OG0004789	Sp6g27400	Caamp.1037s0207, Caamp.1036s0172
OG0004790	Sp6g27420	Caamp.1036s0173, Caamp.1037s0206
OG0004791	Sp6g27470	Caamp.1036s0178, Caamp.1037s0203
OG0004792	Sp6g27480	Caamp.1037s0202, Caamp.1036s0179
OG0004793	Sp6g27490	Caamp.1036s0180, Caamp.1037s0201
OG0004794	Sp6g27500	Caamp.1037s0200, Caamp.1036s0181
OG0004795	Sp6g27610	Caamp.1037s0189, Caamp.1036s0192
OG0004796	Sp6g27660	Caamp.1036s0197, Caamp.1037s0185
OG0004797	Sp6g27670	Caamp.1036s0198, Caamp.1037s0184
OG0004798	Sp6g27720	Caamp.1036s0202, Caamp.1037s0180
OG0004799	Sp6g27830	Caamp.1041s1569, Caamp.1036s0209
OG0004800	Sp6g27880	Caamp.1041s1564, Caamp.1036s0214
OG0004801	Sp6g27890	Caamp.1036s0215, Caamp.1041s1563
OG0004802	Sp6g27900	Caamp.1041s1562, Caamp.1036s0216
OG0004803	Sp6g27920	Caamp.1041s1560, Caamp.1036s0218
OG0004804	Sp6g28030	Caamp.1036s0230, Caamp.1041s1547
OG0004805	Sp6g28050	Caamp.1041s1545, Caamp.1036s0232
OG0004806	Sp6g28070	Caamp.1036s0234, Caamp.1041s1543
OG0004807	Sp6g28100	Caamp.1036s0237, Caamp.1041s1541
OG0004808	Sp2g19560, Sp6g28240	Caamp.1036s0253
OG0004809	Sp6g28270	Caamp.1036s0256, Caamp.1041s1523
OG0004810	Sp6g28340	Caamp.1036s0263, Caamp.1041s1517
OG0004811	Sp6g28360	Caamp.1041s1515, Caamp.1036s0265
OG0004812	Sp6g28420	Caamp.1036s0270, Caamp.1041s1509
OG0004813	Sp6g28430	Caamp.1041s1508, Caamp.1036s0271
OG0004814	Sp6g28440	Caamp.1036s0272, Caamp.1041s1507
OG0004815	Sp6g28470	Caamp.1041s1505, Caamp.1036s0275
OG0004816	Sp6g28510	Caamp.1041s1500, Caamp.1036s0280
OG0004817	Sp6g28540	Caamp.1036s0283, Caamp.1041s1496
OG0004818	Sp6g28550	Caamp.1041s1494, Caamp.1041s1495, Caamp.1036s0284
OG0004819	Sp6g28560	Caamp.1036s0285, Caamp.1041s1493
OG0004820	Sp6g28590	Caamp.1041s1489, Caamp.1036s0289
OG0004821	Sp5g26350	Caamp.0303s0804, Caamp.1036s0294
OG0004822	Sp5g26330	Caamp.1036s0296, Caamp.0303s0807
OG0004823	Sp5g26310	Caamp.1036s0298, Caamp.0303s0808
OG0004824	Sp5g26290	Caamp.1036s0301, Caamp.1036s0300, Caamp.0303s0810
OG0004825	Sp5g26280	Caamp.0303s0811, Caamp.1036s0302
OG0004826	Sp5g26250	Caamp.0005s0135, Caamp.1036s0305, Caamp.0303s0814
OG0004827	Sp5g26200	Caamp.0303s0818, Caamp.1036s0322
OG0004828	Sp5g26190	Caamp.1036s0323, Caamp.0303s0819
OG0004829	Sp5g26180	Caamp.0303s0820, Caamp.1036s0324
OG0004830	Sp5g26170	Caamp.1036s0325, Caamp.0303s0821
OG0004831	Sp5g26120	Caamp.1036s0329, Caamp.0303s0825
OG0004832	Sp5g25930	Caamp.1036s0343, Caamp.0303s0844
OG0004833	Sp5g25870	Caamp.1036s0347, Caamp.0303s0849
OG0004834	Sp5g25860	Caamp.1036s0348, Caamp.0303s0850
OG0004835	Sp5g25850	Caamp.1036s0349, Caamp.0303s0851
OG0004836	Sp5g25790	Caamp.1036s0354
OG0004837	Sp5g25780	Caamp.1036s0356, Caamp.0303s0855
OG0004838	Sp5g25750	Caamp.0303s0858, Caamp.1036s0359
OG0004839	Sp5g25720	Caamp.0303s0861, Caamp.1036s0362
OG0004840	Sp5g25710	Caamp.1036s0363, Caamp.0303s0862
OG0004841	Sp5g25530	Caamp.1036s0376, Caamp.0303s0874
OG0004842	Sp5g25480	Caamp.1036s0382, Caamp.0303s0878
OG0004843	Sp5g25450	Caamp.1036s0386, Caamp.0303s0882
