Orthogroup	S_parvula	S_diversifolius
OG0000717	SpUn0981_0010	Sdiv_ptg000012l_2221-R, Sdiv_ptg000007l_0142-R
OG0000717	Sp1g10680	Sdiv_ptg000014l_0623-R, Sdiv_ptg000003l_2151-R
OG0000718	Sp7g20460	Sdiv_ptg000004l_1142-R
OG0000718	Sp2g02170	Sdiv_ptg000012l_2224-R, Sdiv_ptg000007l_0138-R
OG0000719	Sp5g16300	Sdiv_ptg000015l_1266-R
OG0000720	Sp5g01080	Sdiv_ptg000015l_2334-R, Sdiv_ptg000016l_0228-R
OG0000721	Sp1g07070	Sdiv_ptg000003l_2447-R
OG0000721	Sp4g10010	Sdiv_ptg000008l_0510-R, Sdiv_ptg000022l_0509-R
OG0000722	Sp5g04780	Sdiv_ptg000002l_0035-R, Sdiv_ptg000015l_2061-R
OG0000722	Sp1g09120	Sdiv_ptg000003l_2276-R, Sdiv_ptg000014l_0735-R
OG0000723	Sp7g01000	Sdiv_ptg000014l_0841-R
OG0000724	Sp5g35350	Sdiv_ptg000002l_2113-R
OG0000724	Sp1g13990	Sdiv_ptg000003l_1901-R, Sdiv_ptg000014l_1029-R
OG0000725	Sp5g35310	Sdiv_ptg000002l_2110-R, Sdiv_ptg000015l_0063-R
OG0000725	Sp1g14040	Sdiv_ptg000003l_1898-R, Sdiv_ptg000014l_1032-R
OG0000727	Sp7g07250, Sp5g33980	Sdiv_ptg000015l_0159-R, Sdiv_ptg000002l_2002-R
OG0000727	Sp1g14910	Sdiv_ptg000014l_1087-R
OG0000728	Sp2g08140	Sdiv_ptg000007l_0578-R
OG0000728	Sp1g03230	Sdiv_ptg000014l_0222-R, Sdiv_ptg000003l_2742-R
OG0000729	Sp1g03150	Sdiv_ptg000014l_0215-R
OG0000729	Sp2g08340	Sdiv_ptg000007l_0580-R, Sdiv_ptg000012l_1725-R
OG0000730	SpUn1380_0010, Sp1g03000	Sdiv_ptg000014l_0205-R
OG0000730	Sp2g08700	Sdiv_ptg000012l_1689-R, Sdiv_ptg000007l_0609-R
OG0000731	Sp5g02390	Sdiv_ptg000015l_2238-R
OG0000731	Sp1g00340	Sdiv_ptg000014l_0019-R, Sdiv_ptg000003l_2938-R
OG0000732	Sp5g10390	Sdiv_ptg000003l_0423-R
OG0000732	Sp1g18420	Sdiv_ptg000014l_1360-R
OG0000732	Sp1g18410	Sdiv_ptg000003l_0424-R
OG0000733	Sp7g23540, Sp7g23530	Sdiv_ptg000005l_1052-R, Sdiv_ptg000005l_1053-R, Sdiv_ptg000004l_1365-R, Sdiv_ptg000004l_1364-R
OG0000734	Sp1g19920, Sp1g19915	Sdiv_ptg000014l_2665-R
OG0000734	SpUn0658_0010	Sdiv_ptg000014l_2664-R
OG0000735	Sp7g19750, SpUn0266_0010, SpUn0703_0010, SpUn0266_0020, Sp6g06900, SpUn0350_0010	Sdiv_ptg000005l_0769-R
OG0000736	Sp3g29380	Sdiv_ptg000011l_0307-R, Sdiv_ptg000011l_0305-R, Sdiv_ptg000011l_0304-R, Sdiv_ptg000013l_0303-R, Sdiv_ptg000011l_0306-R, Sdiv_ptg000013l_0306-R, Sdiv_ptg000013l_0304-R
OG0000737	Sp3g01620	Sdiv_ptg000013l_2094-R, Sdiv_ptg000001l_2189-R
OG0000737	Sp3g01630	Sdiv_ptg000001l_2188-R
OG0000739	Sp5g29620	Sdiv_ptg000015l_0472-R
OG0000741	Sp2g07780	Sdiv_ptg000012l_1761-R, Sdiv_ptg000007l_0555-R
OG0000741	Sp1g33830	Sdiv_ptg000003l_1417-R, Sdiv_ptg000014l_1753-R
OG0000742	Sp7g15360, Sp7g16800	Sdiv_ptg000004l_0746-R, Sdiv_ptg000004l_0793-R, Sdiv_ptg000005l_0486-R
OG0000747	Sp7g34240	Sdiv_ptg000005l_1835-R
OG0000747	Sp3g31740, SpUn0030_0090	Sdiv_ptg000001l_0158-R, Sdiv_ptg000013l_0166-R, Sdiv_ptg000011l_0176-R
OG0000755	Sp2g11970	Sdiv_ptg000012l_1445-R
OG0000756	Sp7g16120	Sdiv_ptg000005l_0533-R
OG0000756	Sp2g11400	Sdiv_ptg000007l_0781-R, Sdiv_ptg000012l_1483-R
OG0000757	Sp2g09950	Sdiv_ptg000007l_0687-R
OG0000757	Sp7g18190	Sdiv_ptg000004l_0974-R
OG0000758	Sp7g18370	Sdiv_ptg000004l_0988-R
OG0000758	Sp2g09800	Sdiv_ptg000007l_0683-R
OG0000759	Sp7g18700	Sdiv_ptg000005l_0700-R
OG0000759	Sp2g09380	Sdiv_ptg000012l_1629-R
OG0000760	Sp7g10460	Sdiv_ptg000005l_0159-R
OG0000760	Sp3g22640, SpUn0027_0120	Sdiv_ptg000001l_0580-R, Sdiv_ptg000013l_0550-R
OG0000761	Sp4g05720	Sdiv_ptg000008l_0343-R
OG0000761	Sp7g30600	Sdiv_ptg000005l_1581-R, Sdiv_ptg000004l_1882-R
OG0000762	Sp4g05670	Sdiv_ptg000022l_0335-R
OG0000762	Sp7g30620	Sdiv_ptg000005l_1583-R
OG0000764	Sp4g05360	Sdiv_ptg000008l_0330-R, Sdiv_ptg000022l_0329-R
OG0000764	Sp5g05470	Sdiv_ptg000002l_0088-R
OG0000765	Sp7g30300	Sdiv_ptg000005l_1558-R, Sdiv_ptg000004l_1854-R
OG0000765	Sp4g05100	Sdiv_ptg000008l_0319-R
OG0000766	Sp5g16330, Sp4g04830	Sdiv_ptg000008l_0311-R
OG0000766	Sp7g30180	Sdiv_ptg000005l_1549-R
OG0000767	Sp7g30200	Sdiv_ptg000004l_1845-R
OG0000767	Sp4g04890	Sdiv_ptg000022l_0308-R
OG0000768	Sp7g29920	Sdiv_ptg000004l_1824-R
OG0000768	Sp4g04450	Sdiv_ptg000008l_0293-R
OG0000769	Sp4g03390	Sdiv_ptg000003l_1520-R, Sdiv_ptg000003l_1062-R, Sdiv_ptg000003l_1031-R, Sdiv_ptg000015l_0612-R
OG0000770	Sp4g03320	Sdiv_ptg000008l_0223-R
OG0000770	Sp7g28910	Sdiv_ptg000004l_1751-R
OG0000771	Sp4g03140	Sdiv_ptg000022l_0206-R
OG0000771	Sp7g28790	Sdiv_ptg000004l_1741-R, Sdiv_ptg000005l_1444-R
OG0000772	Sp7g28440	Sdiv_ptg000005l_1422-R
OG0000772	Sp4g02890	Sdiv_ptg000008l_0198-R, Sdiv_ptg000022l_0193-R
OG0000775	Sp4g02230	Sdiv_ptg000022l_0156-R
OG0000776	Sp4g02080	Sdiv_ptg000008l_0146-R
OG0000776	Sp7g35250	Sdiv_ptg000004l_2225-R, Sdiv_ptg000005l_1917-R
OG0000777	Sp1g06300	Sdiv_ptg000003l_2517-R, Sdiv_ptg000014l_0446-R
OG0000777	Sp4g11740	Sdiv_ptg000008l_0604-R
OG0000778	Sp3g31090	Sdiv_ptg000013l_0209-R
OG0000778	Sp7g33540	Sdiv_ptg000005l_1777-R
OG0000779	Sp5g07160	Sdiv_ptg000015l_1885-R
OG0000779	Sp4g21780	Sdiv_ptg000022l_1432-R, Sdiv_ptg000008l_1329-R
OG0000780	Sp4g20890	Sdiv_ptg000022l_1360-R
OG0000780	Sp5g09490	Sdiv_ptg000002l_0393-R, Sdiv_ptg000015l_1712-R
OG0000781	Sp6g40720	Sdiv_ptg000009l_0039-R
OG0000781	Sp5g15190, Sp4g20520	Sdiv_ptg000022l_1332-R
OG0000782	Sp5g08640	Sdiv_ptg000015l_1775-R
OG0000782	Sp4g19960	Sdiv_ptg000008l_1196-R, Sdiv_ptg000022l_1284-R
OG0000783	Sp5g09080	Sdiv_ptg000002l_0366-R
OG0000783	Sp4g19350	Sdiv_ptg000022l_1225-R, Sdiv_ptg000008l_1143-R
OG0000784	Sp5g02960	Sdiv_ptg000016l_0097-R, Sdiv_ptg000015l_2200-R
OG0000785	Sp4g17330	Sdiv_ptg000008l_1009-R, Sdiv_ptg000022l_1085-R
OG0000785	Sp1g26950	Sdiv_ptg000014l_2138-R
OG0000786	Sp1g26650	Sdiv_ptg000003l_1025-R
OG0000786	Sp4g17080	Sdiv_ptg000022l_1063-R
OG0000787	Sp4g17040	Sdiv_ptg000008l_0990-R
OG0000788	Sp6g14670	Sdiv_ptg000009l_2114-R
OG0000788	Sp4g16640	Sdiv_ptg000008l_0961-R
OG0000790	Sp1g03340	Sdiv_ptg000003l_2732-R
OG0000790	Sp4g15650	Sdiv_ptg000008l_0877-R, Sdiv_ptg000022l_0943-R
OG0000791	Sp7g21560	Sdiv_ptg000004l_1212-R, Sdiv_ptg000005l_0902-R
OG0000791	Sp6g06220	Sdiv_ptg000010l_1602-R
OG0000792	Sp5g20360	Sdiv_ptg000015l_1511-R
OG0000793	Sp6g06320	Sdiv_ptg000010l_1594-R, Sdiv_ptg000009l_1666-R
OG0000794	Sp6g06760	Sdiv_ptg000009l_1695-R
OG0000794	Sp7g22060	Sdiv_ptg000005l_0936-R, Sdiv_ptg000004l_1244-R
OG0000795	Sp7g22100	Sdiv_ptg000004l_1247-R, Sdiv_ptg000005l_0940-R
OG0000795	Sp6g06790	Sdiv_ptg000009l_1697-R
OG0000796	Sp6g07410	Sdiv_ptg000010l_1532-R
OG0000796	Sp1g20320	Sdiv_ptg000003l_0573-R
OG0000797	Sp1g29290, Sp6g07730	Sdiv_ptg000009l_1766-R, Sdiv_ptg000003l_1236-R, Sdiv_ptg000014l_1981-R
OG0000798	Sp5g21040	Sdiv_ptg000009l_1774-R
OG0000798	Sp5g21050	Sdiv_ptg000015l_1052-R, Sdiv_ptg000002l_1060-R
OG0000801	Sp3g29810	Sdiv_ptg000001l_0311-R
OG0000802	Sp7g36550	Sdiv_ptg000004l_2305-R
OG0000802	Sp4g00890	Sdiv_ptg000008l_0070-R, Sdiv_ptg000008l_0071-R
OG0000803	Sp4g01230	Sdiv_ptg000022l_0089-R, Sdiv_ptg000008l_0090-R
OG0000803	Sp7g36160	Sdiv_ptg000005l_1982-R, Sdiv_ptg000004l_2290-R
OG0000804	Sp7g35550	Sdiv_ptg000005l_1943-R, Sdiv_ptg000004l_2250-R
OG0000804	Sp6g33780	Sdiv_ptg000010l_2354-R
OG0000805	Sp7g35090	Sdiv_ptg000004l_2213-R
OG0000805	Sp7g35060	Sdiv_ptg000005l_1906-R, Sdiv_ptg000004l_2211-R
OG0000806	Sp4g20600	Sdiv_ptg000008l_1242-R
OG0000806	Sp5g10500	Sdiv_ptg000002l_0473-R, Sdiv_ptg000015l_1642-R
OG0000807	Sp3g04780, Sp3g04770	Sdiv_ptg000013l_1883-R, Sdiv_ptg000001l_1962-R
OG0000808	Sp4g23450	Sdiv_ptg000022l_1564-R
OG0000808	Sp5g05810	Sdiv_ptg000002l_0111-R
OG0000809	Sp5g05370	Sdiv_ptg000002l_0081-R
OG0000809	Sp4g23720	Sdiv_ptg000022l_1583-R
OG0000810	Sp5g05360	Sdiv_ptg000002l_0080-R
OG0000810	Sp4g23760	Sdiv_ptg000008l_1478-R
OG0000811	Sp4g24060	Sdiv_ptg000008l_1495-R, Sdiv_ptg000022l_1606-R
OG0000812	Sp4g24250	Sdiv_ptg000008l_1506-R
OG0000812	Sp5g04680	Sdiv_ptg000015l_2068-R
OG0000813	Sp5g04820	Sdiv_ptg000015l_2057-R
OG0000813	Sp4g24390	Sdiv_ptg000022l_1635-R, Sdiv_ptg000008l_1519-R
OG0000814	Sp4g27140	Sdiv_ptg000022l_1826-R, Sdiv_ptg000018l_0208-R
OG0000814	Sp5g02670	Sdiv_ptg000015l_2218-R
OG0000815	Sp4g27200	Sdiv_ptg000022l_1830-R
OG0000815	Sp5g02630	Sdiv_ptg000015l_2220-R
OG0000816	Sp5g02370	Sdiv_ptg000016l_0137-R
OG0000816	Sp4g27470	Sdiv_ptg000018l_0186-R, Sdiv_ptg000022l_1854-R
OG0000817	Sp5g02330	Sdiv_ptg000016l_0139-R
OG0000817	Sp4g27560	Sdiv_ptg000018l_0179-R, Sdiv_ptg000022l_1859-R
OG0000818	Sp5g02290	Sdiv_ptg000016l_0141-R
OG0000818	Sp4g27790	Sdiv_ptg000022l_1873-R, Sdiv_ptg000018l_0167-R
OG0000819	Sp4g28440	Sdiv_ptg000022l_1925-R
OG0000819	Sp5g01690	Sdiv_ptg000016l_0189-R, Sdiv_ptg000015l_2295-R
OG0000820	Sp4g29140	Sdiv_ptg000018l_0068-R
OG0000820	Sp5g01110	Sdiv_ptg000015l_2332-R
OG0000821	Sp2g24530	Sdiv_ptg000012l_0469-R
OG0000822	Sp5g00660	Sdiv_ptg000015l_2362-R
OG0000822	Sp4g29570	Sdiv_ptg000022l_2017-R
OG0000823	Sp1g19080	Sdiv_ptg000003l_0477-R
OG0000824	Sp5g27250	Sdiv_ptg000002l_1534-R
OG0000824	Sp1g20030	Sdiv_ptg000003l_0545-R, Sdiv_ptg000014l_2659-R
OG0000825	Sp1g20610	Sdiv_ptg000014l_2619-R
OG0000825	Sp5g25960	Sdiv_ptg000002l_1429-R, Sdiv_ptg000015l_0719-R
OG0000826	Sp1g20750	Sdiv_ptg000014l_2609-R, Sdiv_ptg000003l_0607-R
OG0000826	Sp5g25730	Sdiv_ptg000002l_1410-R
OG0000827	Sp5g25700	Sdiv_ptg000015l_0739-R, Sdiv_ptg000002l_1407-R
OG0000827	Sp1g20790	Sdiv_ptg000003l_0609-R
OG0000828	SpUn0270_0020	Sdiv_ptg000015l_1834-R, Sdiv_ptg000015l_1830-R
OG0000829	Sp1g22110	Sdiv_ptg000003l_0684-R
OG0000829	Sp5g24530	Sdiv_ptg000002l_1323-R
OG0000830	Sp1g22580	Sdiv_ptg000015l_0403-R, Sdiv_ptg000002l_1758-R, Sdiv_ptg000014l_2466-R, Sdiv_ptg000003l_0725-R
OG0000831	Sp1g22760	Sdiv_ptg000014l_2455-R, Sdiv_ptg000003l_0740-R
OG0000831	Sp5g23600	Sdiv_ptg000015l_0900-R
OG0000832	Sp4g11780	Sdiv_ptg000003l_1730-R
OG0000833	Sp1g23660	Sdiv_ptg000003l_0811-R, Sdiv_ptg000003l_0787-R, Sdiv_ptg000014l_2406-R, Sdiv_ptg000014l_2384-R
OG0000834	Sp1g23550	Sdiv_ptg000014l_2398-R
OG0000834	Sp1g24160	Sdiv_ptg000014l_2344-R
OG0000835	Sp1g39500	Sdiv_ptg000003l_0994-R
OG0000835	Sp3g13710	Sdiv_ptg000001l_1273-R, Sdiv_ptg000013l_1214-R
OG0000836	Sp1g26060	Sdiv_ptg000014l_2199-R
OG0000837	Sp1g27840	Sdiv_ptg000014l_2081-R
OG0000838	Sp1g29440	Sdiv_ptg000003l_1250-R
OG0000838	SpUn0020_0110, Sp5g26860	Sdiv_ptg000015l_0653-R
OG0000839	Sp2g29260	Sdiv_ptg000012l_0104-R
OG0000839	Sp5g12150	Sdiv_ptg000015l_1534-R, Sdiv_ptg000002l_0595-R
OG0000840	Sp5g12200	Sdiv_ptg000015l_1531-R
OG0000840	Sp2g29140	Sdiv_ptg000012l_0114-R
OG0000841	Sp5g12390	Sdiv_ptg000002l_0613-R
OG0000841	Sp2g28890	Sdiv_ptg000007l_2027-R, Sdiv_ptg000012l_0131-R
OG0000842	Sp5g07060	Sdiv_ptg000002l_0197-R, Sdiv_ptg000015l_1898-R
OG0000842	Sp2g28850	Sdiv_ptg000012l_0136-R
OG0000843	SpUn0247_0020, SpUn1298_0010, Sp6g33350	Sdiv_ptg000010l_2321-R
OG0000843	Sp2g28290	Sdiv_ptg000012l_0183-R
OG0000844	Sp2g28150	Sdiv_ptg000007l_1977-R
OG0000844	Sp2g28130	Sdiv_ptg000007l_1975-R
OG0000845	Sp6g33480	Sdiv_ptg000010l_2331-R
OG0000845	Sp2g27920	Sdiv_ptg000012l_0213-R, Sdiv_ptg000007l_1952-R
OG0000846	Sp6g33670	Sdiv_ptg000010l_2347-R
OG0000846	Sp3g28270	Sdiv_ptg000012l_0241-R, Sdiv_ptg000007l_1947-R
OG0000847	Sp6g34290	Sdiv_ptg000010l_2390-R
OG0000847	Sp1g39730	Sdiv_ptg000012l_0307-R
OG0000848	Sp2g26030	Sdiv_ptg000012l_0362-R
OG0000848	Sp6g11820	Sdiv_ptg000010l_1351-R
OG0000849	Sp2g25800	Sdiv_ptg000012l_0385-R
OG0000849	SpUn0103_0030, Sp5g14090	Sdiv_ptg000007l_1808-R, Sdiv_ptg000002l_0743-R
OG0000850	Sp5g14420	Sdiv_ptg000015l_1370-R
OG0000850	Sp2g25590	Sdiv_ptg000012l_0401-R, Sdiv_ptg000007l_1794-R
OG0000851	Sp6g35720	Sdiv_ptg000009l_0423-R, Sdiv_ptg000010l_2500-R
OG0000851	Sp2g25430	Sdiv_ptg000012l_0412-R, Sdiv_ptg000007l_1785-R
OG0000852	Sp2g25400	Sdiv_ptg000007l_1784-R
OG0000852	Sp6g35700	Sdiv_ptg000010l_2497-R
OG0000853	Sp6g35560	Sdiv_ptg000010l_2486-R, Sdiv_ptg000009l_0438-R
OG0000853	Sp2g25010	Sdiv_ptg000007l_1757-R
OG0000854	Sp2g24930	Sdiv_ptg000007l_1751-R
OG0000854	Sp5g14190	Sdiv_ptg000002l_0754-R
OG0000855	Sp2g24310	Sdiv_ptg000012l_0487-R
OG0000855	Sp6g34920	Sdiv_ptg000009l_0483-R
OG0000856	Sp6g34400	Sdiv_ptg000009l_0525-R
OG0000856	Sp2g23620	Sdiv_ptg000007l_1652-R, Sdiv_ptg000012l_0549-R
OG0000857	Sp6g34660	Sdiv_ptg000009l_0504-R
OG0000857	Sp2g23900	Sdiv_ptg000007l_1675-R
OG0000858	Sp2g22110	Sdiv_ptg000007l_1547-R, Sdiv_ptg000012l_0661-R
OG0000858	Sp6g32300	Sdiv_ptg000009l_0693-R
OG0000859	Sp2g21870, Sp2g21880	Sdiv_ptg000012l_0679-R, Sdiv_ptg000012l_0680-R, Sdiv_ptg000007l_1528-R
OG0000860	Sp3g04880	Sdiv_ptg000001l_1954-R
OG0000860	Sp2g21460	Sdiv_ptg000012l_0710-R, Sdiv_ptg000007l_1498-R
OG0000862	Sp2g20970	Sdiv_ptg000012l_0744-R
OG0000862	Sp3g04470	Sdiv_ptg000013l_1898-R
OG0000863	Sp2g20960	Sdiv_ptg000012l_0745-R
OG0000863	Sp3g04450	Sdiv_ptg000013l_1899-R
OG0000864	Sp2g18540, SpUn1228_0010	Sdiv_ptg000012l_0922-R
OG0000864	Sp3g06750	Sdiv_ptg000013l_1741-R
OG0000865	Sp2g17740	Sdiv_ptg000012l_0984-R
OG0000865	Sp7g02450	Sdiv_ptg000027l_0154-R, Sdiv_ptg000004l_0170-R
OG0000866	Sp2g17570	Sdiv_ptg000007l_1224-R
OG0000868	Sp7g01050	Sdiv_ptg000027l_0245-R
OG0000868	Sp2g16280	Sdiv_ptg000012l_1093-R, Sdiv_ptg000007l_1138-R
OG0000869	Sp2g15770	Sdiv_ptg000012l_1134-R
OG0000869	Sp1g11470	Sdiv_ptg000003l_2087-R, Sdiv_ptg000014l_0830-R
OG0000870	Sp1g11480	Sdiv_ptg000003l_2086-R, Sdiv_ptg000014l_0831-R
OG0000870	Sp2g15760	Sdiv_ptg000012l_1135-R
OG0000871	Sp1g11780	Sdiv_ptg000014l_0856-R
OG0000871	Sp2g14990	Sdiv_ptg000012l_1190-R
OG0000872	Sp3g03140	Sdiv_ptg000013l_1994-R, Sdiv_ptg000001l_2076-R
OG0000873	Sp6g06960	Sdiv_ptg000022l_0169-R
OG0000874	Sp6g27290	Sdiv_ptg000009l_1114-R, Sdiv_ptg000010l_0167-R
OG0000874	Sp5g31840	Sdiv_ptg000015l_0302-R
OG0000875	Sp3g01600	Sdiv_ptg000013l_2096-R
OG0000875	Sp6g28010	Sdiv_ptg000009l_1052-R
OG0000876	Sp6g28060	Sdiv_ptg000010l_1885-R, Sdiv_ptg000009l_1047-R
OG0000876	Sp3g01560	Sdiv_ptg000013l_2100-R
OG0000879	Sp7g04900	Sdiv_ptg000027l_0055-R
OG0000879	Sp7g04930	Sdiv_ptg000027l_0054-R, Sdiv_ptg000004l_0262-R
OG0000880	Sp6g24960	Sdiv_ptg000010l_0342-R, Sdiv_ptg000009l_1307-R
OG0000882	SpUn0005_0160	Sdiv_ptg000004l_0268-R
OG0000882	Sp6g22770	Sdiv_ptg000010l_0519-R, Sdiv_ptg000009l_2768-R
OG0000883	Sp6g22350	Sdiv_ptg000010l_0548-R
OG0000883	SpUn1576_0010	Sdiv_ptg000014l_0477-R
OG0000884	Sp6g21910	Sdiv_ptg000010l_0578-R, Sdiv_ptg000009l_2703-R
OG0000885	Sp6g21390	Sdiv_ptg000009l_2658-R
OG0000886	Sp6g19930	Sdiv_ptg000010l_0732-R, Sdiv_ptg000009l_2553-R
OG0000887	Sp6g18130	Sdiv_ptg000009l_2394-R
OG0000887	Sp7g24340	Sdiv_ptg000004l_1429-R, Sdiv_ptg000005l_1119-R
OG0000888	Sp6g17840	Sdiv_ptg000010l_0913-R, Sdiv_ptg000009l_2371-R
OG0000888	Sp7g24530	Sdiv_ptg000004l_1439-R
OG0000889	Sp6g17780	Sdiv_ptg000010l_0917-R
OG0000889	Sp7g24550	Sdiv_ptg000005l_1134-R
OG0000890	Sp7g24980	Sdiv_ptg000004l_1472-R
OG0000890	Sp6g16840	Sdiv_ptg000009l_2286-R, Sdiv_ptg000010l_0997-R
OG0000891	Sp3g00100	Sdiv_ptg000010l_0994-R
OG0000891	Sp6g29940	Sdiv_ptg000010l_2033-R
OG0000892	Sp7g24800	Sdiv_ptg000005l_1157-R
OG0000892	Sp6g17100	Sdiv_ptg000010l_0975-R
OG0000893	Sp6g16370	Sdiv_ptg000009l_2245-R
OG0000895	Sp7g23660	Sdiv_ptg000004l_1376-R, Sdiv_ptg000005l_1061-R
OG0000896	Sp6g29830, SpUn0049_0030	Sdiv_ptg000009l_0899-R
OG0000896	Sp5g35220	Sdiv_ptg000015l_0070-R
OG0000897	Sp3g10580	Sdiv_ptg000013l_1443-R, Sdiv_ptg000001l_1513-R
OG0000897	Sp6g30150	Sdiv_ptg000009l_0866-R
OG0000898	Sp3g15180	Sdiv_ptg000010l_2175-R
OG0000900	Sp6g32350	Sdiv_ptg000010l_2236-R, Sdiv_ptg000010l_2234-R, Sdiv_ptg000009l_0690-R, Sdiv_ptg000009l_0688-R
OG0000901	Sp3g09400	Sdiv_ptg000013l_1541-R
OG0000901	Sp6g37330	Sdiv_ptg000009l_0303-R, Sdiv_ptg000010l_2629-R
OG0000902	Sp6g37830	Sdiv_ptg000010l_2664-R
OG0000902	Sp3g09040	Sdiv_ptg000013l_1568-R, Sdiv_ptg000001l_1638-R
OG0000903	Sp3g08880	Sdiv_ptg000001l_1650-R
OG0000903	Sp6g38130	Sdiv_ptg000010l_2686-R
OG0000905	Sp6g38240	Sdiv_ptg000010l_2699-R
OG0000905	Sp3g08820	Sdiv_ptg000001l_1653-R, Sdiv_ptg000013l_1586-R
OG0000906	Sp6g38580	Sdiv_ptg000010l_2718-R, Sdiv_ptg000009l_0216-R
OG0000906	Sp3g08560	Sdiv_ptg000001l_1674-R
OG0000907	Sp6g38620	Sdiv_ptg000010l_2722-R, Sdiv_ptg000009l_0213-R
OG0000907	Sp3g08540	Sdiv_ptg000001l_1675-R
OG0000908	Sp6g16910	Sdiv_ptg000009l_2294-R
OG0000908	Sp3g07400, Sp6g40640	Sdiv_ptg000010l_2861-R, Sdiv_ptg000009l_0046-R
OG0000909	Sp6g40810	Sdiv_ptg000009l_0033-R
OG0000909	Sp3g07330	Sdiv_ptg000001l_1765-R
OG0000910	Sp4g01940	Sdiv_ptg000022l_0138-R
OG0000910	Sp7g35340	Sdiv_ptg000008l_0141-R, Sdiv_ptg000005l_1927-R
OG0000911	Sp3g11520	Sdiv_ptg000013l_1374-R
OG0000911	Sp1g41310	Sdiv_ptg000014l_2894-R
OG0000912	Sp7g17930	Sdiv_ptg000004l_0953-R
OG0000912	Sp3g11840	Sdiv_ptg000001l_1417-R
OG0000913	Sp1g40660	Sdiv_ptg000003l_0096-R, Sdiv_ptg000014l_2849-R
OG0000913	Sp3g12170	Sdiv_ptg000001l_1394-R
OG0000914	Sp1g39720	Sdiv_ptg000003l_1828-R, Sdiv_ptg000014l_2779-R
OG0000914	Sp3g13430	Sdiv_ptg000001l_1297-R
OG0000915	Sp3g14040	Sdiv_ptg000001l_1251-R
OG0000915	Sp1g39160	Sdiv_ptg000003l_1783-R, Sdiv_ptg000014l_2742-R
OG0000916	Sp1g39040	Sdiv_ptg000003l_1771-R, Sdiv_ptg000003l_1642-R
OG0000916	Sp3g14260	Sdiv_ptg000001l_1235-R, Sdiv_ptg000013l_1179-R
OG0000917	Sp3g14830	Sdiv_ptg000001l_1199-R
OG0000917	Sp1g38620	Sdiv_ptg000003l_1736-R, Sdiv_ptg000014l_2701-R
OG0000918	Sp7g17373	Sdiv_ptg000005l_0370-R, Sdiv_ptg000004l_0675-R
OG0000919	Sp1g35010	Sdiv_ptg000003l_1492-R, Sdiv_ptg000014l_1685-R
OG0000919	Sp3g15460	Sdiv_ptg000001l_1151-R
OG0000921	Sp3g20760	Sdiv_ptg000001l_0736-R, Sdiv_ptg000013l_0686-R
OG0000921	Sp7g12580	Sdiv_ptg000005l_0261-R
OG0000922	Sp3g20970	Sdiv_ptg000013l_0668-R
OG0000922	Sp7g12420	Sdiv_ptg000004l_0539-R
OG0000923	Sp7g11970	Sdiv_ptg000004l_0508-R
OG0000923	Sp3g21440	Sdiv_ptg000001l_0671-R, Sdiv_ptg000013l_0637-R
OG0000924	Sp7g06600, Sp3g23300	Sdiv_ptg000013l_0504-R
OG0000924	SpUn1174_0010	Sdiv_ptg000001l_0535-R
OG0000930	SpUn0003_0030, Sp5g18770, SpUn0641_0020	Sdiv_ptg000014l_0183-R
OG0000931	Sp3g33770	Sdiv_ptg000011l_0023-R, Sdiv_ptg000013l_0028-R
OG0000931	Sp7g26450	Sdiv_ptg000005l_1273-R
OG0000932	Sp3g33900	Sdiv_ptg000001l_0027-R, Sdiv_ptg000013l_0019-R
OG0000932	Sp7g26330	Sdiv_ptg000005l_1260-R
OG0000933	Sp1g02580	Sdiv_ptg000014l_0168-R
OG0000933	Sp6g03550	Sdiv_ptg000009l_1485-R, Sdiv_ptg000010l_1757-R
OG0000934	Sp6g03670	Sdiv_ptg000009l_1494-R, Sdiv_ptg000010l_1751-R
OG0000934	Sp7g19180	Sdiv_ptg000004l_1050-R
OG0000935	Sp7g19920	Sdiv_ptg000004l_1098-R
OG0000935	Sp6g04070	Sdiv_ptg000009l_1525-R
OG0000936	Sp6g04340	Sdiv_ptg000009l_1548-R
OG0000936	Sp6g04330	Sdiv_ptg000010l_1701-R
OG0000938	Sp6g04950	Sdiv_ptg000010l_1676-R
OG0000939	Sp6g05070, Sp6g05080	Sdiv_ptg000010l_1674-R
OG0000940	Sp7g20570	Sdiv_ptg000005l_0832-R
OG0000940	Sp6g05090	Sdiv_ptg000009l_1579-R
OG0000941	Sp5g11400	Sdiv_ptg000002l_0548-R
OG0000941	Sp2g30140	Sdiv_ptg000012l_0044-R
OG0000943	Sp4g13460	Sdiv_ptg000022l_0913-R, Sdiv_ptg000008l_0732-R
OG0000944	Sp4g14410	Sdiv_ptg000022l_0795-R
OG0000944	Sp1g04350	Sdiv_ptg000014l_0306-R
OG0000945	Sp1g04170	Sdiv_ptg000014l_0293-R
OG0000945	Sp4g14650	Sdiv_ptg000022l_0833-R
OG0000946	Sp4g14780	Sdiv_ptg000008l_0824-R
OG0000946	SpUn0024_0110, Sp1g04030	Sdiv_ptg000003l_2684-R
OG0000947	Sp7g34460	Sdiv_ptg000005l_1853-R
OG0000947	Sp3g32100	Sdiv_ptg000001l_0178-R, Sdiv_ptg000011l_0157-R
OG0000948	Sp6g38410, Sp6g38400	Sdiv_ptg000004l_2130-R
