Orthogroup	S_pinnata	E_salsugineum
OG0001367	Stapi.4519s0002, Stapi.10158s0001, Stapi.11756s0001	Thhalv10015814m.g, Thhalv10015782m.g
OG0001368	Stapi.4206s0003, Stapi.11808s0001	Thhalv10000109m.g
OG0001370	Stapi.6642s0001	Thhalv10005963m.g
OG0001371	Stapi.3776s0001, Stapi.3776s0002	Thhalv10005990m.g
OG0001372	Stapi.2223s0002, Stapi.3562s0007	Thhalv10016850m.g
OG0001374	Stapi.10806s0001	Thhalv10018656m.g
OG0001375	Stapi.2104s0004	Thhalv10016625m.g
OG0001375	Stapi.0831s0007	Thhalv10010345m.g
OG0001376	Stapi.2166s0001	Thhalv10017236m.g
OG0001376	Stapi.0044s0028	Thhalv10010644m.g
OG0001377	Stapi.3515s0004, Stapi.1322s0007	Thhalv10010255m.g
OG0001377	Stapi.3292s0005	Thhalv10016480m.g
OG0001378	Stapi.6081s0001, Stapi.0307s0002	Thhalv10017240m.g, Thhalv10017241m.g
OG0001379	Stapi.1018s0003	Thhalv10011514m.g
OG0001379	Stapi.1576s0002, Stapi.3749s0004	Thhalv10016712m.g
OG0001380	Stapi.1041s0007, Stapi.0286s0002	Thhalv10018486m.g, Thhalv10018487m.g
OG0001381	Stapi.0534s0003, Stapi.0391s0007	Thhalv10008986m.g
OG0001381	Stapi.2094s0006, Stapi.0376s0004	Thhalv10017351m.g
OG0001382	Stapi.15595s0001, Stapi.2732s0010	Thhalv10007740m.g
OG0001383	Stapi.5402s0002	Thhalv10007103m.g, Thhalv10016395m.g
OG0001384	Stapi.0917s0003	Thhalv10016623m.g
OG0001385	Stapi.1807s0004	Thhalv10016510m.g
OG0001386	Stapi.2314s0002	Thhalv10029436m.g
OG0001386	Stapi.0593s0028	Thhalv10024565m.g
OG0001387	Stapi.1335s0002, Stapi.1555s0001, Stapi.23812s0001, Stapi.25111s0002, Stapi.4867s0002, Stapi.11180s0002, Stapi.4080s0003	Thhalv10028886m.g
OG0001388	Stapi.0459s0011, Stapi.0611s0010	Thhalv10029409m.g
OG0001388	Stapi.0566s0011	Thhalv10008064m.g
OG0001389	Stapi.7793s0004, Stapi.5721s0001	Thhalv10000048m.g, Thhalv10024425m.g
OG0001391	Stapi.3289s0002	Thhalv10019745m.g, Thhalv10027365m.g
OG0001391	Stapi.3289s0003, Stapi.6486s0006	Thhalv10024781m.g
OG0001392	Stapi.23087s0001	Thhalv10026128m.g
OG0001393	Stapi.18264s0001, Stapi.9672s0001	Thhalv10000099m.g
OG0001394	Stapi.24330s0001	Thhalv10021895m.g
OG0001395	Stapi.7786s0007	Thhalv10017352m.g
OG0001396	Stapi.0063s0037	Thhalv10016442m.g
OG0001396	Stapi.3097s0005	Thhalv10005862m.g
OG0001397	Stapi.17858s0001	Thhalv10006040m.g
OG0001398	Stapi.0970s0004	Thhalv10016573m.g
OG0001398	Stapi.2984s0004	Thhalv10005954m.g
OG0001399	Stapi.1306s0004, Stapi.11822s0004	Thhalv10006355m.g
OG0001400	Stapi.4785s0005	Thhalv10006460m.g
OG0001401	Stapi.4579s0002	Thhalv10001623m.g
OG0001402	Stapi.1881s0006, Stapi.2327s0010	Thhalv10028667m.g
OG0001403	Stapi.24059s0001	Thhalv10006047m.g
OG0001404	Stapi.28758s0002	Thhalv10006010m.g, Thhalv10001467m.g
OG0001405	Stapi.7735s0001	Thhalv10001500m.g
OG0001405	Stapi.16691s0001	Thhalv10000707m.g
OG0001407	Stapi.9592s0001, Stapi.2511s0003	Thhalv10007661m.g, Thhalv10018575m.g
OG0001408	Stapi.5821s0004	Thhalv10019686m.g
OG0001408	Stapi.6257s0004	Thhalv10008637m.g
OG0001409	Stapi.0244s0027	Thhalv10018788m.g
OG0001409	Stapi.3910s0004	Thhalv10008042m.g
OG0001410	Stapi.3909s0004	Thhalv10018508m.g
OG0001411	Stapi.4003s0003, Stapi.4921s0002	Thhalv10019128m.g
OG0001412	Stapi.0580s0012, Stapi.3584s0001, Stapi.3335s0001	Thhalv10009666m.g
OG0001412	Stapi.8164s0003	Thhalv10022339m.g
OG0001413	Stapi.6717s0001	Thhalv10008674m.g
OG0001413	Stapi.7728s0003, Stapi.2797s0004	Thhalv10019088m.g
OG0001414	Stapi.7992s0003	Thhalv10008045m.g
OG0001414	Stapi.12702s0001, Stapi.7992s0004	Thhalv10008078m.g
OG0001415	Stapi.1533s0001	Thhalv10017739m.g
OG0001415	Stapi.2500s0004	Thhalv10008739m.g
OG0001416	Stapi.10395s0001, Stapi.0613s0011	Thhalv10027640m.g
OG0001417	Stapi.2874s0006	Thhalv10008472m.g
OG0001418	Stapi.2963s0001	Thhalv10008239m.g
OG0001418	Stapi.5580s0001	Thhalv10026944m.g
OG0001419	Stapi.8229s0002	Thhalv10021131m.g, Thhalv10014145m.g
OG0001422	Stapi.2988s0002	Thhalv10010538m.g
OG0001423	Stapi.2988s0001, Stapi.16492s0001	Thhalv10010981m.g
OG0001424	Stapi.2266s0003, Stapi.2655s0007	Thhalv10010641m.g
OG0001425	Stapi.2266s0002	Thhalv10011085m.g
OG0001426	Stapi.1079s0008, Stapi.2948s0001	Thhalv10014596m.g
OG0001427	Stapi.1054s0007	Thhalv10014330m.g
OG0001428	Stapi.1054s0011	Thhalv10013054m.g
OG0001429	Stapi.3755s0005	Thhalv10005413m.g
OG0001430	Stapi.23876s0001	Thhalv10003741m.g
OG0001432	Stapi.5381s0002, Stapi.2076s0006	Thhalv10000530m.g
OG0001433	Stapi.1869s0001	Thhalv10012739m.g
OG0001434	Stapi.9493s0002	Thhalv10004481m.g
OG0001434	Stapi.0802s0018	Thhalv10013967m.g
OG0001435	Stapi.9286s0001	Thhalv10004831m.g
OG0001435	Stapi.0926s0010, Stapi.2127s0004	Thhalv10010679m.g
OG0001436	Stapi.1652s0006	Thhalv10005519m.g
OG0001436	Stapi.10900s0001	Thhalv10015606m.g
OG0001437	Stapi.0538s0012, Stapi.6321s0005	Thhalv10010801m.g
OG0001438	Stapi.4604s0003	Thhalv10014851m.g
OG0001439	Stapi.2876s0008	Thhalv10004012m.g, Thhalv10003996m.g
OG0001440	Stapi.18828s0002, Stapi.2876s0009	Thhalv10005623m.g, Thhalv10005536m.g, Thhalv10010442m.g, Thhalv10025466m.g
OG0001442	Stapi.2136s0004	Thhalv10003937m.g
OG0001443	Stapi.8306s0003, Stapi.30049s0001	Thhalv10021798m.g, Thhalv10026672m.g
OG0001444	Stapi.6643s0001	Thhalv10004901m.g, Thhalv10021933m.g
OG0001445	Stapi.2966s0005	Thhalv10021158m.g, Thhalv10004612m.g
OG0001446	Stapi.2553s0012, Stapi.2713s0015, Stapi.2966s0012, Stapi.3831s0003	Thhalv10021732m.g
OG0001447	Stapi.1912s0003, Stapi.23936s0001	Thhalv10021740m.g
OG0001448	Stapi.1912s0002	Thhalv10020432m.g
OG0001448	Stapi.2563s0004	Thhalv10003949m.g
OG0001449	Stapi.6668s0003	Thhalv10004911m.g
OG0001449	Stapi.0862s0006	Thhalv10021475m.g
OG0001450	Stapi.5541s0003, Stapi.0341s0007	Thhalv10003667m.g
OG0001450	Stapi.0891s0003	Thhalv10028435m.g
OG0001451	Stapi.3844s0007, Stapi.5142s0004	Thhalv10004601m.g
OG0001452	Stapi.11910s0001	Thhalv10028198m.g
OG0001453	Stapi.6504s0003	Thhalv10005087m.g
OG0001453	Stapi.10417s0001, Stapi.2849s0003	Thhalv10027983m.g
OG0001454	Stapi.4674s0001	Thhalv10028110m.g
OG0001455	Stapi.3902s0002, Stapi.0505s0015	Thhalv10004761m.g
OG0001456	Stapi.2693s0004, Stapi.1193s0018	Thhalv10008454m.g
OG0001457	Stapi.18064s0001	Thhalv10028557m.g
OG0001458	Stapi.14980s0001	Thhalv10007347m.g
OG0001459	Stapi.28883s0001	Thhalv10006698m.g
OG0001459	Stapi.21247s0001	Thhalv10006717m.g
OG0001460	Stapi.0763s0003, Stapi.3788s0004, Stapi.6097s0003	Thhalv10006519m.g
OG0001461	Stapi.4496s0004	Thhalv10014948m.g, Thhalv10023899m.g
OG0001462	Stapi.0786s0007	Thhalv10015712m.g
OG0001462	Stapi.15942s0002	Thhalv10022279m.g
OG0001463	Stapi.1467s0002, Stapi.1467s0003, Stapi.24859s0001, Stapi.1467s0006, Stapi.4269s0002, Stapi.1467s0004, Stapi.4269s0001, Stapi.0308s0025	Thhalv10009679m.g
OG0001464	Stapi.10840s0002	Thhalv10021668m.g
OG0001464	Stapi.3938s0003	Thhalv10014865m.g
OG0001465	Stapi.8177s0001	Thhalv10013205m.g
OG0001466	Stapi.0702s0007	Thhalv10022357m.g
OG0001466	Stapi.0594s0031	Thhalv10015260m.g
OG0001467	Stapi.0334s0010, Stapi.19630s0001	Thhalv10019296m.g
OG0001468	Stapi.5734s0002, Stapi.0237s0029, Stapi.16020s0001, Stapi.0937s0003	Thhalv10027970m.g
OG0001469	Stapi.1909s0001	Thhalv10019188m.g
OG0001469	Stapi.0935s0004	Thhalv10018913m.g
OG0001470	Stapi.0111s0023, Stapi.3294s0002	Thhalv10016602m.g
OG0001471	Stapi.2327s0001	Thhalv10029044m.g
OG0001471	Stapi.2523s0011	Thhalv10009021m.g
OG0001472	Stapi.25722s0001	Thhalv10028753m.g
OG0001472	Stapi.14575s0001	Thhalv10008009m.g
OG0001473	Stapi.11888s0001, Stapi.11888s0002, Stapi.15605s0002, Stapi.22511s0001	Thhalv10029024m.g
OG0001474	Stapi.3868s0008	Thhalv10015636m.g
OG0001475	Stapi.0082s0013, Stapi.9053s0003	Thhalv10012678m.g
OG0001476	Stapi.8807s0005	Thhalv10014012m.g
OG0001477	Stapi.5581s0001, Stapi.0480s0005	Thhalv10010785m.g
OG0001478	Stapi.1754s0004, Stapi.0382s0009	Thhalv10010665m.g
OG0001479	Stapi.0952s0001	Thhalv10027580m.g
OG0001480	Stapi.2481s0002	Thhalv10013589m.g
OG0001480	Stapi.3235s0006	Thhalv10025254m.g
OG0001480	Stapi.2462s0007	Thhalv10001717m.g
OG0001481	Stapi.17250s0001	Thhalv10025773m.g
OG0001482	Stapi.5591s0005	Thhalv10015524m.g
OG0001483	Stapi.1757s0009	Thhalv10014144m.g
OG0001484	Stapi.1098s0006	Thhalv10015021m.g
OG0001484	Stapi.4771s0004, Stapi.0012s0001	Thhalv10026554m.g
OG0001485	Stapi.1761s0011, Stapi.1986s0005	Thhalv10024519m.g
OG0001486	Stapi.0841s0004	Thhalv10016082m.g
OG0001486	Stapi.0563s0014, Stapi.2812s0002, Stapi.1702s0011, Stapi.1761s0002	Thhalv10025998m.g
OG0001487	Stapi.0453s0001, Stapi.1468s0005, Stapi.5716s0002, Stapi.9775s0001, Stapi.3387s0006, Stapi.1468s0004	Thhalv10015950m.g
OG0001488	Stapi.22903s0001	Thhalv10014232m.g, Thhalv10020995m.g
OG0001489	Stapi.3650s0002, Stapi.5774s0007, Stapi.0857s0002	Thhalv10014646m.g
OG0001490	Stapi.0851s0018, Stapi.0782s0017	Thhalv10012850m.g
OG0001490	Stapi.12816s0001	Thhalv10020199m.g
OG0001491	Stapi.6466s0002	Thhalv10028084m.g
OG0001491	Stapi.3960s0001	Thhalv10012969m.g
OG0001492	Stapi.2446s0013	Thhalv10015480m.g, Thhalv10012137m.g, Thhalv10012166m.g, Thhalv10000714m.g, Thhalv10027196m.g, Thhalv10012148m.g, Thhalv10012027m.g, Thhalv10019424m.g, Thhalv10015481m.g, Thhalv10019430m.g
OG0001493	Stapi.4076s0001	Thhalv10014970m.g
OG0001493	Stapi.0788s0003	Thhalv10027214m.g
OG0001494	Stapi.3285s0001	Thhalv10015649m.g, Thhalv10005631m.g, Thhalv10005525m.g, Thhalv10005652m.g
OG0001495	Stapi.1820s0004	Thhalv10028293m.g
OG0001495	Stapi.2249s0001	Thhalv10023056m.g
OG0001496	Stapi.1079s0009	Thhalv10014497m.g
OG0001496	Stapi.2948s0002	Thhalv10026073m.g
OG0001497	Stapi.2285s0001	Thhalv10013748m.g
OG0001498	Stapi.2347s0001	Thhalv10013452m.g
OG0001499	Stapi.1525s0004, Stapi.0622s0009	Thhalv10013280m.g
OG0001501	Stapi.7481s0003	Thhalv10021176m.g
OG0001502	Stapi.9377s0002	Thhalv10020612m.g
OG0001503	Stapi.8104s0002	Thhalv10017509m.g, Thhalv10020150m.g
OG0001504	Stapi.0454s0019, Stapi.9939s0001	Thhalv10002072m.g, Thhalv10002074m.g, Thhalv10002302m.g, Thhalv10029421m.g, Thhalv10029341m.g
OG0001505	Stapi.8631s0002, Stapi.5247s0001	Thhalv10002237m.g
OG0001506	Stapi.5486s0004, Stapi.5524s0001	Thhalv10022691m.g
OG0001507	Stapi.2816s0003	Thhalv10014008m.g, Thhalv10021067m.g
OG0001508	Stapi.3639s0003, Stapi.14399s0003	Thhalv10021844m.g
OG0001508	Stapi.0758s0002	Thhalv10021851m.g
OG0001509	Stapi.3857s0005	Thhalv10014055m.g
OG0001510	Stapi.1417s0003	Thhalv10000104m.g
OG0001510	Stapi.5742s0001, Stapi.10947s0001	Thhalv10000122m.g
OG0001511	Stapi.21360s0001, Stapi.4034s0001	Thhalv10024840m.g, Thhalv10000095m.g
OG0001512	Stapi.4288s0003, Stapi.4313s0002	Thhalv10024573m.g
OG0001513	Stapi.4097s0004	Thhalv10021552m.g
OG0001514	Stapi.4097s0007	Thhalv10020346m.g
OG0001514	Stapi.17408s0001	Thhalv10011330m.g
OG0001515	Stapi.4477s0001, Stapi.6858s0003	Thhalv10019926m.g
OG0001516	Stapi.4247s0005	Thhalv10012315m.g
OG0001516	Stapi.0807s0007	Thhalv10022000m.g
OG0001517	Stapi.2264s0001, Stapi.10095s0003	Thhalv10021145m.g, Thhalv10021144m.g, Thhalv10011658m.g
OG0001518	Stapi.2304s0004	Thhalv10021619m.g
OG0001519	Stapi.0118s0011, Stapi.0118s0024, Stapi.1227s0003, Stapi.3079s0005, Stapi.0118s0026, Stapi.0118s0012	Thhalv10021232m.g
OG0001520	Stapi.5175s0001, Stapi.1644s0004	Thhalv10011716m.g
OG0001521	Stapi.2762s0002	Thhalv10020160m.g
OG0001521	Stapi.3137s0003	Thhalv10011269m.g
OG0001522	Stapi.0846s0004, Stapi.2382s0014, Stapi.2609s0005, Stapi.5623s0002, Stapi.3345s0004	Thhalv10020046m.g
OG0001523	Stapi.0846s0003, Stapi.23495s0001	Thhalv10021480m.g
OG0001524	Stapi.4832s0001	Thhalv10022379m.g
OG0001524	Stapi.3472s0004	Thhalv10011884m.g
OG0001525	Stapi.1059s0011, Stapi.7033s0004	Thhalv10020991m.g, Thhalv10025563m.g
OG0001526	Stapi.2847s0001, Stapi.0587s0016	Thhalv10020412m.g
OG0001526	Stapi.0625s0009	Thhalv10012112m.g
OG0001527	Stapi.1216s0011	Thhalv10020653m.g
OG0001527	Stapi.3015s0001, Stapi.6745s0002	Thhalv10020647m.g
OG0001528	Stapi.4134s0005, Stapi.0943s0008, Stapi.1853s0008, Stapi.1247s0003	Thhalv10011901m.g
OG0001529	Stapi.1853s0003, Stapi.1720s0007	Thhalv10011383m.g
OG0001530	Stapi.3214s0002	Thhalv10021384m.g
OG0001530	Stapi.6542s0001	Thhalv10026071m.g
OG0001531	Stapi.1460s0009, Stapi.10032s0003, Stapi.0694s0011	Thhalv10025734m.g
OG0001532	Stapi.0586s0012, Stapi.2338s0003	Thhalv10020675m.g
OG0001533	Stapi.1884s0002	Thhalv10021852m.g
OG0001533	Stapi.1043s0008	Thhalv10026688m.g
OG0001534	Stapi.0890s0011	Thhalv10024478m.g
OG0001534	Stapi.0049s0025, Stapi.1418s0001	Thhalv10002419m.g
OG0001535	Stapi.10083s0001, Stapi.6285s0002, Stapi.7596s0001, Stapi.0124s0022, Stapi.17365s0001, Stapi.25370s0001	Thhalv10002921m.g
OG0001536	Stapi.0657s0002, Stapi.1719s0003	Thhalv10003058m.g, Thhalv10028552m.g, Thhalv10002501m.g
OG0001538	Stapi.1731s0003, Stapi.10104s0002, Stapi.0348s0005, Stapi.0348s0007, Stapi.0348s0004, Stapi.1731s0004	Thhalv10002512m.g
OG0001539	Stapi.16649s0002	Thhalv10029198m.g
OG0001539	Stapi.0340s0020, Stapi.3897s0002, Stapi.1651s0007	Thhalv10027313m.g, Thhalv10024637m.g
OG0001540	Stapi.0083s0018, Stapi.0765s0012, Stapi.10651s0001, Stapi.0047s0021	Thhalv10002306m.g
OG0001541	Stapi.3576s0009	Thhalv10012896m.g, Thhalv10027674m.g
OG0001542	Stapi.5023s0004, Stapi.3321s0005	Thhalv10028328m.g, Thhalv10003412m.g, Thhalv10005451m.g, Thhalv10004573m.g, Thhalv10027826m.g
OG0001544	Stapi.1312s0001	Thhalv10025943m.g
OG0001545	Stapi.4248s0001	Thhalv10026566m.g
OG0001545	Stapi.6390s0001	Thhalv10000699m.g
OG0001546	Stapi.0719s0005	Thhalv10025591m.g
OG0001547	Stapi.6663s0002	Thhalv10024798m.g
OG0001548	Stapi.0576s0020, Stapi.4232s0005	Thhalv10011177m.g
OG0001548	Stapi.0950s0006	Thhalv10012090m.g
OG0001549	Stapi.1508s0012	Thhalv10027984m.g
OG0001549	Stapi.0677s0005	Thhalv10019303m.g
OG0001550	Stapi.0724s0010	Thhalv10028260m.g, Thhalv10027612m.g, Thhalv10028157m.g, Thhalv10028097m.g, Thhalv10028173m.g, Thhalv10022459m.g, Thhalv10002259m.g, Thhalv10028277m.g
OG0001551	Stapi.7989s0002, Stapi.7989s0001	Thhalv10015383m.g, Thhalv10015562m.g, Thhalv10005486m.g, Thhalv10028179m.g
OG0001552	Stapi.5720s0001	Thhalv10020294m.g
OG0001552	Stapi.5645s0001, Stapi.5774s0001	Thhalv10012853m.g
OG0001553	Stapi.2329s0007, Stapi.0819s0010	Thhalv10012536m.g
OG0001554	Stapi.2684s0002, Stapi.0926s0002, Stapi.1055s0001	Thhalv10014900m.g, Thhalv10014899m.g, Thhalv10001060m.g
OG0001555	Stapi.12772s0001	Thhalv10029027m.g, Thhalv10009824m.g
OG0001556	Stapi.3270s0003, Stapi.3898s0008	Thhalv10026248m.g
OG0001557	Stapi.8756s0002, Stapi.0651s0006, Stapi.0387s0008, Stapi.0387s0005	Thhalv10028677m.g
OG0001558	Stapi.3130s0002	Thhalv10026090m.g
OG0001558	Stapi.0370s0011	Thhalv10028913m.g
OG0001559	Stapi.1864s0005	Thhalv10026027m.g
OG0001559	Stapi.10084s0002	Thhalv10029522m.g
OG0001560	Stapi.6901s0003, Stapi.2304s0005	Thhalv10020754m.g
OG0001561	Stapi.9411s0003	Thhalv10009693m.g
OG0001561	Stapi.4381s0004, Stapi.0084s0025	Thhalv10017204m.g
OG0001562	Stapi.1405s0011	Thhalv10016781m.g, Thhalv10016910m.g, Thhalv10017631m.g, Thhalv10017723m.g, Thhalv10017805m.g, Thhalv10016690m.g
OG0001563	Stapi.4253s0001	Thhalv10016746m.g
OG0001564	Stapi.0115s0018, Stapi.1812s0009	Thhalv10017221m.g
OG0001565	Stapi.1215s0010	Thhalv10008150m.g
OG0001565	Stapi.0364s0004	Thhalv10016914m.g
OG0001566	Stapi.9974s0004, Stapi.1390s0002, Stapi.9974s0002, Stapi.0364s0022	Thhalv10016422m.g
OG0001567	Stapi.4530s0002	Thhalv10024820m.g
OG0001567	Stapi.11769s0001	Thhalv10022635m.g
OG0001568	Stapi.2505s0001	Thhalv10007472m.g
OG0001569	Stapi.8100s0001	Thhalv10026006m.g
OG0001570	Stapi.3096s0001, Stapi.4307s0005	Thhalv10022641m.g
OG0001573	Stapi.0987s0001, Stapi.30631s0001	Thhalv10026791m.g
OG0001576	Stapi.3954s0006, Stapi.2209s0007	Thhalv10004005m.g
OG0001576	Stapi.3954s0005	Thhalv10005661m.g
OG0001577	Stapi.0408s0006, Stapi.3064s0003, Stapi.13322s0001	Thhalv10026592m.g
OG0001579	Stapi.0500s0012, Stapi.0179s0001, Stapi.0009s0005	Thhalv10003224m.g, Thhalv10003226m.g
OG0001580	Stapi.5380s0005	Thhalv10007788m.g
OG0001580	Stapi.12664s0001	Thhalv10023475m.g
OG0001581	Stapi.10978s0002, Stapi.5380s0003	Thhalv10007167m.g
OG0001582	Stapi.3295s0003	Thhalv10023468m.g
OG0001583	Stapi.1152s0008	Thhalv10008358m.g
OG0001583	Stapi.6002s0002	Thhalv10023622m.g
OG0001584	Stapi.4908s0005, Stapi.4908s0003, Stapi.1344s0007, Stapi.3222s0006	Thhalv10024096m.g, Thhalv10024053m.g
OG0001585	Stapi.6562s0001, Stapi.4306s0001	Thhalv10023449m.g
OG0001586	Stapi.5048s0001	Thhalv10023623m.g
OG0001587	Stapi.11101s0001	Thhalv10008065m.g
OG0001588	Stapi.0239s0007, Stapi.0613s0001, Stapi.6777s0002	Thhalv10028350m.g
OG0001588	Stapi.3035s0001, Stapi.0080s0028	Thhalv10018599m.g
OG0001589	Stapi.3163s0006, Stapi.4332s0003, Stapi.3361s0009	Thhalv10009411m.g, Thhalv10027096m.g, Thhalv10028099m.g, Thhalv10006633m.g
OG0001590	Stapi.1922s0005	Thhalv10007876m.g
OG0001590	Stapi.4198s0002	Thhalv10023518m.g
OG0001591	Stapi.2117s0002	Thhalv10022559m.g, Thhalv10006785m.g
OG0001591	Stapi.2250s0012, Stapi.0460s0012	Thhalv10006795m.g
OG0001592	Stapi.0089s0007	Thhalv10009701m.g, Thhalv10007516m.g
OG0001593	Stapi.1209s0005	Thhalv10016000m.g
OG0001594	Stapi.1209s0004	Thhalv10006818m.g
OG0001594	Stapi.4229s0006	Thhalv10003656m.g
OG0001595	Stapi.8072s0002	Thhalv10005238m.g
OG0001596	Stapi.5747s0001	Thhalv10008286m.g
OG0001596	Stapi.0540s0008	Thhalv10004674m.g
OG0001597	Stapi.1302s0002, Stapi.1380s0006	Thhalv10004939m.g
OG0001598	Stapi.0860s0015	Thhalv10001087m.g
OG0001599	Stapi.10962s0002, Stapi.16031s0001	Thhalv10009805m.g, Thhalv10006943m.g
OG0001600	Stapi.0327s0010	Thhalv10007762m.g
OG0001601	Stapi.0045s0032	Thhalv10003278m.g
OG0001602	Stapi.8602s0001, Stapi.2986s0006	Thhalv10001878m.g
OG0001603	Stapi.2319s0003	Thhalv10003154m.g
OG0001603	Stapi.4267s0006, Stapi.8602s0002	Thhalv10006844m.g
OG0001604	Stapi.0194s0016	Thhalv10003194m.g
OG0001605	Stapi.2074s0001, Stapi.7569s0001	Thhalv10023402m.g
OG0001606	Stapi.22777s0001, Stapi.17541s0001, Stapi.14561s0001	Thhalv10006595m.g, Thhalv10006607m.g
OG0001607	Stapi.2359s0007	Thhalv10007479m.g
OG0001608	Stapi.4480s0003, Stapi.4356s0003	Thhalv10018759m.g
OG0001609	Stapi.2470s0003	Thhalv10008749m.g
OG0001609	Stapi.0668s0014, Stapi.26087s0001	Thhalv10019237m.g
OG0001610	Stapi.1663s0013	Thhalv10008670m.g
OG0001611	Stapi.6350s0001, Stapi.5443s0001	Thhalv10018355m.g, Thhalv10007203m.g
OG0001612	Stapi.13115s0001	Thhalv10009371m.g
OG0001613	Stapi.13115s0002, Stapi.1128s0005	Thhalv10009302m.g
OG0001614	Stapi.10229s0001	Thhalv10019183m.g
OG0001614	Stapi.1319s0010	Thhalv10009964m.g
OG0001615	Stapi.1319s0001	Thhalv10008444m.g
OG0001616	Stapi.5980s0003	Thhalv10008081m.g
OG0001617	Stapi.10181s0001, Stapi.0580s0006, Stapi.4910s0001	Thhalv10006909m.g
OG0001618	Stapi.1247s0010	Thhalv10011254m.g
OG0001618	Stapi.3097s0003	Thhalv10005798m.g
OG0001619	Stapi.3969s0009, Stapi.4577s0001	Thhalv10025441m.g
OG0001619	Stapi.7846s0001	Thhalv10027226m.g
OG0001620	Stapi.3950s0008	Thhalv10027473m.g
OG0001620	Stapi.1126s0022, Stapi.1126s0017	Thhalv10026278m.g
OG0001621	Stapi.3950s0006, Stapi.1126s0018	Thhalv10026034m.g
OG0001621	Stapi.3950s0009	Thhalv10026072m.g
OG0001622	Stapi.0010s0062, Stapi.5626s0001	Thhalv10024643m.g, Thhalv10024603m.g
OG0001622	Stapi.9739s0004	Thhalv10024894m.g
OG0001622	Stapi.3617s0003, Stapi.0202s0009	Thhalv10024631m.g
OG0001623	Stapi.0287s0020, Stapi.9297s0002	Thhalv10028947m.g
OG0001623	Stapi.0147s0019	Thhalv10026181m.g
OG0001624	Stapi.2342s0003	Thhalv10024978m.g
OG0001625	Stapi.9153s0001	Thhalv10022627m.g
OG0001625	Stapi.4810s0002	Thhalv10024761m.g
OG0001626	Stapi.5264s0002, Stapi.3881s0002, Stapi.19739s0001, Stapi.5264s0004, Stapi.0451s0018, Stapi.4853s0004, Stapi.5264s0003, Stapi.1386s0008, Stapi.3881s0005, Stapi.0451s0013	Thhalv10027276m.g
OG0001627	Stapi.1978s0004	Thhalv10024238m.g
OG0001627	Stapi.2412s0004	Thhalv10024241m.g
OG0001628	Stapi.1918s0007	Thhalv10000856m.g
OG0001628	Stapi.1978s0002, Stapi.4806s0003	Thhalv10024685m.g
OG0001629	Stapi.2937s0001	Thhalv10012227m.g
OG0001629	Stapi.7392s0002	Thhalv10022587m.g, Thhalv10022543m.g, Thhalv10015258m.g, Thhalv10028419m.g, Thhalv10015515m.g, Thhalv10003369m.g
OG0001631	Stapi.1402s0003, Stapi.6866s0001	Thhalv10022773m.g, Thhalv10000231m.g
OG0001634	Stapi.0162s0001	Thhalv10018781m.g
OG0001635	Stapi.2098s0005, Stapi.3949s0004, Stapi.3753s0002, Stapi.5660s0001, Stapi.1081s0002	Thhalv10018962m.g
OG0001637	Stapi.0185s0014	Thhalv10021381m.g
OG0001638	Stapi.1628s0009	Thhalv10003378m.g, Thhalv10029444m.g, Thhalv10015643m.g, Thhalv10002175m.g, Thhalv10026984m.g
OG0001639	Stapi.2684s0014, Stapi.4534s0004, Stapi.2684s0015	Thhalv10015332m.g, Thhalv10013649m.g
OG0001640	Stapi.0362s0024, Stapi.2458s0004, Stapi.1313s0002	Thhalv10026305m.g, Thhalv10026306m.g
OG0001641	Stapi.8955s0003	Thhalv10005764m.g
OG0001642	Stapi.0185s0018	Thhalv10029124m.g
OG0001643	Stapi.0134s0030	Thhalv10006282m.g
OG0001644	Stapi.4840s0004	Thhalv10005778m.g
OG0001644	Stapi.5154s0002, Stapi.3776s0006	Thhalv10005781m.g
OG0001645	Stapi.0028s0030	Thhalv10017813m.g
OG0001645	Stapi.25233s0001	Thhalv10006004m.g, Thhalv10019739m.g, Thhalv10005988m.g, Thhalv10022726m.g, Thhalv10016687m.g, Thhalv10025492m.g, Thhalv10006459m.g
OG0001646	Stapi.3103s0001, Stapi.5592s0005, Stapi.3103s0004, Stapi.3103s0005, Stapi.5592s0002, Stapi.10553s0001, Stapi.19199s0001, Stapi.17451s0001	Thhalv10006452m.g
OG0001647	Stapi.6341s0001	Thhalv10006659m.g
OG0001647	Stapi.1371s0012, Stapi.2534s0002	Thhalv10018022m.g
OG0001648	Stapi.10211s0006	Thhalv10008524m.g
OG0001648	Stapi.14223s0001, Stapi.5135s0006	Thhalv10019538m.g, Thhalv10019016m.g
OG0001649	Stapi.7701s0003, Stapi.0685s0013	Thhalv10012333m.g, Thhalv10027825m.g
OG0001650	Stapi.1133s0007	Thhalv10007073m.g
OG0001651	Stapi.3292s0002	Thhalv10019174m.g
OG0001652	Stapi.1679s0005, Stapi.3033s0001	Thhalv10019050m.g
OG0001653	Stapi.20430s0001, Stapi.0665s0009	Thhalv10019231m.g
OG0001654	Stapi.1599s0013	Thhalv10006892m.g
OG0001654	Stapi.0426s0005, Stapi.8226s0002, Stapi.1739s0001	Thhalv10023137m.g
OG0001655	Stapi.1384s0007, Stapi.2378s0002	Thhalv10019450m.g
