Orthogroup	S_diversifolius	S_pinnata
OG0001075	Sdiv_ptg000012l_1241-R, Sdiv_ptg000007l_0990-R	Stapi.3829s0001
OG0001076	Sdiv_ptg000015l_1847-R	Stapi.2869s0003
OG0001076	Sdiv_ptg000002l_0256-R	Stapi.5010s0006, Stapi.3486s0004
OG0001078	Sdiv_ptg000002l_0209-R	Stapi.3660s0003
OG0001078	Sdiv_ptg000015l_1884-R	Stapi.3660s0001
OG0001087	Sdiv_ptg000004l_0835-R, Sdiv_ptg000005l_0525-R	Stapi.0518s0009
OG0001088	Sdiv_ptg000012l_1507-R	Stapi.3114s0004
OG0001088	Sdiv_ptg000007l_0760-R	Stapi.3114s0003, Stapi.0581s0012, Stapi.0066s0018
OG0001091	Sdiv_ptg000011l_0358-R, Sdiv_ptg000013l_0356-R	Stapi.1364s0004, Stapi.1096s0004
OG0001092	Sdiv_ptg000012l_1635-R	Stapi.2576s0006
OG0001092	Sdiv_ptg000005l_0711-R	Stapi.0981s0005
OG0001092	Sdiv_ptg000004l_1028-R	Stapi.2997s0009
OG0001093	Sdiv_ptg000001l_0580-R	Stapi.2379s0003
OG0001093	Sdiv_ptg000013l_0550-R	Stapi.0246s0004
OG0001095	Sdiv_ptg000008l_0296-R	Stapi.0859s0002
OG0001096	Sdiv_ptg000010l_0349-R, Sdiv_ptg000009l_1314-R	Stapi.0997s0007, Stapi.0997s0005
OG0001097	Sdiv_ptg000003l_1520-R	Stapi.0510s0003
OG0001097	Sdiv_ptg000015l_0612-R, Sdiv_ptg000003l_1031-R, Sdiv_ptg000003l_1062-R	Stapi.20987s0001
OG0001098	Sdiv_ptg000005l_1469-R, Sdiv_ptg000004l_1763-R	Stapi.2710s0008
OG0001101	Sdiv_ptg000004l_1710-R, Sdiv_ptg000005l_1416-R	Stapi.0652s0002
OG0001102	Sdiv_ptg000005l_1917-R, Sdiv_ptg000004l_2225-R	Stapi.2439s0004, Stapi.1204s0005
OG0001105	Sdiv_ptg000022l_0560-R	Stapi.0351s0004
OG0001106	Sdiv_ptg000008l_1406-R	Stapi.2238s0004
OG0001107	Sdiv_ptg000022l_1460-R, Sdiv_ptg000022l_1459-R	Stapi.2982s0009
OG0001108	Sdiv_ptg000022l_1432-R, Sdiv_ptg000008l_1329-R, Sdiv_ptg000015l_1885-R	Stapi.5288s0001, Stapi.5176s0003
OG0001109	Sdiv_ptg000022l_1739-R	Stapi.7905s0001, Stapi.4482s0004
OG0001110	Sdiv_ptg000008l_1293-R	Stapi.3684s0001
OG0001111	Sdiv_ptg000002l_0371-R	Stapi.0647s0008
OG0001112	Sdiv_ptg000002l_0377-R	Stapi.0647s0015
OG0001112	Sdiv_ptg000022l_1170-R	Stapi.2022s0005
OG0001113	Sdiv_ptg000002l_0380-R	Stapi.0647s0019
OG0001113	Sdiv_ptg000015l_1725-R, Sdiv_ptg000015l_1729-R	Stapi.10152s0001
OG0001114	Sdiv_ptg000003l_2204-R, Sdiv_ptg000014l_0683-R	Stapi.3168s0002, Stapi.7978s0003, Stapi.0460s0017, Stapi.3749s0007, Stapi.7978s0002
OG0001115	Sdiv_ptg000004l_0747-R, Sdiv_ptg000005l_0442-R	Stapi.2641s0002, Stapi.2445s0004
OG0001115	Sdiv_ptg000022l_1130-R	Stapi.3249s0002
OG0001116	Sdiv_ptg000001l_0381-R	Stapi.1301s0001
OG0001116	Sdiv_ptg000022l_1098-R	Stapi.6063s0002, Stapi.3173s0009
OG0001117	Sdiv_ptg000014l_1115-R	Stapi.1321s0013
OG0001117	Sdiv_ptg000022l_1074-R	Stapi.1419s0013
OG0001118	Sdiv_ptg000014l_2189-R	Stapi.1009s0009
OG0001118	Sdiv_ptg000008l_0980-R, Sdiv_ptg000022l_1056-R	Stapi.1616s0002, Stapi.1058s0005
OG0001119	Sdiv_ptg000009l_1632-R	Stapi.11443s0001
OG0001120	Sdiv_ptg000010l_1554-R	Stapi.0373s0005, Stapi.0463s0002, Stapi.0999s0006
OG0001121	Sdiv_ptg000010l_1532-R	Stapi.1250s0001
OG0001121	Sdiv_ptg000009l_1750-R, Sdiv_ptg000003l_0573-R	Stapi.0134s0040
OG0001122	Sdiv_ptg000009l_1774-R	Stapi.1537s0003
OG0001122	Sdiv_ptg000002l_1060-R	Stapi.0617s0005
OG0001124	Sdiv_ptg000001l_0311-R	Stapi.6412s0001
OG0001124	Sdiv_ptg000005l_1714-R	Stapi.2879s0006
OG0001125	Sdiv_ptg000005l_2026-R, Sdiv_ptg000004l_2327-R, Sdiv_ptg000008l_0041-R	Stapi.0506s0003
OG0001127	Sdiv_ptg000008l_0102-R, Sdiv_ptg000022l_0098-R	Stapi.14702s0001, Stapi.8376s0001
OG0001128	Sdiv_ptg000005l_1940-R, Sdiv_ptg000004l_2247-R, Sdiv_ptg000007l_2021-R, Sdiv_ptg000012l_0144-R	Stapi.8331s0002
OG0001129	Sdiv_ptg000008l_0134-R	Stapi.1959s0003, Stapi.4282s0005
OG0001130	Sdiv_ptg000005l_1906-R, Sdiv_ptg000004l_2211-R	Stapi.14122s0002
OG0001131	Sdiv_ptg000001l_0301-R, Sdiv_ptg000001l_0302-R	Stapi.6860s0001
OG0001132	Sdiv_ptg000002l_0111-R	Stapi.0120s0030, Stapi.12982s0001
OG0001133	Sdiv_ptg000008l_1459-R, Sdiv_ptg000022l_1569-R	Stapi.2742s0004
OG0001134	Sdiv_ptg000013l_1600-R	Stapi.1265s0006
OG0001135	Sdiv_ptg000008l_1492-R, Sdiv_ptg000022l_1602-R, Sdiv_ptg000015l_2031-R, Sdiv_ptg000002l_0067-R	Stapi.9198s0002
OG0001136	Sdiv_ptg000015l_2125-R, Sdiv_ptg000016l_0027-R	Stapi.2984s0002
OG0001137	Sdiv_ptg000016l_0100-R	Stapi.2290s0003
OG0001138	Sdiv_ptg000005l_0423-R	Stapi.4819s0002
OG0001139	Sdiv_ptg000022l_1859-R	Stapi.4946s0003
OG0001139	Sdiv_ptg000016l_0139-R	Stapi.6140s0002
OG0001140	Sdiv_ptg000022l_1907-R	Stapi.9455s0001
OG0001141	Sdiv_ptg000016l_0201-R, Sdiv_ptg000015l_2303-R	Stapi.4132s0002
OG0001142	Sdiv_ptg000022l_1962-R, Sdiv_ptg000018l_0083-R, Sdiv_ptg000015l_2321-R	Stapi.9900s0001, Stapi.8957s0005, Stapi.6300s0003
OG0001143	Sdiv_ptg000018l_0078-R, Sdiv_ptg000022l_1965-R	Stapi.4809s0003
OG0001145	Sdiv_ptg000022l_1981-R, Sdiv_ptg000015l_2332-R, Sdiv_ptg000016l_0224-R	Stapi.6455s0002
OG0001146	Sdiv_ptg000012l_0469-R	Stapi.1990s0002
OG0001147	Sdiv_ptg000003l_0477-R	Stapi.3086s0007
OG0001148	Sdiv_ptg000014l_2691-R, Sdiv_ptg000003l_0511-R	Stapi.1023s0007
OG0001149	Sdiv_ptg000002l_1930-R, Sdiv_ptg000015l_0221-R	Stapi.16373s0001
OG0001150	Sdiv_ptg000010l_2090-R	Stapi.0776s0022
OG0001150	Sdiv_ptg000009l_0822-R	Stapi.5572s0004, Stapi.1809s0002
OG0001151	Sdiv_ptg000003l_0608-R, Sdiv_ptg000014l_2608-R	Stapi.0056s0005
OG0001152	Sdiv_ptg000003l_0616-R	Stapi.3499s0007
OG0001153	Sdiv_ptg000002l_1758-R, Sdiv_ptg000015l_0403-R	Stapi.6689s0003
OG0001153	Sdiv_ptg000014l_2466-R, Sdiv_ptg000003l_0725-R	Stapi.1042s0003, Stapi.11651s0001
OG0001154	Sdiv_ptg000015l_0905-R	Stapi.0728s0002, Stapi.5052s0002
OG0001154	Sdiv_ptg000003l_0747-R	Stapi.1632s0006
OG0001155	Sdiv_ptg000014l_2414-R	Stapi.1063s0007
OG0001155	Sdiv_ptg000015l_0961-R	Stapi.0793s0002
OG0001156	Sdiv_ptg000015l_0965-R	Stapi.0287s0028
OG0001156	Sdiv_ptg000014l_2412-R	Stapi.3338s0002
OG0001156	Sdiv_ptg000003l_0783-R	Stapi.1063s0009
OG0001157	Sdiv_ptg000014l_2359-R, Sdiv_ptg000003l_0837-R	Stapi.0690s0001, Stapi.1078s0006
OG0001158	Sdiv_ptg000013l_1214-R, Sdiv_ptg000001l_1273-R	Stapi.0446s0002
OG0001158	Sdiv_ptg000003l_0994-R	Stapi.6089s0004
OG0001159	Sdiv_ptg000014l_2199-R	Stapi.1260s0004
OG0001160	Sdiv_ptg000003l_1023-R	Stapi.5356s0005, Stapi.0898s0008, Stapi.11845s0005
OG0001161	Sdiv_ptg000014l_2108-R, Sdiv_ptg000009l_1698-R	Stapi.15898s0001, Stapi.2585s0007, Stapi.9258s0003, Stapi.8494s0001
OG0001162	Sdiv_ptg000014l_2081-R	Stapi.7217s0001, Stapi.0816s0003
OG0001163	Sdiv_ptg000014l_2761-R	Stapi.1819s0006, Stapi.1819s0005, Stapi.1819s0004
OG0001164	Sdiv_ptg000002l_0599-R, Sdiv_ptg000015l_1532-R	Stapi.3563s0001
OG0001165	Sdiv_ptg000012l_0136-R	Stapi.3555s0001
OG0001165	Sdiv_ptg000002l_0197-R	Stapi.10477s0001
OG0001166	Sdiv_ptg000007l_1951-R	Stapi.31116s0001
OG0001166	Sdiv_ptg000012l_0212-R	Stapi.27567s0001
OG0001167	Sdiv_ptg000012l_0307-R	Stapi.12292s0001
OG0001167	Sdiv_ptg000010l_2390-R	Stapi.0802s0016
OG0001168	Sdiv_ptg000007l_1794-R	Stapi.4549s0003
OG0001168	Sdiv_ptg000015l_1370-R	Stapi.0773s0009
OG0001169	Sdiv_ptg000007l_1785-R, Sdiv_ptg000012l_0412-R	Stapi.9137s0002
OG0001170	Sdiv_ptg000010l_2497-R	Stapi.19297s0001
OG0001170	Sdiv_ptg000012l_0413-R, Sdiv_ptg000007l_1784-R	Stapi.3402s0002
OG0001171	Sdiv_ptg000007l_1641-R, Sdiv_ptg000012l_0559-R	Stapi.0722s0012, Stapi.1652s0011, Stapi.1652s0009
OG0001172	Sdiv_ptg000009l_0504-R	Stapi.6269s0005
OG0001176	Sdiv_ptg000012l_0743-R	Stapi.2966s0002
OG0001176	Sdiv_ptg000001l_1985-R	Stapi.1910s0008, Stapi.0218s0001, Stapi.6677s0003
OG0001177	Sdiv_ptg000007l_1464-R	Stapi.2966s0004
OG0001178	Sdiv_ptg000010l_2114-R, Sdiv_ptg000001l_1992-R, Sdiv_ptg000013l_1902-R	Stapi.0947s0012
OG0001179	Sdiv_ptg000012l_0781-R	Stapi.2563s0003
OG0001180	Sdiv_ptg000007l_1423-R	Stapi.1692s0006
OG0001181	Sdiv_ptg000001l_2034-R, Sdiv_ptg000007l_1420-R, Sdiv_ptg000012l_0791-R	Stapi.1692s0009
OG0001182	Sdiv_ptg000013l_1774-R	Stapi.4264s0001
OG0001183	Sdiv_ptg000013l_1741-R	Stapi.8086s0001
OG0001183	Sdiv_ptg000012l_0922-R	Stapi.2578s0001
OG0001184	Sdiv_ptg000007l_1224-R	Stapi.2254s0003
OG0001185	Sdiv_ptg000012l_1042-R	Stapi.9189s0002
OG0001185	Sdiv_ptg000005l_0236-R	Stapi.0414s0016, Stapi.3477s0005
OG0001186	Sdiv_ptg000012l_1071-R	Stapi.11734s0003
OG0001187	Sdiv_ptg000012l_1085-R	Stapi.11538s0002, Stapi.2434s0019
OG0001187	Sdiv_ptg000004l_0079-R	Stapi.9313s0001
OG0001188	Sdiv_ptg000004l_0066-R, Sdiv_ptg000027l_0258-R	Stapi.7785s0002
OG0001189	Sdiv_ptg000009l_2869-R	Stapi.29288s0001, Stapi.3892s0001
OG0001190	Sdiv_ptg000010l_1834-R	Stapi.1721s0008
OG0001191	Sdiv_ptg000004l_0692-R	Stapi.0887s0009
OG0001191	Sdiv_ptg000013l_1108-R	Stapi.1279s0004
OG0001192	Sdiv_ptg000009l_1211-R	Stapi.1497s0007
OG0001193	Sdiv_ptg000009l_1120-R	Stapi.1544s0020
OG0001194	Sdiv_ptg000010l_1868-R, Sdiv_ptg000009l_1062-R	Stapi.1456s0004
OG0001195	Sdiv_ptg000027l_0096-R	Stapi.3193s0001
OG0001195	Sdiv_ptg000009l_1053-R, Sdiv_ptg000010l_1880-R	Stapi.1187s0014
OG0001196	Sdiv_ptg000001l_2191-R, Sdiv_ptg000013l_2096-R, Sdiv_ptg000009l_1052-R	Stapi.1187s0013
OG0001197	Sdiv_ptg000010l_1907-R, Sdiv_ptg000001l_2210-R, Sdiv_ptg000009l_1024-R	Stapi.3490s0002
OG0001199	Sdiv_ptg000004l_0262-R	Stapi.0929s0014
OG0001199	Sdiv_ptg000027l_0054-R	Stapi.3061s0003, Stapi.4240s0001
OG0001200	Sdiv_ptg000009l_2963-R, Sdiv_ptg000003l_2909-R, Sdiv_ptg000014l_0048-R	Stapi.9254s0004, Stapi.14143s0002
OG0001201	Sdiv_ptg000009l_1271-R	Stapi.14328s0001, Stapi.0590s0020
OG0001201	Sdiv_ptg000013l_1856-R	Stapi.4929s0003
OG0001202	Sdiv_ptg000010l_0342-R, Sdiv_ptg000009l_1307-R	Stapi.2730s0004, Stapi.8386s0002
OG0001203	Sdiv_ptg000010l_0973-R	Stapi.1130s0006
OG0001203	Sdiv_ptg000009l_1349-R	Stapi.1606s0002
OG0001204	Sdiv_ptg000015l_1176-R	Stapi.3169s0001
OG0001204	Sdiv_ptg000009l_1390-R	Stapi.2783s0002
OG0001206	Sdiv_ptg000015l_1301-R	Stapi.0263s0002
OG0001206	Sdiv_ptg000009l_2680-R	Stapi.6725s0002
OG0001206	Sdiv_ptg000010l_0601-R	Stapi.3348s0001
OG0001208	Sdiv_ptg000010l_0830-R	Stapi.1474s0008
OG0001209	Sdiv_ptg000009l_2371-R, Sdiv_ptg000010l_0913-R	Stapi.9316s0001, Stapi.3598s0005
OG0001211	Sdiv_ptg000010l_1059-R	Stapi.2428s0008
OG0001212	Sdiv_ptg000010l_1088-R	Stapi.0013s0013
OG0001212	Sdiv_ptg000005l_1215-R	Stapi.1986s0008, Stapi.1761s0014
OG0001213	Sdiv_ptg000009l_2134-R	Stapi.1216s0012, Stapi.3489s0002
OG0001213	Sdiv_ptg000010l_1137-R	Stapi.3513s0009
OG0001214	Sdiv_ptg000010l_2709-R	Stapi.20491s0001, Stapi.3488s0003, Stapi.8701s0002, Stapi.3488s0002
OG0001214	Sdiv_ptg000007l_2107-R	Stapi.8596s0003
OG0001216	Sdiv_ptg000009l_2044-R	Stapi.2706s0005, Stapi.1401s0003
OG0001217	Sdiv_ptg000010l_1239-R	Stapi.3405s0004
OG0001217	Sdiv_ptg000009l_2028-R	Stapi.1472s0002
OG0001218	Sdiv_ptg000011l_0410-R	Stapi.25261s0001, Stapi.16364s0001, Stapi.17240s0001, Stapi.0534s0005, Stapi.3841s0001, Stapi.4319s0001, Stapi.7427s0001, Stapi.0501s0004
OG0001219	Sdiv_ptg000010l_2315-R	Stapi.4866s0004
OG0001219	Sdiv_ptg000009l_0614-R	Stapi.1054s0019, Stapi.5050s0001, Stapi.2491s0003, Stapi.1054s0018, Stapi.10115s0002, Stapi.1054s0024
OG0001221	Sdiv_ptg000013l_1454-R, Sdiv_ptg000001l_1522-R	Stapi.2736s0012
OG0001222	Sdiv_ptg000001l_1549-R	Stapi.3737s0003
OG0001223	Sdiv_ptg000013l_1487-R	Stapi.6716s0003
OG0001224	Sdiv_ptg000013l_1501-R	Stapi.6987s0001
OG0001226	Sdiv_ptg000001l_1649-R	Stapi.0525s0005, Stapi.0069s0002
OG0001227	Sdiv_ptg000001l_1766-R, Sdiv_ptg000013l_1697-R, Sdiv_ptg000010l_2871-R	Stapi.8661s0001, Stapi.3857s0006
OG0001228	Sdiv_ptg000022l_0169-R	Stapi.0026s0005, Stapi.2092s0004, Stapi.4624s0004, Stapi.2138s0001
OG0001229	Sdiv_ptg000022l_0140-R	Stapi.9074s0002, Stapi.0300s0015, Stapi.4034s0002
OG0001229	Sdiv_ptg000007l_1393-R	Stapi.4416s0003
OG0001230	Sdiv_ptg000022l_0149-R	Stapi.8783s0001, Stapi.10863s0001
OG0001230	Sdiv_ptg000004l_1961-R, Sdiv_ptg000005l_1651-R	Stapi.18048s0001
OG0001231	Sdiv_ptg000016l_0310-R	Stapi.2005s0004, Stapi.0410s0016, Stapi.0443s0007, Stapi.1127s0005
OG0001232	Sdiv_ptg000008l_0115-R	Stapi.17135s0001
OG0001232	Sdiv_ptg000022l_0286-R	Stapi.1727s0008
OG0001233	Sdiv_ptg000004l_0064-R	Stapi.22495s0001, Stapi.14507s0001
OG0001234	Sdiv_ptg000001l_1394-R, Sdiv_ptg000013l_1327-R	Stapi.2623s0001
OG0001235	Sdiv_ptg000013l_1227-R	Stapi.2168s0011
OG0001236	Sdiv_ptg000001l_1285-R	Stapi.0446s0014
OG0001237	Sdiv_ptg000001l_1259-R, Sdiv_ptg000013l_1201-R	Stapi.3380s0008
OG0001238	Sdiv_ptg000013l_1167-R, Sdiv_ptg000003l_1759-R	Stapi.1420s0006, Stapi.11392s0002
OG0001239	Sdiv_ptg000013l_1127-R	Stapi.11708s0001
OG0001239	Sdiv_ptg000004l_0678-R	Stapi.3583s0001
OG0001240	Sdiv_ptg000001l_1109-R	Stapi.5948s0001
OG0001240	Sdiv_ptg000013l_1046-R	Stapi.8513s0003
OG0001241	Sdiv_ptg000003l_1544-R, Sdiv_ptg000014l_1636-R	Stapi.6751s0004
OG0001241	Sdiv_ptg000013l_1024-R	Stapi.0961s0007
OG0001242	Sdiv_ptg000003l_1660-R	Stapi.1813s0006, Stapi.1561s0008
OG0001243	Sdiv_ptg000001l_0875-R	Stapi.1064s0003, Stapi.3625s0004
OG0001243	Sdiv_ptg000013l_0815-R	Stapi.1744s0010
OG0001245	Sdiv_ptg000013l_0776-R	Stapi.2635s0004
OG0001245	Sdiv_ptg000001l_0839-R, Sdiv_ptg000013l_0777-R, Sdiv_ptg000001l_0840-R	Stapi.2635s0003
OG0001247	Sdiv_ptg000014l_0120-R, Sdiv_ptg000003l_2836-R	Stapi.8519s0003, Stapi.16241s0001
OG0001247	Sdiv_ptg000010l_1844-R	Stapi.4933s0001
OG0001249	Sdiv_ptg000022l_0674-R, Sdiv_ptg000008l_0630-R, Sdiv_ptg000022l_0673-R	Stapi.3269s0003, Stapi.0308s0016, Stapi.0308s0015
OG0001251	Sdiv_ptg000022l_0666-R, Sdiv_ptg000022l_0671-R	Stapi.0916s0007, Stapi.8049s0002
OG0001251	Sdiv_ptg000022l_0672-R	Stapi.0916s0010
OG0001252	Sdiv_ptg000004l_0027-R, Sdiv_ptg000027l_0290-R, Sdiv_ptg000008l_0016-R	Stapi.12379s0001
OG0001253	Sdiv_ptg000004l_0035-R	Stapi.31480s0002
OG0001253	Sdiv_ptg000005l_0911-R, Sdiv_ptg000004l_1219-R	Stapi.5416s0002
OG0001254	Sdiv_ptg000004l_0130-R	Stapi.8535s0002, Stapi.8535s0003, Stapi.20940s0001
OG0001255	Sdiv_ptg000001l_0712-R	Stapi.3479s0001
OG0001256	Sdiv_ptg000001l_0030-R	Stapi.27462s0001
OG0001257	Sdiv_ptg000001l_1001-R	Stapi.9366s0001
OG0001257	Sdiv_ptg000014l_1584-R	Stapi.7738s0001
OG0001257	Sdiv_ptg000003l_1613-R	Stapi.4368s0001
OG0001258	Sdiv_ptg000014l_1605-R	Stapi.0576s0005
OG0001259	Sdiv_ptg000010l_1801-R	Stapi.6277s0004
OG0001259	Sdiv_ptg000009l_1441-R	Stapi.0234s0003, Stapi.16931s0001, Stapi.3604s0003, Stapi.11117s0001
OG0001260	Sdiv_ptg000009l_1504-R	Stapi.9308s0001
OG0001261	Sdiv_ptg000009l_1508-R	Stapi.0052s0068
OG0001261	Sdiv_ptg000010l_1735-R	Stapi.5368s0004
OG0001263	Sdiv_ptg000003l_1738-R	Stapi.0591s0007
OG0001263	Sdiv_ptg000007l_0496-R	Stapi.4115s0001
OG0001263	Sdiv_ptg000003l_1739-R	Stapi.4736s0004, Stapi.4736s0003
OG0001264	Sdiv_ptg000012l_0044-R	Stapi.5827s0006
OG0001264	Sdiv_ptg000002l_0548-R	Stapi.0307s0017
OG0001265	Sdiv_ptg000015l_1581-R	Stapi.5827s0007
OG0001266	Sdiv_ptg000022l_0915-R	Stapi.2885s0005, Stapi.4001s0002
OG0001266	Sdiv_ptg000014l_0367-R	Stapi.7930s0001
OG0001267	Sdiv_ptg000009l_1248-R	Stapi.6869s0002
OG0001267	Sdiv_ptg000001l_1928-R	Stapi.7008s0002
OG0001267	Sdiv_ptg000013l_1845-R	Stapi.9589s0002
OG0001268	Sdiv_ptg000009l_1289-R	Stapi.6909s0003, Stapi.10399s0001, Stapi.7273s0003
OG0001270	Sdiv_ptg000013l_0182-R, Sdiv_ptg000011l_0191-R	Stapi.8896s0002
OG0001271	Sdiv_ptg000004l_0771-R	Stapi.0585s0008
OG0001272	Sdiv_ptg000001l_0292-R	Stapi.5450s0002
OG0001272	Sdiv_ptg000004l_2045-R, Sdiv_ptg000005l_1733-R	Stapi.21336s0001, Stapi.0550s0018
OG0001273	Sdiv_ptg000001l_0305-R	Stapi.2656s0001
OG0001275	Sdiv_ptg000148l_0001-R	Stapi.0421s0026
OG0001275	Sdiv_ptg000514l_0003-R, Sdiv_ptg000911l_0002-R, Sdiv_ptg000271l_0004-R	Stapi.0107s0011, Stapi.0421s0025
OG0001280	Sdiv_ptg000005l_0135-R	Stapi.0135s0016
OG0001280	Sdiv_ptg000004l_0406-R, Sdiv_ptg000005l_0136-R	Stapi.0135s0017
OG0001281	Sdiv_ptg000001l_1351-R	Stapi.0924s0004
OG0001283	Sdiv_ptg000003l_1420-R	Stapi.0016s0029
OG0001286	Sdiv_ptg000014l_0753-R, Sdiv_ptg000012l_2054-R, Sdiv_ptg000003l_2296-R	Stapi.2008s0011
OG0001287	Sdiv_ptg000012l_2135-R	Stapi.3641s0005, Stapi.0993s0002, Stapi.2658s0002
OG0001289	Sdiv_ptg000007l_0174-R	Stapi.4492s0001, Stapi.4198s0001, Stapi.4153s0001
OG0001290	Sdiv_ptg000003l_2427-R, Sdiv_ptg000013l_1980-R	Stapi.2619s0007, Stapi.9171s0003
OG0001291	Sdiv_ptg000003l_2210-R	Stapi.3168s0005
OG0001291	Sdiv_ptg000014l_0688-R	Stapi.4662s0003
OG0001292	Sdiv_ptg000001l_1790-R	Stapi.2295s0006
OG0001292	Sdiv_ptg000014l_0799-R	Stapi.2541s0007
OG0001293	Sdiv_ptg000012l_1312-R, Sdiv_ptg000007l_0930-R	Stapi.8000s0002
OG0001293	Sdiv_ptg000014l_0953-R	Stapi.0390s0001
OG0001294	Sdiv_ptg000002l_2151-R, Sdiv_ptg000015l_0003-R	Stapi.5651s0007
OG0001294	Sdiv_ptg000003l_1934-R	Stapi.1563s0009
OG0001295	Sdiv_ptg000014l_1021-R, Sdiv_ptg000003l_1908-R	Stapi.2660s0004
OG0001295	Sdiv_ptg000002l_2120-R	Stapi.2661s0006
OG0001296	Sdiv_ptg000003l_1900-R, Sdiv_ptg000014l_1030-R	Stapi.2825s0005
OG0001297	Sdiv_ptg000003l_0155-R	Stapi.14381s0001
OG0001298	Sdiv_ptg000002l_2002-R, Sdiv_ptg000015l_0159-R	Stapi.14040s0001
OG0001299	Sdiv_ptg000007l_0624-R	Stapi.0412s0001
OG0001299	Sdiv_ptg000012l_1665-R, Sdiv_ptg000012l_1663-R	Stapi.0194s0006
OG0001300	Sdiv_ptg000003l_0438-R, Sdiv_ptg000014l_1376-R	Stapi.5763s0001, Stapi.12680s0001
OG0001301	Sdiv_ptg000003l_0452-R, Sdiv_ptg000014l_1395-R	Stapi.5980s0004
OG0001302	Sdiv_ptg000003l_0455-R	Stapi.5432s0002
OG0001302	Sdiv_ptg000015l_0293-R, Sdiv_ptg000002l_1860-R	Stapi.6878s0001
OG0001303	Sdiv_ptg000002l_1107-R	Stapi.2868s0005
OG0001303	Sdiv_ptg000005l_1145-R	Stapi.2823s0003
OG0001304	Sdiv_ptg000004l_1281-R	Stapi.2121s0010
OG0001304	Sdiv_ptg000005l_0972-R	Stapi.2121s0009
OG0001306	Sdiv_ptg000002l_1141-R	Stapi.4205s0001
OG0001308	Sdiv_ptg000001l_1658-R	Stapi.5469s0001, Stapi.0296s0003
OG0001309	Sdiv_ptg000022l_0324-R	Stapi.2741s0005, Stapi.5538s0001, Stapi.0793s0007
OG0001310	Sdiv_ptg000013l_1709-R	Stapi.3259s0010, Stapi.10060s0002
OG0001311	Sdiv_ptg000001l_2254-R	Stapi.20179s0002
OG0001311	Sdiv_ptg000022l_0706-R	Stapi.0479s0016
OG0001312	Sdiv_ptg000014l_1662-R	Stapi.1427s0003, Stapi.5242s0003, Stapi.0948s0005
OG0001313	Sdiv_ptg000014l_1301-R	Stapi.1341s0006
OG0001314	Sdiv_ptg000014l_1283-R	Stapi.3725s0005, Stapi.0605s0021
OG0001315	Sdiv_ptg000003l_0350-R, Sdiv_ptg000014l_1282-R	Stapi.0605s0020
OG0001316	Sdiv_ptg000002l_1739-R	Stapi.5013s0009
OG0001317	Sdiv_ptg000003l_0288-R, Sdiv_ptg000014l_1215-R	Stapi.1133s0010
OG0001318	Sdiv_ptg000002l_1630-R	Stapi.3175s0007
OG0001318	Sdiv_ptg000014l_1186-R	Stapi.3188s0003
OG0001319	Sdiv_ptg000014l_1175-R	Stapi.0963s0002
OG0001319	Sdiv_ptg000007l_0880-R	Stapi.6071s0005, Stapi.3112s0004
OG0001320	Sdiv_ptg000014l_0439-R	Stapi.3281s0006, Stapi.3281s0007
OG0001321	Sdiv_ptg000014l_0457-R	Stapi.4430s0004, Stapi.6527s0002, Stapi.7263s0003
OG0001323	Sdiv_ptg000013l_0345-R, Sdiv_ptg000011l_0345-R	Stapi.0098s0008
OG0001324	Sdiv_ptg000009l_1643-R, Sdiv_ptg000009l_1642-R	Stapi.0425s0009, Stapi.1709s0002
OG0001325	Sdiv_ptg000012l_1419-R	Stapi.2392s0009, Stapi.1065s0010
OG0001325	Sdiv_ptg000004l_0783-R	Stapi.0155s0021
OG0001327	Sdiv_ptg001019l_0007-R, Sdiv_ptg000864l_0002-R, Sdiv_ptg000609l_0011-R, Sdiv_ptg000545l_0002-R, Sdiv_ptg001100l_0001-R	Stapi.8745s0012
OG0001327	Sdiv_ptg000501l_0002-R, Sdiv_ptg000530l_0002-R, Sdiv_ptg000135l_0005-R	Stapi.2858s0016
OG0001328	Sdiv_ptg000012l_0022-R	Stapi.5488s0007
OG0001328	Sdiv_ptg000004l_2119-R, Sdiv_ptg000005l_1800-R	Stapi.1768s0005
OG0001329	Sdiv_ptg000923l_0004-R, Sdiv_ptg000604l_0002-R, Sdiv_ptg000216l_0002-R, Sdiv_ptg001145l_0003-R, Sdiv_ptg000832l_0003-R, Sdiv_ptg000705l_0002-R, Sdiv_ptg000120l_0003-R, Sdiv_ptg001068l_0003-R	Stapi.1297s0041
OG0001329	Sdiv_ptg000387l_0004-R	Stapi.8745s0004
OG0001330	Sdiv_ptg000011l_0025-R	Stapi.13924s0001, Stapi.3903s0005, Stapi.3447s0003, Stapi.9816s0001
OG0001331	Sdiv_ptg000014l_2939-R, Sdiv_ptg000003l_0002-R	Stapi.2113s0003, Stapi.4145s0003, Stapi.5635s0003
OG0001334	Sdiv_ptg000012l_1583-R	Stapi.5547s0004, Stapi.4636s0001, Stapi.1006s0015, Stapi.0004s0049, Stapi.12926s0001
OG0001336	Sdiv_ptg000001l_1340-R	Stapi.0185s0023, Stapi.3433s0003
OG0001336	Sdiv_ptg000001l_1342-R	Stapi.2417s0001
OG0001337	Sdiv_ptg000002l_0228-R	Stapi.2569s0007
OG0001337	Sdiv_ptg000015l_1869-R, Sdiv_ptg000002l_0227-R	Stapi.2569s0006
