Orthogroup	E_salsugineum	S_pinnata
OG0001753	Thhalv10025256m.g	Stapi.7716s0001
OG0001754	Thhalv10029101m.g	Stapi.2683s0008, Stapi.0043s0018, Stapi.2960s0005
OG0001755	Thhalv10023730m.g	Stapi.9757s0001
OG0001755	Thhalv10029291m.g	Stapi.1963s0004, Stapi.2683s0004
OG0001756	Thhalv10029424m.g, Thhalv10029142m.g, Thhalv10029381m.g, Thhalv10029147m.g	Stapi.0418s0006, Stapi.3006s0006
OG0001757	Thhalv10009214m.g, Thhalv10009215m.g	Stapi.0161s0034, Stapi.1646s0007
OG0001758	Thhalv10019611m.g, Thhalv10019457m.g	Stapi.1008s0003
OG0001759	Thhalv10028534m.g, Thhalv10028254m.g, Thhalv10023179m.g	Stapi.0184s0018, Stapi.9428s0002, Stapi.2845s0008, Stapi.2845s0004, Stapi.2845s0009, Stapi.0128s0018
OG0001760	Thhalv10024473m.g, Thhalv10024400m.g, Thhalv10024467m.g	Stapi.13771s0001
OG0001760	Thhalv10024443m.g, Thhalv10027661m.g, Thhalv10018259m.g	Stapi.0909s0013
OG0001761	Thhalv10002069m.g, Thhalv10022346m.g, Thhalv10003428m.g	Stapi.3663s0003, Stapi.6032s0001, Stapi.9741s0001, Stapi.2739s0005
OG0001762	Thhalv10028523m.g	Stapi.0751s0007, Stapi.0488s0011, Stapi.0184s0012
OG0001764	Thhalv10025633m.g	Stapi.7793s0001
OG0001766	Thhalv10000262m.g	Stapi.23903s0001, Stapi.23044s0001
OG0001767	Thhalv10000204m.g	Stapi.7188s0002
OG0001768	Thhalv10000164m.g	Stapi.3491s0001
OG0001770	Thhalv10017602m.g	Stapi.1540s0003
OG0001770	Thhalv10010921m.g	Stapi.9169s0001
OG0001771	Thhalv10017712m.g	Stapi.9712s0003
OG0001771	Thhalv10011166m.g, Thhalv10022946m.g	Stapi.3562s0001
OG0001772	Thhalv10017048m.g	Stapi.2133s0006
OG0001773	Thhalv10006029m.g	Stapi.3303s0003
OG0001775	Thhalv10005885m.g	Stapi.10339s0001, Stapi.1150s0008
OG0001776	Thhalv10001531m.g	Stapi.7905s0002, Stapi.4482s0002
OG0001777	Thhalv10006083m.g	Stapi.0741s0022
OG0001778	Thhalv10005854m.g	Stapi.4235s0004
OG0001779	Thhalv10006479m.g	Stapi.16680s0001, Stapi.18278s0001
OG0001780	Thhalv10006276m.g	Stapi.16501s0001
OG0001781	Thhalv10001387m.g	Stapi.16565s0001, Stapi.31563s0001
OG0001783	Thhalv10001640m.g	Stapi.10070s0001
OG0001784	Thhalv10008660m.g	Stapi.0390s0002
OG0001785	Thhalv10006504m.g	Stapi.25009s0001
OG0001786	Thhalv10001443m.g	Stapi.30548s0001
OG0001787	Thhalv10001544m.g	Stapi.0155s0043
OG0001788	Thhalv10001751m.g	Stapi.7469s0002
OG0001788	Thhalv10027011m.g	Stapi.0986s0002
OG0001790	Thhalv10006266m.g	Stapi.20555s0001
OG0001791	Thhalv10006347m.g	Stapi.26429s0001
OG0001792	Thhalv10018828m.g	Stapi.10077s0001
OG0001792	Thhalv10009473m.g	Stapi.10050s0002
OG0001793	Thhalv10018771m.g	Stapi.12207s0001
OG0001794	Thhalv10007894m.g	Stapi.7111s0001
OG0001795	Thhalv10008456m.g	Stapi.6927s0001, Stapi.10984s0001, Stapi.0725s0016, Stapi.1292s0007, Stapi.25020s0001
OG0001796	Thhalv10018995m.g	Stapi.0244s0017
OG0001797	Thhalv10008928m.g	Stapi.1057s0014
OG0001797	Thhalv10019247m.g	Stapi.0244s0014
OG0001799	Thhalv10018328m.g, Thhalv10007178m.g	Stapi.3958s0003
OG0001800	Thhalv10018474m.g	Stapi.1294s0010
OG0001801	Thhalv10008530m.g	Stapi.3483s0005, Stapi.0054s0018
OG0001802	Thhalv10009500m.g	Stapi.2387s0003, Stapi.4074s0004
OG0001803	Thhalv10019566m.g	Stapi.1103s0008, Stapi.2189s0002, Stapi.0020s0006
OG0001804	Thhalv10018875m.g	Stapi.1502s0004, Stapi.5540s0002
OG0001805	Thhalv10016229m.g	Stapi.7251s0002
OG0001805	Thhalv10016342m.g, Thhalv10002794m.g	Stapi.0139s0006
OG0001805	Thhalv10016220m.g	Stapi.7398s0001
OG0001806	Thhalv10015811m.g	Stapi.5261s0001
OG0001808	Thhalv10018905m.g	Stapi.0034s0042
OG0001809	Thhalv10006582m.g	Stapi.1078s0020, Stapi.1701s0012
OG0001810	Thhalv10007853m.g	Stapi.8558s0001, Stapi.0643s0008
OG0001810	Thhalv10009717m.g	Stapi.3925s0003, Stapi.0874s0006
OG0001811	Thhalv10015558m.g	Stapi.4531s0007
OG0001812	Thhalv10009870m.g	Stapi.2170s0004, Stapi.2170s0005
OG0001813	Thhalv10009426m.g	Stapi.0949s0001, Stapi.2323s0003, Stapi.1364s0007, Stapi.0045s0044
OG0001814	Thhalv10029123m.g	Stapi.15087s0001, Stapi.15087s0002
OG0001815	Thhalv10009986m.g	Stapi.8402s0001, Stapi.0317s0006
OG0001816	Thhalv10003506m.g	Stapi.13065s0001, Stapi.0531s0012
OG0001817	Thhalv10010248m.g	Stapi.0692s0001
OG0001819	Thhalv10010092m.g	Stapi.1124s0007
OG0001819	Thhalv10003584m.g	Stapi.16152s0001, Stapi.16319s0001, Stapi.2745s0006
OG0001820	Thhalv10013001m.g	Stapi.1079s0005, Stapi.3744s0005
OG0001821	Thhalv10013088m.g	Stapi.4047s0002
OG0001822	Thhalv10004276m.g, Thhalv10018621m.g	Stapi.10708s0004
OG0001823	Thhalv10004227m.g, Thhalv10013557m.g, Thhalv10005179m.g	Stapi.21903s0001
OG0001824	Thhalv10003564m.g	Stapi.3718s0006, Stapi.16185s0001, Stapi.2884s0009, Stapi.24328s0001, Stapi.2884s0010
OG0001825	Thhalv10003553m.g	Stapi.9964s0003, Stapi.2915s0004, Stapi.10820s0002
OG0001826	Thhalv10003959m.g	Stapi.0244s0028, Stapi.4165s0005
OG0001827	Thhalv10010651m.g	Stapi.2151s0002
OG0001828	Thhalv10010583m.g	Stapi.0512s0009, Stapi.2641s0003
OG0001829	Thhalv10008113m.g	Stapi.4476s0007
OG0001830	Thhalv10014155m.g	Stapi.3009s0003
OG0001831	Thhalv10004743m.g	Stapi.1990s0010
OG0001831	Thhalv10014361m.g	Stapi.6602s0001
OG0001832	Thhalv10003960m.g	Stapi.1872s0002
OG0001832	Thhalv10013186m.g	Stapi.5283s0001
OG0001833	Thhalv10004651m.g	Stapi.2058s0009
OG0001833	Thhalv10008281m.g	Stapi.4610s0007
OG0001834	Thhalv10004843m.g	Stapi.6835s0004
OG0001834	Thhalv10014542m.g	Stapi.3046s0007
OG0001835	Thhalv10003609m.g	Stapi.5391s0004, Stapi.0931s0005
OG0001835	Thhalv10012641m.g	Stapi.0778s0012
OG0001836	Thhalv10012643m.g	Stapi.2931s0001, Stapi.3955s0004, Stapi.0579s0006
OG0001837	Thhalv10004382m.g	Stapi.9648s0001, Stapi.1553s0006
OG0001838	Thhalv10019532m.g, Thhalv10008023m.g	Stapi.2123s0005
OG0001839	Thhalv10005038m.g	Stapi.1647s0014
OG0001840	Thhalv10005613m.g	Stapi.2426s0007
OG0001841	Thhalv10005638m.g, Thhalv10005375m.g	Stapi.1614s0006, Stapi.2984s0001, Stapi.12581s0001
OG0001843	Thhalv10004497m.g	Stapi.2249s0004, Stapi.1879s0004, Stapi.1879s0003
OG0001844	Thhalv10005220m.g	Stapi.4956s0004
OG0001844	Thhalv10028314m.g	Stapi.7821s0001
OG0001845	Thhalv10004596m.g	Stapi.8018s0003, Stapi.2525s0004
OG0001846	Thhalv10004777m.g	Stapi.2944s0004, Stapi.2883s0007
OG0001847	Thhalv10005308m.g	Stapi.9463s0001
OG0001848	Thhalv10004106m.g	Stapi.2434s0014
OG0001849	Thhalv10005497m.g, Thhalv10015971m.g	Stapi.9652s0001, Stapi.9923s0002
OG0001850	Thhalv10005583m.g	Stapi.1870s0001, Stapi.1829s0005, Stapi.1406s0001, Stapi.10729s0002, Stapi.6567s0001, Stapi.0280s0017
OG0001851	Thhalv10008506m.g	Stapi.17638s0001, Stapi.0382s0012
OG0001852	Thhalv10008730m.g	Stapi.0989s0011
OG0001853	Thhalv10029178m.g	Stapi.5512s0001, Stapi.1163s0004
OG0001854	Thhalv10013196m.g	Stapi.0679s0010
OG0001855	Thhalv10012517m.g	Stapi.5071s0002
OG0001856	Thhalv10020554m.g	Stapi.0868s0009, Stapi.1544s0022, Stapi.8164s0001
OG0001857	Thhalv10013743m.g	Stapi.21284s0002
OG0001857	Thhalv10020900m.g	Stapi.31599s0002, Stapi.21284s0001
OG0001858	Thhalv10014778m.g	Stapi.6583s0001
OG0001859	Thhalv10013742m.g, Thhalv10020888m.g	Stapi.0702s0001
OG0001860	Thhalv10014574m.g	Stapi.4236s0001, Stapi.3490s0001
OG0001861	Thhalv10018292m.g	Stapi.1260s0014, Stapi.1300s0004
OG0001862	Thhalv10026763m.g, Thhalv10019124m.g	Stapi.2332s0005, Stapi.2217s0001, Stapi.3424s0002
OG0001863	Thhalv10006672m.g	Stapi.10731s0001, Stapi.1042s0004
OG0001863	Thhalv10018058m.g	Stapi.3020s0005
OG0001864	Thhalv10027791m.g, Thhalv10023859m.g	Stapi.0143s0013, Stapi.0929s0010, Stapi.1724s0008
OG0001865	Thhalv10028197m.g, Thhalv10029163m.g	Stapi.9530s0002
OG0001866	Thhalv10006521m.g	Stapi.7680s0002, Stapi.4500s0006
OG0001869	Thhalv10020933m.g	Stapi.10840s0001
OG0001869	Thhalv10014571m.g	Stapi.3938s0002
OG0001870	Thhalv10012637m.g	Stapi.5757s0002, Stapi.5757s0001
OG0001871	Thhalv10015665m.g	Stapi.1004s0010
OG0001872	Thhalv10015536m.g, Thhalv10015653m.g	Stapi.1004s0001
OG0001873	Thhalv10014631m.g	Stapi.3266s0006
OG0001874	Thhalv10012640m.g	Stapi.0103s0009, Stapi.0045s0026, Stapi.0023s0033, Stapi.0103s0010, Stapi.11043s0001, Stapi.8715s0001
OG0001875	Thhalv10010953m.g	Stapi.3145s0002, Stapi.5512s0004
OG0001876	Thhalv10027733m.g	Stapi.0599s0010
OG0001877	Thhalv10003028m.g	Stapi.5352s0001
OG0001878	Thhalv10012556m.g	Stapi.2499s0001, Stapi.1951s0011, Stapi.5615s0003
OG0001879	Thhalv10013846m.g	Stapi.2219s0008
OG0001880	Thhalv10002588m.g	Stapi.1707s0007
OG0001881	Thhalv10015366m.g	Stapi.13734s0002, Stapi.4408s0003
OG0001882	Thhalv10014933m.g, Thhalv10014932m.g	Stapi.2503s0007, Stapi.5085s0001
OG0001883	Thhalv10002686m.g	Stapi.1693s0006
OG0001883	Thhalv10014846m.g	Stapi.6631s0002
OG0001884	Thhalv10014165m.g	Stapi.1869s0007
OG0001884	Thhalv10002613m.g	Stapi.0480s0011
OG0001885	Thhalv10014590m.g	Stapi.3549s0004
OG0001885	Thhalv10010643m.g	Stapi.1364s0012
OG0001886	Thhalv10012050m.g	Stapi.5927s0002
OG0001886	Thhalv10014775m.g	Stapi.1307s0017, Stapi.5927s0001, Stapi.2622s0002
OG0001887	Thhalv10024942m.g	Stapi.1126s0002
OG0001887	Thhalv10013277m.g	Stapi.7090s0003
OG0001888	Thhalv10013902m.g	Stapi.0145s0010, Stapi.4068s0001
OG0001889	Thhalv10025248m.g	Stapi.1443s0003
OG0001890	Thhalv10025097m.g	Stapi.1443s0007
OG0001890	Thhalv10013439m.g	Stapi.0790s0020
OG0001891	Thhalv10026251m.g	Stapi.0924s0005, Stapi.0444s0011
OG0001892	Thhalv10026307m.g, Thhalv10014706m.g	Stapi.1098s0010
OG0001893	Thhalv10014994m.g	Stapi.0265s0015, Stapi.0626s0006
OG0001894	Thhalv10014624m.g	Stapi.6989s0005, Stapi.3179s0007, Stapi.3179s0006
OG0001895	Thhalv10025392m.g	Stapi.8100s0003
OG0001896	Thhalv10015178m.g	Stapi.0269s0015, Stapi.0810s0004, Stapi.17401s0001, Stapi.0957s0003, Stapi.13708s0001
OG0001897	Thhalv10012077m.g, Thhalv10003479m.g	Stapi.0797s0002, Stapi.0033s0002, Stapi.0033s0003, Stapi.3469s0001, Stapi.1918s0010
OG0001898	Thhalv10014824m.g	Stapi.5774s0006
OG0001898	Thhalv10021628m.g	Stapi.3650s0003
OG0001899	Thhalv10013038m.g	Stapi.0776s0018, Stapi.5442s0002
OG0001899	Thhalv10013044m.g	Stapi.3277s0002, Stapi.0851s0001
OG0001900	Thhalv10015810m.g	Stapi.23259s0001, Stapi.0250s0025, Stapi.0250s0028, Stapi.2446s0012
OG0001901	Thhalv10012772m.g	Stapi.1312s0012, Stapi.31458s0001, Stapi.11299s0003, Stapi.16066s0001, Stapi.0250s0027
OG0001902	Thhalv10014040m.g	Stapi.0224s0017
OG0001902	Thhalv10015862m.g	Stapi.1566s0001
OG0001903	Thhalv10012815m.g	Stapi.2347s0003
OG0001904	Thhalv10015520m.g	Stapi.3957s0005
OG0001904	Thhalv10024138m.g	Stapi.0355s0005
OG0001905	Thhalv10014718m.g	Stapi.5678s0004
OG0001906	Thhalv10021405m.g	Stapi.3343s0007
OG0001907	Thhalv10021542m.g	Stapi.5259s0003
OG0001908	Thhalv10020101m.g	Stapi.9274s0003
OG0001909	Thhalv10012528m.g	Stapi.12654s0001, Stapi.0800s0013, Stapi.1944s0010
OG0001910	Thhalv10014156m.g, Thhalv10017808m.g, Thhalv10008935m.g, Thhalv10008332m.g	Stapi.11801s0001
OG0001912	Thhalv10021208m.g	Stapi.8104s0003
OG0001913	Thhalv10014547m.g	Stapi.20536s0001
OG0001913	Thhalv10015784m.g	Stapi.15190s0001, Stapi.10830s0001
OG0001914	Thhalv10020958m.g	Stapi.2816s0004
OG0001915	Thhalv10021104m.g	Stapi.3857s0008, Stapi.8661s0002
OG0001917	Thhalv10000481m.g, Thhalv10002365m.g, Thhalv10000622m.g, Thhalv10000508m.g	Stapi.0543s0003
OG0001917	Thhalv10000544m.g	Stapi.0543s0001
OG0001920	Thhalv10020726m.g	Stapi.6913s0003
OG0001920	Thhalv10011474m.g	Stapi.4436s0001
OG0001921	Thhalv10011977m.g	Stapi.11227s0001
OG0001922	Thhalv10021058m.g	Stapi.3156s0003, Stapi.0157s0015
OG0001923	Thhalv10011534m.g	Stapi.0820s0008
OG0001924	Thhalv10009202m.g, Thhalv10022282m.g	Stapi.1563s0017
OG0001925	Thhalv10021518m.g	Stapi.0780s0030, Stapi.0118s0001
OG0001925	Thhalv10019180m.g	Stapi.1786s0007
OG0001926	Thhalv10022138m.g, Thhalv10015617m.g	Stapi.4016s0004, Stapi.0022s0071, Stapi.1279s0008
OG0001927	Thhalv10011337m.g	Stapi.2872s0003
OG0001927	Thhalv10020350m.g	Stapi.7303s0001
OG0001928	Thhalv10021758m.g	Stapi.0572s0003
OG0001929	Thhalv10011871m.g	Stapi.0579s0011
OG0001930	Thhalv10011521m.g	Stapi.1744s0003, Stapi.1247s0013
OG0001931	Thhalv10020205m.g	Stapi.2635s0009
OG0001931	Thhalv10024542m.g	Stapi.0736s0010, Stapi.2573s0010
OG0001932	Thhalv10021534m.g	Stapi.1613s0004, Stapi.14567s0002
OG0001933	Thhalv10025980m.g	Stapi.1460s0002
OG0001933	Thhalv10021310m.g	Stapi.0126s0042, Stapi.3127s0003
OG0001934	Thhalv10026343m.g	Stapi.0362s0013, Stapi.0586s0020
OG0001935	Thhalv10008523m.g, Thhalv10026057m.g	Stapi.1881s0016, Stapi.9530s0004
OG0001936	Thhalv10024691m.g	Stapi.1395s0010, Stapi.2108s0005
OG0001940	Thhalv10027919m.g	Stapi.5405s0002, Stapi.18655s0001, Stapi.5250s0005, Stapi.2460s0005, Stapi.0850s0010
OG0001941	Thhalv10023428m.g, Thhalv10027736m.g	Stapi.5023s0005
OG0001942	Thhalv10014722m.g	Stapi.1055s0002
OG0001943	Thhalv10000136m.g, Thhalv10000691m.g	Stapi.3975s0001, Stapi.13903s0001, Stapi.2710s0013
OG0001945	Thhalv10026996m.g	Stapi.2667s0005
OG0001945	Thhalv10024341m.g	Stapi.2651s0002
OG0001946	Thhalv10026559m.g	Stapi.6535s0001, Stapi.16035s0002
OG0001947	Thhalv10012356m.g	Stapi.3305s0005
OG0001948	Thhalv10028126m.g, Thhalv10015379m.g	Stapi.1508s0015, Stapi.0724s0005, Stapi.4597s0001
OG0001951	Thhalv10013218m.g	Stapi.2045s0010, Stapi.1916s0006
OG0001951	Thhalv10020487m.g	Stapi.7235s0003
OG0001952	Thhalv10008772m.g	Stapi.11911s0002
OG0001952	Thhalv10029253m.g	Stapi.10169s0003
OG0001953	Thhalv10028917m.g	Stapi.0387s0020
OG0001954	Thhalv10000498m.g	Stapi.0651s0012, Stapi.1271s0003, Stapi.0651s0011, Stapi.0173s0014
OG0001955	Thhalv10026628m.g	Stapi.24038s0001, Stapi.3130s0012
OG0001956	Thhalv10029127m.g, Thhalv10029394m.g	Stapi.3378s0005, Stapi.12045s0002, Stapi.12045s0003, Stapi.12045s0001
OG0001957	Thhalv10029296m.g, Thhalv10028535m.g	Stapi.0843s0008, Stapi.0843s0006
OG0001958	Thhalv10011670m.g	Stapi.0111s0035
OG0001958	Thhalv10011638m.g	Stapi.2084s0005, Stapi.8940s0001
OG0001959	Thhalv10010481m.g	Stapi.2157s0008
OG0001959	Thhalv10004469m.g	Stapi.7928s0003
OG0001960	Thhalv10004972m.g, Thhalv10026362m.g	Stapi.0991s0002
OG0001961	Thhalv10017460m.g	Stapi.0231s0021, Stapi.0681s0002, Stapi.0019s0006
OG0001962	Thhalv10017243m.g	Stapi.4253s0002, Stapi.0405s0005
OG0001963	Thhalv10009016m.g	Stapi.0115s0022, Stapi.1411s0004
OG0001964	Thhalv10009791m.g	Stapi.0441s0013, Stapi.5319s0002, Stapi.0028s0052
OG0001965	Thhalv10009707m.g, Thhalv10017523m.g	Stapi.0405s0015
OG0001966	Thhalv10017278m.g	Stapi.0364s0034
OG0001967	Thhalv10016129m.g	Stapi.2211s0005, Stapi.0731s0006
OG0001969	Thhalv10022586m.g	Stapi.2675s0003
OG0001970	Thhalv10022795m.g	Stapi.4699s0003
OG0001971	Thhalv10025418m.g	Stapi.16534s0001
OG0001972	Thhalv10024280m.g	Stapi.1649s0001
OG0001972	Thhalv10022448m.g	Stapi.2674s0001
OG0001973	Thhalv10024339m.g	Stapi.25844s0001, Stapi.2843s0005, Stapi.8830s0005, Stapi.8830s0001, Stapi.16725s0002
OG0001974	Thhalv10024694m.g	Stapi.4042s0001, Stapi.1177s0004
OG0001975	Thhalv10001934m.g	Stapi.0006s0022, Stapi.0030s0009
OG0001976	Thhalv10020437m.g	Stapi.14958s0002
OG0001977	Thhalv10015246m.g	Stapi.0095s0023, Stapi.0095s0029
OG0001978	Thhalv10019904m.g	Stapi.5813s0001
OG0001979	Thhalv10023209m.g	Stapi.1649s0008, Stapi.4697s0002, Stapi.2213s0003
OG0001980	Thhalv10029493m.g	Stapi.2700s0001, Stapi.5887s0001, Stapi.0026s0004, Stapi.1284s0007
OG0001982	Thhalv10002997m.g, Thhalv10022839m.g	Stapi.0421s0009
OG0001986	Thhalv10003873m.g	Stapi.0356s0022, Stapi.3813s0002, Stapi.0431s0021
OG0001987	Thhalv10003534m.g	Stapi.6496s0002
OG0001987	Thhalv10011187m.g, Thhalv10003530m.g	Stapi.6504s0002, Stapi.8018s0001
OG0001988	Thhalv10010256m.g	Stapi.2340s0004, Stapi.0915s0015
OG0001989	Thhalv10004290m.g	Stapi.2532s0001
OG0001989	Thhalv10002017m.g	Stapi.4572s0002
OG0001990	Thhalv10002820m.g	Stapi.0153s0019, Stapi.0071s0024
OG0001990	Thhalv10003112m.g	Stapi.0071s0032, Stapi.0071s0034
OG0001992	Thhalv10017377m.g, Thhalv10017285m.g	Stapi.4161s0002
OG0001993	Thhalv10028160m.g	Stapi.0288s0012
OG0001993	Thhalv10028144m.g	Stapi.0609s0006, Stapi.0609s0009, Stapi.1759s0004, Stapi.2941s0010
OG0001993	Thhalv10028221m.g	Stapi.2941s0006
OG0001995	Thhalv10023322m.g, Thhalv10024158m.g, Thhalv10024169m.g, Thhalv10023925m.g	Stapi.0991s0013
OG0001996	Thhalv10023544m.g	Stapi.10128s0001
OG0001997	Thhalv10023246m.g, Thhalv10023263m.g, Thhalv10000112m.g	Stapi.1224s0002, Stapi.4631s0001, Stapi.5739s0002
OG0001997	Thhalv10023255m.g	Stapi.3295s0004
OG0001998	Thhalv10008327m.g	Stapi.2130s0004
OG0001999	Thhalv10024055m.g	Stapi.0460s0018, Stapi.2354s0005, Stapi.0533s0006, Stapi.4859s0003, Stapi.0231s0001, Stapi.2164s0006, Stapi.0533s0005
OG0002000	Thhalv10009061m.g	Stapi.1725s0003
OG0002001	Thhalv10023806m.g, Thhalv10009452m.g	Stapi.6495s0002
OG0002002	Thhalv10023613m.g	Stapi.1284s0009
OG0002003	Thhalv10002012m.g	Stapi.4797s0002, Stapi.9063s0002, Stapi.0273s0006, Stapi.9090s0003
OG0002005	Thhalv10001904m.g	Stapi.0153s0006, Stapi.0925s0003, Stapi.0153s0004, Stapi.0153s0003, Stapi.0925s0004, Stapi.0153s0005
OG0002007	Thhalv10001436m.g	Stapi.8136s0005
OG0002008	Thhalv10001334m.g	Stapi.6453s0006, Stapi.14897s0001, Stapi.3745s0003
OG0002009	Thhalv10016061m.g, Thhalv10015658m.g	Stapi.11204s0002
OG0002010	Thhalv10023770m.g	Stapi.4244s0001
OG0002010	Thhalv10009166m.g	Stapi.4332s0005
OG0002011	Thhalv10009914m.g	Stapi.3217s0004
OG0002011	Thhalv10024237m.g	Stapi.4238s0001
OG0002012	Thhalv10009674m.g	Stapi.2008s0001
OG0002013	Thhalv10008131m.g	Stapi.1095s0010
OG0002014	Thhalv10008161m.g	Stapi.2346s0002
OG0002014	Thhalv10004564m.g	Stapi.1113s0002
OG0002015	Thhalv10008656m.g	Stapi.1894s0008
OG0002015	Thhalv10019089m.g	Stapi.1172s0016
OG0002016	Thhalv10008623m.g	Stapi.1172s0017, Stapi.1894s0009
OG0002017	Thhalv10009463m.g	Stapi.3493s0006, Stapi.1293s0013
OG0002018	Thhalv10018655m.g	Stapi.23741s0001
OG0002018	Thhalv10007982m.g	Stapi.0327s0009
OG0002019	Thhalv10007432m.g	Stapi.2983s0005
OG0002020	Thhalv10007658m.g	Stapi.0701s0010
OG0002021	Thhalv10009004m.g, Thhalv10017414m.g	Stapi.6134s0006, Stapi.5192s0005, Stapi.8106s0005
OG0002022	Thhalv10023030m.g	Stapi.30120s0001, Stapi.5250s0004
OG0002023	Thhalv10008335m.g	Stapi.15250s0001, Stapi.1891s0001
OG0002024	Thhalv10024061m.g, Thhalv10029209m.g, Thhalv10017744m.g, Thhalv10027019m.g	Stapi.8384s0001, Stapi.0137s0015, Stapi.0001s0010
OG0002025	Thhalv10007087m.g	Stapi.1551s0004
OG0002026	Thhalv10008583m.g	Stapi.0580s0002
OG0002027	Thhalv10029438m.g	Stapi.1200s0002, Stapi.0751s0003, Stapi.0658s0010, Stapi.2430s0001
OG0002027	Thhalv10015827m.g	Stapi.1535s0007, Stapi.1535s0006
OG0002028	Thhalv10006900m.g	Stapi.3900s0005
OG0002028	Thhalv10028451m.g, Thhalv10024522m.g	Stapi.3455s0005
OG0002029	Thhalv10007400m.g	Stapi.0134s0052
OG0002030	Thhalv10026947m.g	Stapi.2930s0002, Stapi.3607s0001, Stapi.5495s0001
OG0002031	Thhalv10027511m.g	Stapi.0202s0015, Stapi.15441s0001, Stapi.0202s0016, Stapi.3617s0007
OG0002032	Thhalv10024670m.g	Stapi.3617s0004
OG0002032	Thhalv10028545m.g	Stapi.2551s0004
OG0002033	Thhalv10024606m.g	Stapi.3883s0004, Stapi.2426s0001, Stapi.9385s0001
OG0002034	Thhalv10024722m.g, Thhalv10028846m.g	Stapi.3124s0003
OG0002035	Thhalv10028987m.g	Stapi.0212s0006, Stapi.3532s0005
OG0002035	Thhalv10026504m.g	Stapi.0097s0020, Stapi.3435s0002
OG0002036	Thhalv10024451m.g	Stapi.1488s0010
OG0002036	Thhalv10024437m.g	Stapi.2642s0005, Stapi.3679s0005
OG0002037	Thhalv10023006m.g	Stapi.0720s0002, Stapi.5977s0004, Stapi.1288s0002, Stapi.0383s0004
OG0002038	Thhalv10022819m.g	Stapi.0332s0012
OG0002038	Thhalv10022822m.g	Stapi.0332s0009
OG0002039	Thhalv10022592m.g	Stapi.3297s0006, Stapi.8830s0004, Stapi.5090s0004
OG0002040	Thhalv10022768m.g, Thhalv10025642m.g	Stapi.0629s0002, Stapi.2375s0001
OG0002041	Thhalv10022552m.g	Stapi.12798s0001, Stapi.0716s0006, Stapi.5900s0001, Stapi.24235s0001, Stapi.2390s0005
OG0002042	Thhalv10022799m.g	Stapi.4459s0001, Stapi.6937s0001, Stapi.0316s0005, Stapi.0355s0008
OG0002043	Thhalv10018331m.g	Stapi.7663s0001, Stapi.6772s0002
OG0002044	Thhalv10020859m.g, Thhalv10022123m.g, Thhalv10011121m.g, Thhalv10017547m.g, Thhalv10019719m.g, Thhalv10019461m.g, Thhalv10019545m.g	Stapi.0169s0013, Stapi.0677s0001
OG0002045	Thhalv10009632m.g	Stapi.7369s0002
OG0002046	Thhalv10018637m.g, Thhalv10018636m.g	Stapi.5936s0003, Stapi.5936s0002
OG0002048	Thhalv10021248m.g	Stapi.9274s0001
OG0002049	Thhalv10020036m.g, Thhalv10020035m.g	Stapi.3857s0002
OG0002050	Thhalv10025072m.g	Stapi.4006s0001, Stapi.0486s0009, Stapi.1558s0001
OG0002050	Thhalv10024946m.g	Stapi.2573s0002
OG0002051	Thhalv10025210m.g	Stapi.2834s0004
OG0002052	Thhalv10026877m.g, Thhalv10022452m.g, Thhalv10024657m.g	Stapi.0913s0003, Stapi.10034s0001, Stapi.0116s0020
OG0002053	Thhalv10026117m.g	Stapi.8932s0001
OG0002054	Thhalv10027532m.g	Stapi.0025s0025
OG0002054	Thhalv10027144m.g, Thhalv10027208m.g	Stapi.3313s0002
OG0002055	Thhalv10024982m.g	Stapi.10772s0001, Stapi.0413s0009, Stapi.0923s0005, Stapi.0413s0010
OG0002056	Thhalv10006007m.g, Thhalv10016795m.g	Stapi.0442s0004, Stapi.20918s0001
OG0002057	Thhalv10006302m.g	Stapi.6719s0001
OG0002057	Thhalv10017391m.g	Stapi.7558s0002
OG0002058	Thhalv10006529m.g	Stapi.3904s0007
OG0002059	Thhalv10007284m.g	Stapi.5174s0004
OG0002059	Thhalv10018361m.g	Stapi.10479s0001
OG0002060	Thhalv10008437m.g	Stapi.3234s0007
OG0002061	Thhalv10007509m.g	Stapi.5742s0006, Stapi.3234s0002
OG0002062	Thhalv10007641m.g	Stapi.1133s0001
OG0002063	Thhalv10019258m.g	Stapi.1679s0004, Stapi.3175s0001
OG0002064	Thhalv10008683m.g	Stapi.3188s0002
OG0002064	Thhalv10018948m.g	Stapi.1679s0002
OG0002065	Thhalv10007785m.g	Stapi.4031s0004
OG0002066	Thhalv10008184m.g	Stapi.5891s0002
OG0002067	Thhalv10008164m.g	Stapi.0786s0004
OG0002068	Thhalv10008577m.g, Thhalv10019098m.g	Stapi.2050s0011
OG0002069	Thhalv10008996m.g	Stapi.0701s0025
OG0002070	Thhalv10007531m.g	Stapi.0701s0022
OG0002071	Thhalv10009539m.g	Stapi.0701s0018
OG0002071	Thhalv10019242m.g	Stapi.6857s0002
OG0002072	Thhalv10007482m.g	Stapi.1326s0006
OG0002072	Thhalv10016604m.g	Stapi.0479s0018
OG0002073	Thhalv10017990m.g	Stapi.1326s0005, Stapi.0479s0019
OG0002074	Thhalv10017099m.g	Stapi.5563s0004
OG0002074	Thhalv10008509m.g	Stapi.3944s0005
