Orthogroup	S_diversifolius	C_amplexicaulis
OG0002302	Sdiv_ptg000009l_1267-R	Caamp.0105s0806
OG0002302	Sdiv_ptg000010l_0294-R	Caamp.1037s0392
OG0002303	Sdiv_ptg000001l_1940-R	Caamp.0214s0422, Caamp.0303s0078
OG0002304	Sdiv_ptg000010l_0322-R	Caamp.1037s0425, Caamp.0105s0841
OG0002305	Sdiv_ptg000009l_1371-R	Caamp.0058s0277, Caamp.1037s0533
OG0002306	Sdiv_ptg000010l_0440-R	Caamp.1037s0575
OG0002306	Sdiv_ptg000009l_1408-R	Caamp.0052s0567
OG0002307	Sdiv_ptg000009l_2765-R	Caamp.1040s0312
OG0002307	Sdiv_ptg000010l_0523-R	Caamp.1037s0662
OG0002308	Sdiv_ptg000009l_2653-R, Sdiv_ptg000002l_0827-R	Caamp.1040s0440, Caamp.0005s0172
OG0002310	Sdiv_ptg000010l_0741-R	Caamp.1037s0945
OG0002310	Sdiv_ptg000009l_2530-R, Sdiv_ptg000010l_0753-R	Caamp.1040s0580
OG0002311	Sdiv_ptg000009l_2464-R	Caamp.1037s1037
OG0002311	Sdiv_ptg000004l_1400-R	Caamp.0190s0422
OG0002312	Sdiv_ptg000004l_1436-R	Caamp.0190s0368
OG0002312	Sdiv_ptg000005l_1131-R	Caamp.0003s0006
OG0002312	Sdiv_ptg000010l_0910-R	Caamp.1037s1145
OG0002313	Sdiv_ptg000010l_0948-R	Caamp.1037s1248
OG0002313	Sdiv_ptg000009l_2335-R	Caamp.1040s0828
OG0002314	Sdiv_ptg000004l_1510-R	Caamp.0190s0276
OG0002315	Sdiv_ptg000009l_2026-R, Sdiv_ptg000009l_2025-R	Caamp.1040s1227
OG0002315	Sdiv_ptg000010l_1241-R	Caamp.1037s1565
OG0002316	Sdiv_ptg000010l_1276-R	Caamp.1037s1601
OG0002316	Sdiv_ptg000009l_1997-R	Caamp.1040s1266
OG0002317	Sdiv_ptg000010l_1308-R	Caamp.1037s1642, Caamp.1040s1309
OG0002319	Sdiv_ptg000009l_1964-R	Caamp.1040s1316
OG0002319	Sdiv_ptg000010l_1321-R	Caamp.1037s1669
OG0002320	Sdiv_ptg000009l_1966-R	Caamp.1040s1314
OG0002320	Sdiv_ptg000010l_1323-R	Caamp.1037s1671
OG0002322	Sdiv_ptg000009l_0922-R	Caamp.1038s0037
OG0002324	Sdiv_ptg000010l_2026-R	Caamp.1041s1362
OG0002324	Sdiv_ptg000009l_0892-R	Caamp.1038s0071
OG0002325	Sdiv_ptg000010l_2076-R	Caamp.1041s1296
OG0002326	Sdiv_ptg000009l_0799-R	Caamp.1038s0178
OG0002326	Sdiv_ptg000010l_2120-R	Caamp.1041s1252
OG0002327	Sdiv_ptg000009l_0793-R	Caamp.1038s0182
OG0002327	Sdiv_ptg000010l_2128-R	Caamp.0105s1792, Caamp.1041s1245
OG0002329	Sdiv_ptg000009l_0751-R	Caamp.1038s0234
OG0002329	Sdiv_ptg000010l_2178-R	Caamp.1041s1192, Caamp.1041s1191
OG0002330	Sdiv_ptg000012l_0150-R	Caamp.0033s0309
OG0002330	Sdiv_ptg000009l_0645-R	Caamp.1041s1060, Caamp.1038s0372
OG0002331	Sdiv_ptg000010l_2324-R	Caamp.1041s1011
OG0002331	Sdiv_ptg000009l_0603-R	Caamp.1038s0416
OG0002332	Sdiv_ptg000009l_0584-R	Caamp.1038s0438, Caamp.1041s0989, Caamp.0051s0321
OG0002333	Sdiv_ptg000007l_1909-R	Caamp.0033s0170
OG0002334	Sdiv_ptg000010l_2465-R	Caamp.0105s1394
OG0002334	Sdiv_ptg000009l_0452-R	Caamp.1038s0609
OG0002335	Sdiv_ptg000009l_0215-R	Caamp.1038s0913
OG0002335	Sdiv_ptg000013l_1604-R	Caamp.0214s0110
OG0002336	Sdiv_ptg000009l_0203-R	Caamp.1038s0929
OG0002337	Sdiv_ptg000009l_0164-R	Caamp.0105s1785, Caamp.1038s0978
OG0002337	Sdiv_ptg000010l_2766-R	Caamp.0105s1777
OG0002338	Sdiv_ptg000010l_2768-R, Sdiv_ptg000009l_0160-R	Caamp.0105s1806, Caamp.1038s0982
OG0002339	Sdiv_ptg000013l_1653-R	Caamp.0214s0168, Caamp.0078s0808
OG0002340	Sdiv_ptg000009l_0112-R	Caamp.1038s1042, Caamp.0105s1844
OG0002341	Sdiv_ptg000003l_2524-R	Caamp.0056s0345
OG0002341	Sdiv_ptg000014l_0440-R	Caamp.0024s0460
OG0002342	Sdiv_ptg000022l_0073-R	Caamp.1039s0093
OG0002342	Sdiv_ptg000001l_1692-R	Caamp.0078s0844, Caamp.0078s0843
OG0002342	Sdiv_ptg000013l_1627-R	Caamp.0214s0131
OG0002343	Sdiv_ptg000022l_0081-R	Caamp.1039s0101
OG0002343	Sdiv_ptg000008l_0089-R	Caamp.0059s0022
OG0002344	Sdiv_ptg000022l_0103-R	Caamp.1039s0124
OG0002344	Sdiv_ptg000008l_0107-R	Caamp.0059s0003
OG0002345	Sdiv_ptg000005l_1956-R	Caamp.0094s0122
OG0002345	Sdiv_ptg000022l_0108-R	Caamp.1039s0133
OG0002346	Sdiv_ptg000022l_0255-R	Caamp.1039s0349
OG0002347	Sdiv_ptg000022l_0259-R	Caamp.1039s0358
OG0002347	Sdiv_ptg000004l_1797-R	Caamp.0105s1355, Caamp.0094s0696
OG0002348	Sdiv_ptg000022l_1565-R	Caamp.0076s1628
OG0002348	Sdiv_ptg000002l_0112-R	Caamp.1039s0462, Caamp.0095s0595
OG0002349	Sdiv_ptg000013l_1383-R	Caamp.1039s0539
OG0002350	Sdiv_ptg000014l_2856-R	Caamp.0007s0008, Caamp.0046s0112, Caamp.0037s0106
OG0002351	Sdiv_ptg000001l_1391-R	Caamp.0078s1219
OG0002351	Sdiv_ptg000014l_2846-R	Caamp.0046s0123, Caamp.0037s0117
OG0002352	Sdiv_ptg000003l_1815-R	Caamp.0040s0249
OG0002352	Sdiv_ptg000013l_1225-R	Caamp.1039s0752
OG0002353	Sdiv_ptg000001l_1274-R	Caamp.0105s0028
OG0002353	Sdiv_ptg000013l_1216-R	Caamp.1039s0763
OG0002355	Sdiv_ptg000001l_1200-R	Caamp.0051s0127
OG0002355	Sdiv_ptg000013l_1142-R	Caamp.1039s0865
OG0002356	Sdiv_ptg000001l_1105-R	Caamp.0051s0246
OG0002356	Sdiv_ptg000013l_1042-R	Caamp.1039s0981
OG0002357	Sdiv_ptg000001l_1098-R	Caamp.0051s0252
OG0002357	Sdiv_ptg000013l_1035-R	Caamp.1039s0988
OG0002358	Sdiv_ptg000013l_1005-R	Caamp.0064s0732, Caamp.1039s1027
OG0002358	Sdiv_ptg000001l_1068-R	Caamp.0051s0292
OG0002359	Sdiv_ptg000013l_0956-R	Caamp.1039s1103
OG0002360	Sdiv_ptg000013l_0922-R	Caamp.1039s1143
OG0002360	Sdiv_ptg000014l_1568-R	Caamp.0064s0804, Caamp.1041s0698
OG0002362	Sdiv_ptg000001l_0911-R	Caamp.0053s0083
OG0002362	Sdiv_ptg000013l_0854-R	Caamp.1039s1233
OG0002363	Sdiv_ptg000013l_0740-R	Caamp.1039s1374
OG0002363	Sdiv_ptg000013l_0741-R	Caamp.1039s1373
OG0002364	Sdiv_ptg000001l_0794-R	Caamp.1041s1860
OG0002364	Sdiv_ptg000007l_0231-R	Caamp.1039s1385
OG0002365	Sdiv_ptg000001l_0766-R	Caamp.0076s1164
OG0002365	Sdiv_ptg000013l_0721-R	Caamp.1039s1420
OG0002366	Sdiv_ptg000001l_0514-R	Caamp.1039s1492, Caamp.0026s0196
OG0002367	Sdiv_ptg000013l_0626-R	Caamp.1039s1533
OG0002367	Sdiv_ptg000005l_0217-R	Caamp.0022s0209
OG0002368	Sdiv_ptg000001l_0653-R	Caamp.0076s1292
OG0002369	Sdiv_ptg000001l_0588-R	Caamp.0026s0077
OG0002369	Sdiv_ptg000013l_0556-R	Caamp.1039s1627
OG0002370	Sdiv_ptg000001l_0566-R	Caamp.0026s0108
OG0002371	Sdiv_ptg000001l_0553-R	Caamp.0026s0132
OG0002372	Sdiv_ptg000009l_2983-R	Caamp.1040s0051
OG0002372	Sdiv_ptg000014l_0034-R	Caamp.0188s1125
OG0002372	Sdiv_ptg000003l_2917-R	Caamp.0275s0055
OG0002373	Sdiv_ptg000003l_2897-R	Caamp.0275s0084, Caamp.0188s1091
OG0002374	Sdiv_ptg000009l_2898-R	Caamp.1040s0154
OG0002375	Sdiv_ptg000003l_2846-R	Caamp.0188s1006
OG0002375	Sdiv_ptg000009l_2860-R	Caamp.1040s0195
OG0002375	Sdiv_ptg000010l_1855-R	Caamp.1041s1581
OG0002376	Sdiv_ptg000009l_2859-R	Caamp.1041s1582, Caamp.1040s0196
OG0002377	Sdiv_ptg000010l_1842-R	Caamp.1041s1602
OG0002377	Sdiv_ptg000009l_2844-R	Caamp.1040s0217
OG0002378	Sdiv_ptg000010l_1841-R	Caamp.1041s1603
OG0002378	Sdiv_ptg000009l_2843-R	Caamp.1040s0218
OG0002379	Sdiv_ptg000002l_0843-R	Caamp.0097s0211, Caamp.0005s0147
OG0002380	Sdiv_ptg000009l_2405-R	Caamp.1040s0739
OG0002382	Sdiv_ptg000004l_0551-R	Caamp.0022s0119, Caamp.0022s0120, Caamp.0097s0595
OG0002386	Sdiv_ptg000015l_2298-R	Caamp.0065s0101
OG0002386	Sdiv_ptg000005l_2066-R, Sdiv_ptg000004l_0005-R	Caamp.1041s0003
OG0002387	Sdiv_ptg000004l_0008-R	Caamp.1041s0006
OG0002387	Sdiv_ptg000012l_2333-R	Caamp.0266s0068
OG0002388	Sdiv_ptg000027l_0279-R	Caamp.0044s0032
OG0002389	Sdiv_ptg000027l_0275-R	Caamp.0044s0040
OG0002389	Sdiv_ptg000004l_0047-R	Caamp.0044s0039, Caamp.1041s0052
OG0002392	Sdiv_ptg000004l_0101-R	Caamp.0044s0122, Caamp.1041s0138
OG0002392	Sdiv_ptg000027l_0218-R	Caamp.0044s0121
OG0002393	Sdiv_ptg000027l_0213-R	Caamp.0044s0130
OG0002393	Sdiv_ptg000004l_0106-R	Caamp.1041s0149
OG0002394	Sdiv_ptg000002l_0365-R	Caamp.0078s0507, Caamp.1041s0190
OG0002395	Sdiv_ptg000004l_0144-R	Caamp.1041s0208
OG0002396	Sdiv_ptg000004l_0169-R	Caamp.1041s0244
OG0002396	Sdiv_ptg000027l_0155-R	Caamp.1041s0243, Caamp.0044s0223
OG0002397	Sdiv_ptg000004l_1764-R	Caamp.1041s0337
OG0002397	Sdiv_ptg000005l_1470-R	Caamp.0094s0742
OG0002398	Sdiv_ptg000004l_1702-R	Caamp.0094s0823, Caamp.1041s0411
OG0002398	Sdiv_ptg000001l_0155-R	Caamp.0093s0082, Caamp.0095s1219
OG0002399	Sdiv_ptg000005l_1403-R	Caamp.0094s0831
OG0002399	Sdiv_ptg000004l_1696-R	Caamp.1041s0422
OG0002400	Sdiv_ptg000004l_1664-R	Caamp.0094s0873, Caamp.1041s0464, Caamp.0093s0036
OG0002403	Sdiv_ptg000001l_0029-R	Caamp.0079s0079
OG0002403	Sdiv_ptg000004l_1574-R	Caamp.1041s0597
OG0002404	Sdiv_ptg000014l_1547-R	Caamp.1041s0677
OG0002404	Sdiv_ptg000003l_1644-R	Caamp.0064s0823
OG0002405	Sdiv_ptg000003l_1639-R	Caamp.0064s0814
OG0002408	Sdiv_ptg000004l_0188-R	Caamp.1041s0874
OG0002408	Sdiv_ptg000027l_0135-R	Caamp.1041s0875
OG0002409	Sdiv_ptg000009l_0924-R	Caamp.1041s1399
OG0002410	Sdiv_ptg000002l_2006-R	Caamp.0064s0095
OG0002410	Sdiv_ptg000015l_0157-R	Caamp.0013s0240, Caamp.0006s0622
OG0002411	Sdiv_ptg000010l_1800-R	Caamp.1041s1646
OG0002411	Sdiv_ptg000009l_1442-R	Caamp.0052s0529
OG0002412	Sdiv_ptg000010l_1740-R	Caamp.1041s1725
OG0002412	Sdiv_ptg000014l_1345-R	Caamp.0052s0453
OG0002413	Sdiv_ptg000010l_1707-R	Caamp.1041s1758
OG0002413	Sdiv_ptg000009l_1538-R	Caamp.0052s0413
OG0002415	Sdiv_ptg000010l_1691-R	Caamp.1041s1788
OG0002415	Sdiv_ptg000009l_1561-R	Caamp.0052s0380
OG0002416	Sdiv_ptg000010l_1676-R	Caamp.1041s1818
OG0002417	Sdiv_ptg000014l_1487-R	Caamp.0190s0223
OG0002417	Sdiv_ptg000003l_1698-R	Caamp.1041s1879
OG0002417	Sdiv_ptg000001l_0388-R	Caamp.0190s1210
OG0002419	Sdiv_ptg000008l_0459-R	Caamp.0034s0055
OG0002420	Sdiv_ptg000007l_2106-R	Caamp.1041s2021, Caamp.0033s0448
OG0002421	Sdiv_ptg000014l_2762-R	Caamp.0040s0261, Caamp.0037s0230
OG0002421	Sdiv_ptg000001l_1271-R	Caamp.0105s0031
OG0002422	Sdiv_ptg000008l_0704-R	Caamp.0066s0109, Caamp.0105s0107
OG0002423	Sdiv_ptg000022l_0907-R	Caamp.0013s0290
OG0002423	Sdiv_ptg000008l_0740-R	Caamp.0105s0156
OG0002424	Sdiv_ptg000014l_0351-R	Caamp.0024s0336
OG0002424	Sdiv_ptg000008l_0760-R	Caamp.0105s0189
OG0002424	Sdiv_ptg000022l_0883-R	Caamp.0013s0253
OG0002425	Sdiv_ptg000022l_0876-R	Caamp.0013s0247
OG0002425	Sdiv_ptg000008l_0765-R	Caamp.0105s0196
OG0002426	Sdiv_ptg000003l_2682-R	Caamp.0056s0140
OG0002427	Sdiv_ptg000022l_0812-R	Caamp.0013s0174
OG0002428	Sdiv_ptg000022l_0841-R, Sdiv_ptg000008l_0838-R	Caamp.0013s0188, Caamp.0105s0306
OG0002429	Sdiv_ptg000008l_0844-R	Caamp.0105s0312
OG0002429	Sdiv_ptg000022l_0784-R	Caamp.0159s0024
OG0002431	Sdiv_ptg000008l_0852-R	Caamp.0159s0005, Caamp.0105s0329
OG0002431	Sdiv_ptg000014l_0271-R	Caamp.0188s0808
OG0002432	Sdiv_ptg000008l_0862-R	Caamp.0105s0345
OG0002432	Sdiv_ptg000022l_0761-R	Caamp.0056s0096, Caamp.0066s0137
OG0002433	Sdiv_ptg000014l_0236-R	Caamp.0188s0848
OG0002433	Sdiv_ptg000003l_2725-R	Caamp.0056s0082
OG0002434	Sdiv_ptg000002l_0424-R	Caamp.0078s0302
OG0002434	Sdiv_ptg000022l_1140-R	Caamp.0105s0604
OG0002435	Sdiv_ptg000004l_2145-R	Caamp.0105s0932
OG0002435	Sdiv_ptg000004l_2144-R	Caamp.0105s0933
OG0002435	Sdiv_ptg000005l_1826-R	Caamp.0094s0268
OG0002436	Sdiv_ptg000004l_2117-R	Caamp.0105s0961
OG0002436	Sdiv_ptg000005l_1797-R	Caamp.0094s0299
OG0002437	Sdiv_ptg000005l_1780-R	Caamp.0064s0301
OG0002437	Sdiv_ptg000004l_2101-R	Caamp.0105s0979, Caamp.0064s0225
OG0002438	Sdiv_ptg000011l_0218-R, Sdiv_ptg000013l_0208-R	Caamp.0105s0981, Caamp.0094s0325, Caamp.0093s0182, Caamp.0026s0549
OG0002439	Sdiv_ptg000001l_0228-R	Caamp.0105s0998, Caamp.0094s0342, Caamp.0026s0555, Caamp.0093s0189
OG0002441	Sdiv_ptg000001l_0377-R	Caamp.0190s1186
OG0002441	Sdiv_ptg000004l_1994-R	Caamp.0105s1122
OG0002441	Sdiv_ptg000005l_1681-R	Caamp.0094s0480
OG0002442	Sdiv_ptg000005l_1666-R	Caamp.0105s1143, Caamp.0094s0462
OG0002443	Sdiv_ptg000004l_1896-R	Caamp.0094s0580, Caamp.0105s1244
OG0002444	Sdiv_ptg000005l_1555-R	Caamp.0094s0632
OG0002445	Sdiv_ptg000012l_1979-R	Caamp.0011s0054
OG0002445	Sdiv_ptg000007l_0360-R	Caamp.0007s0468
OG0002446	Sdiv_ptg000012l_1787-R	Caamp.0011s0153
OG0002446	Sdiv_ptg000007l_0432-R	Caamp.0020s0034
OG0002448	Sdiv_ptg000089l_0017-R, Sdiv_ptg000129l_0021-R, Sdiv_ptg001167l_0003-R, Sdiv_ptg000113l_0019-R, Sdiv_ptg000958l_0001-R, Sdiv_ptg000050l_0005-R	Caamp.0110s0067
OG0002450	Sdiv_ptg000001l_0465-R, Sdiv_ptg000013l_0440-R, Sdiv_ptg000011l_0435-R	Caamp.0113s0003, Caamp.0048s0045
OG0002451	Sdiv_ptg000007l_1005-R	Caamp.0120s0004
OG0002451	Sdiv_ptg000012l_1227-R	Caamp.0076s1075
OG0002452	Sdiv_ptg000013l_1822-R	Caamp.0303s0026, Caamp.0214s0373
OG0002452	Sdiv_ptg000007l_1375-R	Caamp.0120s0475
OG0002453	Sdiv_ptg000001l_1963-R	Caamp.0214s0454, Caamp.0303s0107
OG0002453	Sdiv_ptg000013l_1884-R, Sdiv_ptg000007l_1484-R	Caamp.0120s0629
OG0002457	Sdiv_ptg000013l_0480-R	Caamp.0013s0132
OG0002457	Sdiv_ptg000001l_0513-R	Caamp.0026s0198
OG0002458	Sdiv_ptg000004l_0712-R, Sdiv_ptg000005l_0408-R	Caamp.0095s0093
OG0002459	Sdiv_ptg000022l_0929-R	Caamp.0013s0319
OG0002459	Sdiv_ptg000014l_0390-R	Caamp.0024s0384
OG0002459	Sdiv_ptg000003l_2584-R	Caamp.0056s0269
OG0002460	Sdiv_ptg000012l_1873-R	Caamp.0097s0160, Caamp.0058s0046, Caamp.0014s0022
OG0002463	Sdiv_ptg000003l_2306-R	Caamp.0052s0232
OG0002464	Sdiv_ptg000007l_2094-R	Caamp.0033s0428
OG0002464	Sdiv_ptg000007l_0285-R	Caamp.0054s0087
OG0002465	Sdiv_ptg000012l_2080-R	Caamp.0015s0081, Caamp.0004s0153
OG0002465	Sdiv_ptg000007l_0281-R	Caamp.0004s0152, Caamp.0054s0039
OG0002468	Sdiv_ptg000007l_0198-R	Caamp.0015s0208, Caamp.0303s1291
OG0002469	Sdiv_ptg000012l_2188-R	Caamp.0015s0239
OG0002469	Sdiv_ptg000007l_0177-R	Caamp.0303s1265
OG0002470	Sdiv_ptg000007l_0147-R	Caamp.0303s1222
OG0002470	Sdiv_ptg000012l_2218-R	Caamp.0071s0198, Caamp.0015s0279
OG0002471	Sdiv_ptg000012l_2244-R	Caamp.0015s0316
OG0002471	Sdiv_ptg000007l_0119-R	Caamp.0303s1192
OG0002472	Sdiv_ptg000007l_0548-R	Caamp.0058s0105
OG0002473	Sdiv_ptg000007l_0514-R	Caamp.0015s0358
OG0002475	Sdiv_ptg000015l_1125-R	Caamp.0016s0114
OG0002475	Sdiv_ptg000002l_1465-R	Caamp.0076s0071
OG0002477	Sdiv_ptg000018l_0263-R	Caamp.0018s0015
OG0002477	Sdiv_ptg000015l_2182-R	Caamp.0023s0319, Caamp.0095s0348
OG0002478	Sdiv_ptg000016l_0080-R	Caamp.0023s0323
OG0002478	Sdiv_ptg000015l_2186-R	Caamp.0095s0344
OG0002479	Sdiv_ptg000022l_1848-R	Caamp.0018s0119
OG0002479	Sdiv_ptg000016l_0131-R	Caamp.0065s0019, Caamp.0023s0396
OG0002480	Sdiv_ptg000022l_0150-R, Sdiv_ptg000022l_1979-R	Caamp.0018s0284
OG0002481	Sdiv_ptg000015l_2375-R	Caamp.0023s0595, Caamp.0065s0210
OG0002481	Sdiv_ptg000022l_2047-R	Caamp.0018s0371
OG0002482	Sdiv_ptg000007l_0415-R	Caamp.0038s0017
OG0002482	Sdiv_ptg000014l_0539-R	Caamp.0188s0076
OG0002483	Sdiv_ptg000003l_2398-R	Caamp.0052s0122
OG0002483	Sdiv_ptg000014l_0548-R	Caamp.0188s0087
OG0002484	Sdiv_ptg000003l_2208-R	Caamp.0071s0270
OG0002484	Sdiv_ptg000014l_0686-R	Caamp.0188s0237
OG0002485	Sdiv_ptg000014l_0743-R	Caamp.0052s0261
OG0002485	Sdiv_ptg000003l_2284-R	Caamp.0188s0321
OG0002486	Sdiv_ptg000014l_0790-R	Caamp.0188s0374, Caamp.0052s0187
OG0002486	Sdiv_ptg000007l_0341-R	Caamp.0007s0434
OG0002487	Sdiv_ptg000003l_2095-R	Caamp.0071s0127
OG0002488	Sdiv_ptg000012l_1261-R	Caamp.0040s0014, Caamp.0188s0552, Caamp.0076s1028
OG0002488	Sdiv_ptg000007l_0974-R	Caamp.0077s0060
OG0002489	Sdiv_ptg000012l_1305-R	Caamp.0076s0983
OG0002489	Sdiv_ptg000007l_0936-R	Caamp.0188s0577
OG0002490	Sdiv_ptg000007l_0923-R	Caamp.0077s0010
OG0002490	Sdiv_ptg000003l_1973-R	Caamp.0040s0046
OG0002491	Sdiv_ptg000003l_1970-R	Caamp.0188s0593
OG0002491	Sdiv_ptg000007l_0919-R	Caamp.0077s0005, Caamp.0076s0964
OG0002492	Sdiv_ptg000003l_1949-R	Caamp.0040s0082
OG0002494	Sdiv_ptg000002l_2077-R	Caamp.0064s0009
OG0002494	Sdiv_ptg000015l_0097-R	Caamp.0006s0699
OG0002494	Sdiv_ptg000014l_1050-R	Caamp.0188s0704
OG0002495	Sdiv_ptg000003l_0124-R	Caamp.0188s0717, Caamp.0046s0155
OG0002495	Sdiv_ptg000015l_0107-R	Caamp.0084s0003, Caamp.0006s0688
OG0002496	Sdiv_ptg000015l_0117-R	Caamp.0006s0676
OG0002496	Sdiv_ptg000002l_2053-R	Caamp.0064s0048
OG0002498	Sdiv_ptg000015l_0141-R	Caamp.0188s0738, Caamp.0006s0642
OG0002498	Sdiv_ptg000002l_2026-R	Caamp.0064s0075
OG0002499	Sdiv_ptg000003l_0145-R	Caamp.0046s0182
OG0002499	Sdiv_ptg000014l_1074-R	Caamp.0006s0638, Caamp.0188s0745
OG0002500	Sdiv_ptg000015l_0153-R	Caamp.0188s0761
OG0002501	Sdiv_ptg000002l_0797-R	Caamp.0019s0074, Caamp.0005s0209
OG0002502	Sdiv_ptg000015l_1140-R	Caamp.0019s0103
OG0002503	Sdiv_ptg000015l_0340-R	Caamp.0006s0223
OG0002504	Sdiv_ptg000003l_0411-R	Caamp.0190s0038, Caamp.0046s0511
OG0002504	Sdiv_ptg000002l_1819-R	Caamp.0076s0496
OG0002505	Sdiv_ptg000014l_1375-R	Caamp.0190s0068
OG0002505	Sdiv_ptg000003l_0437-R	Caamp.0214s0077
OG0002506	Sdiv_ptg000003l_0441-R, Sdiv_ptg000014l_1379-R	Caamp.0046s0544
OG0002507	Sdiv_ptg000014l_1384-R	Caamp.0190s0075
OG0002507	Sdiv_ptg000003l_0446-R	Caamp.0046s0548
OG0002508	Sdiv_ptg000015l_0292-R	Caamp.0006s0160
OG0002508	Sdiv_ptg000014l_1403-R	Caamp.0190s0093
OG0002508	Sdiv_ptg000002l_1861-R	Caamp.0064s0272
OG0002509	Sdiv_ptg000004l_1310-R	Caamp.0190s0540
OG0002510	Sdiv_ptg000005l_0947-R	Caamp.0003s0219
OG0002510	Sdiv_ptg000004l_1256-R	Caamp.0190s0604
OG0002511	Sdiv_ptg000005l_0884-R	Caamp.0190s0683, Caamp.0003s0304
OG0002511	Sdiv_ptg000005l_0883-R	Caamp.0003s0307
OG0002512	Sdiv_ptg000004l_1160-R	Caamp.0190s0728
OG0002512	Sdiv_ptg000005l_0841-R	Caamp.0003s0362
OG0002513	Sdiv_ptg000004l_1129-R	Caamp.0190s0773
OG0002513	Sdiv_ptg000005l_0811-R	Caamp.0003s0403
OG0002514	Sdiv_ptg000004l_1117-R	Caamp.0190s0792
OG0002514	Sdiv_ptg000005l_0802-R	Caamp.0003s0416
OG0002515	Sdiv_ptg000004l_0961-R	Caamp.0190s0993
OG0002516	Sdiv_ptg000015l_0690-R	Caamp.0190s1213, Caamp.0303s0799
OG0002516	Sdiv_ptg000002l_1459-R	Caamp.0076s0065
OG0002517	Sdiv_ptg000001l_0368-R	Caamp.0190s1216
OG0002517	Sdiv_ptg000011l_0338-R, Sdiv_ptg000013l_0339-R	Caamp.0026s0748
OG0002518	Sdiv_ptg000001l_0357-R	Caamp.0190s1226
OG0002518	Sdiv_ptg000011l_0330-R, Sdiv_ptg000013l_0330-R	Caamp.0026s0740
OG0002519	Sdiv_ptg000001l_0354-R	Caamp.0190s1233
OG0002519	Sdiv_ptg000011l_0327-R, Sdiv_ptg000013l_0327-R	Caamp.0026s0733
OG0002520	Sdiv_ptg000001l_1656-R	Caamp.0214s0087
OG0002521	Sdiv_ptg000013l_0263-R, Sdiv_ptg000011l_0268-R, Sdiv_ptg000001l_0283-R	Caamp.0190s1342
OG0002521	Sdiv_ptg000013l_0264-R	Caamp.0026s0621
OG0002522	Sdiv_ptg000001l_0281-R	Caamp.0026s0613
OG0002522	Sdiv_ptg000013l_0257-R, Sdiv_ptg000011l_0262-R	Caamp.0190s1349
OG0002523	Sdiv_ptg000002l_1098-R	Caamp.0002s0148
OG0002523	Sdiv_ptg000015l_1017-R	Caamp.0006s0583
OG0002524	Sdiv_ptg000015l_0970-R	Caamp.0303s0647
OG0002524	Sdiv_ptg000002l_1147-R	Caamp.0002s0259, Caamp.0002s0232
OG0002525	Sdiv_ptg000002l_1190-R	Caamp.0002s0298
OG0002526	Sdiv_ptg000001l_1582-R, Sdiv_ptg000013l_1515-R	Caamp.0214s0003, Caamp.0078s0979
OG0002527	Sdiv_ptg000013l_1780-R	Caamp.0214s0325
OG0002527	Sdiv_ptg000013l_1782-R	Caamp.0214s0326
OG0002528	Sdiv_ptg000013l_1983-R, Sdiv_ptg000001l_2069-R	Caamp.0303s0254, Caamp.0214s0586
OG0002530	Sdiv_ptg000001l_2265-R	Caamp.0303s0510
OG0002530	Sdiv_ptg000013l_2158-R	Caamp.0214s0828
OG0002531	Sdiv_ptg000005l_0322-R	Caamp.0022s0041
OG0002532	Sdiv_ptg000004l_0612-R	Caamp.0022s0058, Caamp.0022s0057
OG0002533	Sdiv_ptg000013l_1482-R	Caamp.0023s0027
OG0002534	Sdiv_ptg000016l_0020-R	Caamp.0023s0245, Caamp.0095s0424
OG0002535	Sdiv_ptg000015l_2152-R	Caamp.0058s0154
OG0002535	Sdiv_ptg000016l_0062-R	Caamp.0023s0294
OG0002536	Sdiv_ptg000016l_0104-R	Caamp.0023s0354
OG0002536	Sdiv_ptg000015l_2206-R	Caamp.0095s0320
OG0002537	Sdiv_ptg000015l_2351-R	Caamp.0023s0559, Caamp.0065s0172
OG0002537	Sdiv_ptg000007l_0396-R	Caamp.0007s0528
OG0002538	Sdiv_ptg000015l_0473-R	Caamp.0006s0383
OG0002538	Sdiv_ptg000014l_1227-R	Caamp.0024s0109
OG0002538	Sdiv_ptg000003l_0303-R	Caamp.0046s0369
OG0002539	Sdiv_ptg000015l_0574-R	Caamp.0006s0511
OG0002539	Sdiv_ptg000002l_1586-R	Caamp.0076s0210
OG0002540	Sdiv_ptg000002l_1564-R	Caamp.0046s0266, Caamp.0024s0210, Caamp.0006s0539, Caamp.0076s0184
OG0002541	Sdiv_ptg000003l_0204-R	Caamp.0046s0258
OG0002541	Sdiv_ptg000014l_1132-R	Caamp.0024s0223
OG0002542	Sdiv_ptg000014l_1119-R	Caamp.0024s0239
OG0002543	Sdiv_ptg000014l_1102-R	Caamp.0024s0254
OG0002543	Sdiv_ptg000015l_0180-R	Caamp.0006s0022
OG0002543	Sdiv_ptg000002l_1978-R	Caamp.0064s0131
OG0002544	Sdiv_ptg000014l_1098-R	Caamp.0046s0220, Caamp.0024s0260
OG0002544	Sdiv_ptg000002l_1993-R, Sdiv_ptg000015l_0165-R	Caamp.0064s0115, Caamp.0006s0004
OG0002545	Sdiv_ptg000003l_2619-R	Caamp.0024s0347, Caamp.0076s0639, Caamp.0056s0231
OG0002547	Sdiv_ptg000015l_1727-R	Caamp.0095s0929
