Orthogroup	E_salsugineum	S_diversifolius
OG0001612	Thhalv10009970m.g	Sdiv_ptg000003l_0424-R
OG0001612	Thhalv10009371m.g	Sdiv_ptg000014l_1360-R, Sdiv_ptg000003l_0423-R
OG0001613	Thhalv10006615m.g, Thhalv10009567m.g	Sdiv_ptg000014l_1363-R
OG0001613	Thhalv10009302m.g	Sdiv_ptg000014l_1362-R, Sdiv_ptg000003l_0425-R
OG0001614	Thhalv10019183m.g	Sdiv_ptg000015l_0324-R
OG0001614	Thhalv10009964m.g	Sdiv_ptg000014l_1368-R
OG0001615	Thhalv10018983m.g	Sdiv_ptg000015l_0320-R
OG0001615	Thhalv10008444m.g	Sdiv_ptg000003l_0436-R, Sdiv_ptg000014l_1373-R
OG0001616	Thhalv10008081m.g	Sdiv_ptg000014l_1394-R
OG0001616	Thhalv10018800m.g	Sdiv_ptg000002l_1849-R, Sdiv_ptg000015l_0303-R
OG0001617	Thhalv10006905m.g	Sdiv_ptg000015l_1025-R
OG0001618	Thhalv10005798m.g	Sdiv_ptg000015l_2055-R, Sdiv_ptg000002l_0042-R
OG0001619	Thhalv10025441m.g	Sdiv_ptg000005l_1082-R
OG0001619	Thhalv10027226m.g	Sdiv_ptg000005l_1081-R
OG0001620	Thhalv10026278m.g	Sdiv_ptg000004l_1383-R
OG0001621	Thhalv10026034m.g	Sdiv_ptg000005l_1069-R
OG0001622	Thhalv10024894m.g	Sdiv_ptg000004l_1191-R
OG0001623	Thhalv10028947m.g	Sdiv_ptg000009l_1559-R
OG0001623	Thhalv10026181m.g	Sdiv_ptg000005l_0807-R
OG0001624	Thhalv10024969m.g	Sdiv_ptg000005l_0795-R
OG0001625	Thhalv10022627m.g	Sdiv_ptg000001l_0306-R
OG0001625	Thhalv10024761m.g	Sdiv_ptg000004l_1109-R
OG0001627	Thhalv10024238m.g	Sdiv_ptg000004l_0849-R
OG0001628	Thhalv10024685m.g	Sdiv_ptg000004l_0847-R, Sdiv_ptg000005l_0537-R
OG0001630	Thhalv10023129m.g	Sdiv_ptg000013l_0306-R, Sdiv_ptg000011l_0304-R, Sdiv_ptg000013l_0303-R, Sdiv_ptg000011l_0307-R, Sdiv_ptg000011l_0305-R, Sdiv_ptg000013l_0304-R, Sdiv_ptg000011l_0306-R
OG0001631	Thhalv10022773m.g, Thhalv10000231m.g	Sdiv_ptg000001l_0312-R, Sdiv_ptg000011l_0253-R, Sdiv_ptg000013l_0247-R
OG0001634	Thhalv10018781m.g	Sdiv_ptg000015l_1020-R, Sdiv_ptg000015l_1021-R
OG0001634	Thhalv10018785m.g, Thhalv10019552m.g	Sdiv_ptg000002l_1096-R
OG0001635	Thhalv10018962m.g	Sdiv_ptg000015l_0912-R, Sdiv_ptg000002l_1218-R
OG0001637	Thhalv10021381m.g	Sdiv_ptg000013l_1649-R
OG0001637	Thhalv10008402m.g	Sdiv_ptg000003l_2494-R
OG0001638	Thhalv10021333m.g	Sdiv_ptg000001l_1834-R
OG0001638	Thhalv10003378m.g, Thhalv10029444m.g, Thhalv10015643m.g, Thhalv10002175m.g, Thhalv10026984m.g	Sdiv_ptg000013l_1761-R
OG0001639	Thhalv10020394m.g	Sdiv_ptg000001l_2235-R
OG0001639	Thhalv10015332m.g, Thhalv10013649m.g	Sdiv_ptg000013l_2136-R
OG0001640	Thhalv10026305m.g, Thhalv10026306m.g	Sdiv_ptg000004l_0573-R, Sdiv_ptg000004l_0574-R
OG0001641	Thhalv10016174m.g	Sdiv_ptg000022l_1591-R
OG0001641	Thhalv10005764m.g	Sdiv_ptg000015l_2026-R, Sdiv_ptg000002l_0073-R
OG0001642	Thhalv10016499m.g, Thhalv10029124m.g	Sdiv_ptg000022l_1611-R
OG0001642	Thhalv10005884m.g	Sdiv_ptg000002l_0058-R, Sdiv_ptg000015l_2039-R
OG0001643	Thhalv10006281m.g	Sdiv_ptg000015l_2331-R
OG0001643	Thhalv10006282m.g	Sdiv_ptg000002l_0043-R
OG0001644	Thhalv10005781m.g	Sdiv_ptg000015l_1946-R
OG0001647	Thhalv10006659m.g	Sdiv_ptg000014l_1237-R
OG0001647	Thhalv10018022m.g	Sdiv_ptg000002l_1704-R
OG0001648	Thhalv10008524m.g	Sdiv_ptg000003l_0308-R
OG0001649	Thhalv10012333m.g, Thhalv10027825m.g	Sdiv_ptg000014l_1220-R, Sdiv_ptg000005l_0006-R
OG0001650	Thhalv10007073m.g	Sdiv_ptg000003l_0286-R, Sdiv_ptg000014l_1213-R
OG0001650	Thhalv10018267m.g	Sdiv_ptg000002l_1663-R
OG0001651	Thhalv10008778m.g	Sdiv_ptg000014l_1197-R, Sdiv_ptg000003l_0267-R
OG0001651	Thhalv10019174m.g	Sdiv_ptg000015l_0534-R
OG0001652	Thhalv10008614m.g	Sdiv_ptg000014l_1190-R
OG0001652	Thhalv10019050m.g	Sdiv_ptg000002l_1627-R
OG0001653	Thhalv10008957m.g	Sdiv_ptg000003l_0241-R
OG0001653	Thhalv10019231m.g	Sdiv_ptg000002l_1604-R
OG0001654	Thhalv10006892m.g	Sdiv_ptg000014l_1156-R
OG0001654	Thhalv10023137m.g	Sdiv_ptg000007l_0054-R
OG0001655	Thhalv10019450m.g	Sdiv_ptg000015l_0584-R
OG0001656	Thhalv10019770m.g	Sdiv_ptg000002l_1567-R
OG0001656	Thhalv10007806m.g	Sdiv_ptg000014l_1144-R
OG0001657	Thhalv10005691m.g	Sdiv_ptg000001l_2054-R
OG0001658	Thhalv10009739m.g	Sdiv_ptg000022l_0703-R
OG0001659	Thhalv10017113m.g	Sdiv_ptg000008l_0624-R
OG0001659	Thhalv10008485m.g	Sdiv_ptg000014l_0435-R
OG0001661	Thhalv10010059m.g, Thhalv10010060m.g	Sdiv_ptg000002l_0741-R, Sdiv_ptg000015l_1394-R
OG0001662	Thhalv10018087m.g	Sdiv_ptg000011l_0366-R, Sdiv_ptg000013l_0367-R
OG0001664	Thhalv10023392m.g	Sdiv_ptg000012l_2295-R
OG0001665	Thhalv10024073m.g	Sdiv_ptg000007l_0053-R
OG0001665	Thhalv10008106m.g	Sdiv_ptg000012l_2296-R
OG0001666	Thhalv10027660m.g, Thhalv10029146m.g	Sdiv_ptg000004l_0033-R
OG0001666	Thhalv10023305m.g	Sdiv_ptg000007l_0031-R, Sdiv_ptg000012l_2318-R
OG0001668	Thhalv10018339m.g	Sdiv_ptg000002l_1951-R, Sdiv_ptg000015l_0201-R
OG0001671	Thhalv10029398m.g, Thhalv10028580m.g, Thhalv10028583m.g, Thhalv10028581m.g	Sdiv_ptg000009l_1586-R
OG0001672	Thhalv10012385m.g	Sdiv_ptg000005l_0682-R
OG0001672	Thhalv10027515m.g	Sdiv_ptg000005l_0681-R
OG0001672	Thhalv10028539m.g	Sdiv_ptg000005l_0690-R
OG0001673	Thhalv10001007m.g	Sdiv_ptg000007l_0829-R
OG0001673	Thhalv10026069m.g	Sdiv_ptg000005l_0482-R
OG0001674	Thhalv10016678m.g	Sdiv_ptg000008l_0482-R
OG0001674	Thhalv10007683m.g	Sdiv_ptg000003l_2462-R
OG0001675	Thhalv10028837m.g	Sdiv_ptg000010l_1450-R
OG0001677	Thhalv10011851m.g	Sdiv_ptg000014l_1697-R, Sdiv_ptg000003l_1484-R
OG0001679	Thhalv10018465m.g	Sdiv_ptg000014l_2635-R, Sdiv_ptg000015l_0679-R, Sdiv_ptg000002l_1471-R
OG0001680	Thhalv10009703m.g, Thhalv10010983m.g	Sdiv_ptg000022l_0505-R, Sdiv_ptg000007l_0128-R, Sdiv_ptg000003l_0307-R
OG0001683	Thhalv10018662m.g	Sdiv_ptg000015l_0530-R
OG0001685	Thhalv10019192m.g	Sdiv_ptg000007l_0524-R
OG0001686	Thhalv10003390m.g	Sdiv_ptg000012l_1645-R, Sdiv_ptg000007l_0641-R, Sdiv_ptg000015l_1120-R, Sdiv_ptg000004l_1044-R
OG0001687	Thhalv10018065m.g, Thhalv10018054m.g	Sdiv_ptg000015l_0311-R, Sdiv_ptg000015l_0312-R, Sdiv_ptg000002l_1842-R
OG0001688	Thhalv10019680m.g	Sdiv_ptg000015l_0437-R
OG0001691	Thhalv10013249m.g	Sdiv_ptg000009l_0958-R
OG0001691	Thhalv10024953m.g, Thhalv10013264m.g	Sdiv_ptg000009l_0959-R
OG0001692	Thhalv10001158m.g	Sdiv_ptg000007l_0870-R, Sdiv_ptg000012l_1381-R
OG0001694	Thhalv10026998m.g	Sdiv_ptg000004l_0680-R, Sdiv_ptg000005l_0382-R, Sdiv_ptg000004l_0681-R
OG0001695	Thhalv10026959m.g	Sdiv_ptg000005l_1835-R
OG0001695	Thhalv10022656m.g	Sdiv_ptg000001l_0158-R, Sdiv_ptg000013l_0166-R, Sdiv_ptg000011l_0176-R
OG0001696	Thhalv10022710m.g, Thhalv10011037m.g	Sdiv_ptg000001l_0193-R
OG0001696	Thhalv10027366m.g, Thhalv10025132m.g	Sdiv_ptg000005l_1815-R
OG0001697	Thhalv10009802m.g, Thhalv10017914m.g	Sdiv_ptg000015l_1298-R, Sdiv_ptg000015l_1297-R
OG0001711	Thhalv10000988m.g	Sdiv_ptg000007l_0808-R
OG0001714	Thhalv10017082m.g	Sdiv_ptg000008l_0984-R, Sdiv_ptg000022l_1058-R
OG0001715	Thhalv10001051m.g	Sdiv_ptg000012l_1531-R
OG0001715	Thhalv10026398m.g	Sdiv_ptg000005l_0577-R
OG0001716	Thhalv10000869m.g	Sdiv_ptg000012l_1629-R
OG0001716	Thhalv10025053m.g	Sdiv_ptg000005l_0700-R
OG0001717	Thhalv10010330m.g	Sdiv_ptg000002l_0169-R, Sdiv_ptg000004l_0470-R
OG0001721	Thhalv10001570m.g	Sdiv_ptg000009l_1324-R, Sdiv_ptg000014l_1998-R
OG0001722	Thhalv10016948m.g, Thhalv10016963m.g	Sdiv_ptg000008l_0308-R
OG0001723	Thhalv10026353m.g	Sdiv_ptg000004l_1819-R, Sdiv_ptg000005l_1526-R
OG0001724	Thhalv10026351m.g	Sdiv_ptg000004l_1793-R
OG0001724	Thhalv10000339m.g	Sdiv_ptg000022l_0250-R
OG0001725	Thhalv10000328m.g	Sdiv_ptg000022l_0235-R, Sdiv_ptg000008l_0247-R
OG0001726	Thhalv10000334m.g	Sdiv_ptg000008l_0234-R, Sdiv_ptg000004l_1774-R, Sdiv_ptg000005l_1483-R
OG0001727	Thhalv10000179m.g	Sdiv_ptg000008l_0224-R, Sdiv_ptg000022l_0217-R
OG0001727	Thhalv10025341m.g	Sdiv_ptg000005l_1462-R
OG0001728	Thhalv10000261m.g	Sdiv_ptg000008l_0190-R, Sdiv_ptg000022l_0185-R
OG0001732	Thhalv10017487m.g	Sdiv_ptg000022l_0567-R, Sdiv_ptg000008l_0530-R
OG0001733	Thhalv10023321m.g	Sdiv_ptg000013l_0544-R, Sdiv_ptg000012l_1949-R
OG0001734	Thhalv10002862m.g, Thhalv10002124m.g	Sdiv_ptg000004l_0342-R, Sdiv_ptg000005l_0072-R
OG0001737	Thhalv10017249m.g	Sdiv_ptg000022l_1461-R, Sdiv_ptg000008l_1356-R
OG0001738	Thhalv10016410m.g	Sdiv_ptg000022l_1415-R, Sdiv_ptg000008l_1313-R
OG0001739	Thhalv10023484m.g	Sdiv_ptg000002l_0295-R
OG0001740	Thhalv10016956m.g	Sdiv_ptg000022l_1368-R
OG0001740	Thhalv10010568m.g	Sdiv_ptg000015l_1807-R
OG0001741	Thhalv10014179m.g	Sdiv_ptg000009l_0039-R
OG0001741	Thhalv10017969m.g	Sdiv_ptg000022l_1332-R
OG0001742	Thhalv10017172m.g	Sdiv_ptg000008l_1152-R, Sdiv_ptg000022l_1234-R
OG0001743	Thhalv10017301m.g	Sdiv_ptg000022l_1227-R
OG0001743	Thhalv10010755m.g	Sdiv_ptg000015l_1749-R
OG0001744	Thhalv10010379m.g, Thhalv10010378m.g	Sdiv_ptg000015l_1726-R, Sdiv_ptg000022l_1175-R
OG0001745	Thhalv10008500m.g	Sdiv_ptg000014l_2090-R, Sdiv_ptg000003l_1108-R
OG0001746	Thhalv10006337m.g	Sdiv_ptg000015l_2200-R, Sdiv_ptg000016l_0097-R
OG0001747	Thhalv10017638m.g	Sdiv_ptg000008l_0992-R, Sdiv_ptg000022l_0060-R
OG0001748	Thhalv10009096m.g	Sdiv_ptg000003l_0921-R
OG0001748	Thhalv10017416m.g	Sdiv_ptg000022l_1013-R
OG0001749	Thhalv10008389m.g	Sdiv_ptg000003l_0904-R
OG0001750	Thhalv10028422m.g	Sdiv_ptg000009l_1612-R
OG0001750	Thhalv10029240m.g, Thhalv10028438m.g	Sdiv_ptg000010l_1634-R
OG0001751	Thhalv10029132m.g	Sdiv_ptg000009l_1660-R
OG0001751	Thhalv10026857m.g	Sdiv_ptg000004l_1220-R
OG0001752	Thhalv10028777m.g	Sdiv_ptg000009l_1677-R
OG0001752	Thhalv10025610m.g	Sdiv_ptg000004l_1232-R, Sdiv_ptg000005l_0924-R
OG0001753	Thhalv10028674m.g	Sdiv_ptg000009l_1669-R
OG0001753	Thhalv10025256m.g	Sdiv_ptg000004l_1222-R
OG0001754	Thhalv10029101m.g	Sdiv_ptg000010l_1576-R
OG0001755	Thhalv10023730m.g	Sdiv_ptg000007l_0084-R
OG0001757	Thhalv10009214m.g, Thhalv10009215m.g	Sdiv_ptg000014l_2013-R, Sdiv_ptg000010l_1552-R
OG0001762	Thhalv10028523m.g	Sdiv_ptg000009l_1833-R, Sdiv_ptg000010l_1453-R
OG0001763	Thhalv10026348m.g	Sdiv_ptg000004l_2326-R
OG0001763	Thhalv10000319m.g	Sdiv_ptg000005l_2025-R
OG0001764	Thhalv10000223m.g	Sdiv_ptg000008l_0055-R, Sdiv_ptg000022l_0045-R
OG0001765	Thhalv10000712m.g	Sdiv_ptg000008l_0070-R, Sdiv_ptg000008l_0071-R
OG0001765	Thhalv10025545m.g	Sdiv_ptg000004l_2305-R
OG0001766	Thhalv10000262m.g	Sdiv_ptg000004l_2296-R, Sdiv_ptg000008l_0075-R, Sdiv_ptg000022l_0065-R
OG0001767	Thhalv10025506m.g	Sdiv_ptg000004l_2276-R, Sdiv_ptg000005l_1968-R
OG0001767	Thhalv10000204m.g	Sdiv_ptg000008l_0101-R
OG0001768	Thhalv10000164m.g	Sdiv_ptg000008l_0103-R
OG0001769	Thhalv10000064m.g	Sdiv_ptg000004l_2269-R
OG0001769	Thhalv10024482m.g, Thhalv10000050m.g	Sdiv_ptg000022l_0102-R, Sdiv_ptg000008l_0106-R
OG0001770	Thhalv10010921m.g	Sdiv_ptg000002l_0230-R, Sdiv_ptg000015l_1866-R
OG0001771	Thhalv10022946m.g	Sdiv_ptg000015l_1914-R
OG0001772	Thhalv10017048m.g	Sdiv_ptg000022l_1609-R
OG0001772	Thhalv10006201m.g	Sdiv_ptg000002l_0062-R
OG0001773	Thhalv10016777m.g	Sdiv_ptg000002l_0056-R
OG0001774	Thhalv10016984m.g	Sdiv_ptg000008l_1506-R
OG0001774	Thhalv10006115m.g	Sdiv_ptg000002l_0027-R, Sdiv_ptg000015l_2068-R
OG0001775	Thhalv10005885m.g	Sdiv_ptg000015l_2122-R, Sdiv_ptg000016l_0024-R
OG0001775	Thhalv10016522m.g	Sdiv_ptg000018l_0334-R
OG0001776	Thhalv10001531m.g	Sdiv_ptg000022l_1741-R
OG0001776	Thhalv10006086m.g	Sdiv_ptg000018l_0287-R
OG0001777	Thhalv10006083m.g	Sdiv_ptg000016l_0075-R
OG0001777	Thhalv10001534m.g	Sdiv_ptg000018l_0269-R, Sdiv_ptg000022l_1759-R
OG0001778	Thhalv10001367m.g	Sdiv_ptg000018l_0261-R
OG0001778	Thhalv10005854m.g	Sdiv_ptg000015l_2184-R
OG0001779	Thhalv10001435m.g	Sdiv_ptg000022l_1771-R, Sdiv_ptg000018l_0259-R
OG0001780	Thhalv10001659m.g	Sdiv_ptg000018l_0240-R
OG0001780	Thhalv10006276m.g	Sdiv_ptg000016l_0089-R
OG0001781	Thhalv10007207m.g	Sdiv_ptg000003l_2927-R
OG0001782	Thhalv10006216m.g	Sdiv_ptg000016l_0141-R
OG0001782	Thhalv10001566m.g	Sdiv_ptg000022l_1873-R, Sdiv_ptg000018l_0167-R
OG0001783	Thhalv10006244m.g	Sdiv_ptg000016l_0150-R, Sdiv_ptg000015l_2254-R
OG0001784	Thhalv10008660m.g	Sdiv_ptg000014l_0952-R, Sdiv_ptg000022l_1903-R, Sdiv_ptg000018l_0137-R
OG0001785	Thhalv10001804m.g	Sdiv_ptg000018l_0135-R
OG0001785	Thhalv10006504m.g	Sdiv_ptg000022l_1905-R
OG0001786	Thhalv10005967m.g	Sdiv_ptg000016l_0179-R, Sdiv_ptg000015l_2282-R
OG0001787	Thhalv10001544m.g	Sdiv_ptg000010l_1540-R, Sdiv_ptg000022l_1996-R, Sdiv_ptg000018l_0057-R
OG0001788	Thhalv10001751m.g	Sdiv_ptg000018l_0049-R, Sdiv_ptg000022l_2001-R
OG0001789	Thhalv10006073m.g	Sdiv_ptg000015l_2362-R
OG0001789	Thhalv10001520m.g	Sdiv_ptg000022l_2017-R
OG0001790	Thhalv10006266m.g	Sdiv_ptg000016l_0263-R
OG0001790	Thhalv10001688m.g	Sdiv_ptg000022l_2018-R
OG0001791	Thhalv10001702m.g	Sdiv_ptg000018l_0035-R, Sdiv_ptg000022l_2023-R
OG0001792	Thhalv10018828m.g	Sdiv_ptg000002l_1914-R, Sdiv_ptg000015l_0240-R
OG0001793	Thhalv10008326m.g	Sdiv_ptg000003l_0526-R
OG0001794	Thhalv10007894m.g	Sdiv_ptg000003l_0527-R
OG0001794	Thhalv10018695m.g	Sdiv_ptg000002l_1946-R
OG0001795	Thhalv10008456m.g	Sdiv_ptg000003l_0555-R, Sdiv_ptg000014l_2652-R
OG0001796	Thhalv10008033m.g	Sdiv_ptg000014l_2627-R
OG0001797	Thhalv10019247m.g	Sdiv_ptg000002l_1453-R
OG0001798	Thhalv10009597m.g	Sdiv_ptg000014l_2619-R
OG0001798	Thhalv10019542m.g	Sdiv_ptg000002l_1429-R, Sdiv_ptg000015l_0719-R
OG0001799	Thhalv10018328m.g	Sdiv_ptg000015l_0726-R
OG0001799	Thhalv10007178m.g	Sdiv_ptg000003l_0599-R
OG0001800	Thhalv10018474m.g	Sdiv_ptg000002l_1410-R
OG0001800	Thhalv10007514m.g	Sdiv_ptg000003l_0607-R, Sdiv_ptg000014l_2609-R
OG0001801	Thhalv10008530m.g	Sdiv_ptg000014l_2587-R, Sdiv_ptg000003l_0623-R
OG0001802	Thhalv10009500m.g	Sdiv_ptg000014l_2512-R, Sdiv_ptg000003l_0686-R
OG0001803	Thhalv10007983m.g	Sdiv_ptg000003l_0730-R
OG0001804	Thhalv10018875m.g	Sdiv_ptg000015l_0911-R
OG0001804	Thhalv10008407m.g	Sdiv_ptg000014l_2448-R, Sdiv_ptg000003l_0749-R
OG0001806	Thhalv10015811m.g	Sdiv_ptg000014l_2403-R
OG0001806	Thhalv10009976m.g	Sdiv_ptg000003l_0809-R
OG0001807	Thhalv10008965m.g	Sdiv_ptg000014l_2398-R
OG0001807	Thhalv10010039m.g	Sdiv_ptg000003l_0853-R, Sdiv_ptg000014l_2344-R
OG0001808	Thhalv10010026m.g	Sdiv_ptg000003l_0849-R, Sdiv_ptg000014l_2350-R
OG0001809	Thhalv10006583m.g	Sdiv_ptg000003l_0856-R, Sdiv_ptg000014l_2341-R
OG0001809	Thhalv10006582m.g	Sdiv_ptg000014l_2348-R
OG0001811	Thhalv10005432m.g	Sdiv_ptg000014l_2215-R
OG0001812	Thhalv10008847m.g	Sdiv_ptg000014l_0762-R
OG0001813	Thhalv10009426m.g	Sdiv_ptg000012l_2009-R, Sdiv_ptg000003l_1097-R
OG0001814	Thhalv10029123m.g	Sdiv_ptg000009l_0190-R
OG0001815	Thhalv10001811m.g	Sdiv_ptg000014l_1895-R
OG0001815	Thhalv10009986m.g	Sdiv_ptg000014l_1970-R
OG0001816	Thhalv10005726m.g	Sdiv_ptg000014l_1841-R
OG0001816	Thhalv10003506m.g	Sdiv_ptg000003l_1318-R
OG0001817	Thhalv10003858m.g	Sdiv_ptg000012l_0102-R
OG0001817	Thhalv10010248m.g	Sdiv_ptg000002l_0594-R
OG0001818	Thhalv10010974m.g	Sdiv_ptg000015l_1531-R
OG0001818	Thhalv10026503m.g	Sdiv_ptg000002l_0600-R, Sdiv_ptg000012l_0114-R
OG0001819	Thhalv10003584m.g	Sdiv_ptg000007l_2023-R
OG0001820	Thhalv10013001m.g	Sdiv_ptg000010l_2301-R
OG0001820	Thhalv10003847m.g	Sdiv_ptg000009l_0623-R
OG0001821	Thhalv10013088m.g	Sdiv_ptg000010l_2306-R
OG0001821	Thhalv10003890m.g	Sdiv_ptg000012l_0198-R
OG0001822	Thhalv10004276m.g	Sdiv_ptg000012l_0201-R, Sdiv_ptg000007l_1970-R
OG0001822	Thhalv10018621m.g	Sdiv_ptg000002l_1955-R
OG0001823	Thhalv10013557m.g	Sdiv_ptg000010l_2335-R
OG0001824	Thhalv10003564m.g	Sdiv_ptg000012l_0267-R, Sdiv_ptg000007l_1923-R
OG0001825	Thhalv10003553m.g	Sdiv_ptg000009l_0562-R, Sdiv_ptg000007l_1911-R, Sdiv_ptg000012l_0277-R
OG0001826	Thhalv10003959m.g	Sdiv_ptg000015l_0689-R, Sdiv_ptg000012l_0305-R
OG0001827	Thhalv10010651m.g	Sdiv_ptg000015l_1448-R
OG0001827	Thhalv10004812m.g	Sdiv_ptg000012l_0321-R
OG0001828	Thhalv10010583m.g	Sdiv_ptg000012l_0368-R, Sdiv_ptg000002l_0734-R, Sdiv_ptg000015l_1399-R
OG0001829	Thhalv10004514m.g	Sdiv_ptg000012l_0418-R
OG0001829	Thhalv10008113m.g	Sdiv_ptg000007l_1779-R
OG0001830	Thhalv10014155m.g	Sdiv_ptg000010l_2461-R
OG0001830	Thhalv10004633m.g	Sdiv_ptg000012l_0457-R, Sdiv_ptg000007l_1737-R
OG0001831	Thhalv10004743m.g	Sdiv_ptg000009l_0460-R
OG0001831	Thhalv10014361m.g	Sdiv_ptg000010l_2456-R
OG0001832	Thhalv10003960m.g	Sdiv_ptg000012l_0473-R
OG0001832	Thhalv10013186m.g	Sdiv_ptg000010l_2449-R, Sdiv_ptg000009l_0468-R
OG0001833	Thhalv10008281m.g	Sdiv_ptg000014l_0118-R, Sdiv_ptg000003l_2838-R, Sdiv_ptg000007l_1655-R
OG0001834	Thhalv10014542m.g	Sdiv_ptg000010l_2421-R
OG0001835	Thhalv10003609m.g	Sdiv_ptg000007l_1569-R, Sdiv_ptg000012l_0636-R
OG0001836	Thhalv10012643m.g	Sdiv_ptg000010l_2240-R, Sdiv_ptg000012l_0652-R
OG0001837	Thhalv10013787m.g	Sdiv_ptg000009l_0726-R, Sdiv_ptg000010l_2197-R
OG0001838	Thhalv10018728m.g	Sdiv_ptg000002l_1790-R, Sdiv_ptg000015l_0362-R
OG0001839	Thhalv10021665m.g	Sdiv_ptg000013l_1925-R, Sdiv_ptg000001l_2011-R
OG0001839	Thhalv10005038m.g	Sdiv_ptg000012l_0765-R
OG0001840	Thhalv10020480m.g	Sdiv_ptg000013l_1823-R
OG0001840	Thhalv10005613m.g	Sdiv_ptg000001l_1901-R
OG0001841	Thhalv10005638m.g, Thhalv10005375m.g	Sdiv_ptg000007l_1343-R
OG0001842	Thhalv10004886m.g	Sdiv_ptg000012l_0984-R
OG0001842	Thhalv10027921m.g	Sdiv_ptg000004l_0170-R, Sdiv_ptg000027l_0154-R
OG0001843	Thhalv10004497m.g	Sdiv_ptg000007l_1213-R
OG0001844	Thhalv10005220m.g	Sdiv_ptg000007l_1202-R
OG0001845	Thhalv10004596m.g	Sdiv_ptg000012l_1023-R, Sdiv_ptg000007l_1194-R
OG0001846	Thhalv10004777m.g	Sdiv_ptg000001l_0517-R, Sdiv_ptg000012l_1051-R
OG0001847	Thhalv10028250m.g	Sdiv_ptg000027l_0215-R
OG0001847	Thhalv10005308m.g	Sdiv_ptg000004l_0105-R
OG0001848	Thhalv10004106m.g	Sdiv_ptg000007l_1139-R, Sdiv_ptg000012l_1091-R
OG0001848	Thhalv10027737m.g	Sdiv_ptg000027l_0243-R
OG0001849	Thhalv10005497m.g, Thhalv10015971m.g	Sdiv_ptg000012l_1137-R, Sdiv_ptg000007l_1094-R
OG0001850	Thhalv10005583m.g	Sdiv_ptg000012l_1160-R
OG0001851	Thhalv10028905m.g	Sdiv_ptg000009l_2937-R
OG0001852	Thhalv10008730m.g	Sdiv_ptg000003l_2849-R
OG0001852	Thhalv10028950m.g	Sdiv_ptg000010l_0127-R
OG0001853	Thhalv10029178m.g	Sdiv_ptg000010l_1813-R, Sdiv_ptg000009l_1429-R
OG0001854	Thhalv10020458m.g, Thhalv10021780m.g	Sdiv_ptg000010l_0269-R
OG0001855	Thhalv10019949m.g	Sdiv_ptg000001l_2148-R
OG0001855	Thhalv10012517m.g	Sdiv_ptg000009l_1128-R, Sdiv_ptg000010l_0177-R
OG0001856	Thhalv10020554m.g	Sdiv_ptg000010l_0171-R
OG0001856	Thhalv10013266m.g	Sdiv_ptg000009l_1121-R
OG0001857	Thhalv10020900m.g	Sdiv_ptg000013l_2080-R, Sdiv_ptg000001l_2170-R
OG0001858	Thhalv10021615m.g	Sdiv_ptg000013l_2089-R, Sdiv_ptg000001l_2179-R
OG0001859	Thhalv10013742m.g	Sdiv_ptg000009l_1045-R
OG0001859	Thhalv10020888m.g	Sdiv_ptg000013l_2102-R
OG0001860	Thhalv10021465m.g	Sdiv_ptg000013l_2114-R
OG0001861	Thhalv10018292m.g	Sdiv_ptg000002l_1428-R, Sdiv_ptg000015l_0720-R
OG0001862	Thhalv10026763m.g, Thhalv10019124m.g	Sdiv_ptg000002l_1380-R, Sdiv_ptg000015l_0766-R
OG0001863	Thhalv10006672m.g	Sdiv_ptg000014l_2467-R
OG0001863	Thhalv10018058m.g	Sdiv_ptg000002l_1262-R
OG0001865	Thhalv10011621m.g	Sdiv_ptg000003l_1453-R
OG0001865	Thhalv10028197m.g, Thhalv10029163m.g	Sdiv_ptg000009l_3029-R
OG0001866	Thhalv10006521m.g	Sdiv_ptg000014l_0012-R, Sdiv_ptg000003l_2945-R
OG0001867	Thhalv10028623m.g	Sdiv_ptg000010l_0059-R
OG0001868	Thhalv10029104m.g	Sdiv_ptg000010l_0060-R
OG0001868	Thhalv10009233m.g	Sdiv_ptg000003l_2898-R, Sdiv_ptg000014l_0059-R
OG0001869	Thhalv10020933m.g	Sdiv_ptg000001l_2174-R
OG0001869	Thhalv10014571m.g	Sdiv_ptg000009l_1075-R
OG0001870	Thhalv10012637m.g	Sdiv_ptg000009l_1266-R, Sdiv_ptg000010l_0293-R
OG0001871	Thhalv10015665m.g	Sdiv_ptg000010l_0326-R
OG0001871	Thhalv10019947m.g	Sdiv_ptg000013l_1868-R
OG0001872	Thhalv10015536m.g	Sdiv_ptg000009l_1302-R, Sdiv_ptg000010l_0333-R
OG0001872	Thhalv10015653m.g	Sdiv_ptg000009l_0760-R
OG0001873	Thhalv10014631m.g	Sdiv_ptg000009l_2818-R, Sdiv_ptg000015l_1207-R, Sdiv_ptg000010l_0466-R
OG0001874	Thhalv10012640m.g	Sdiv_ptg000009l_2805-R
OG0001875	Thhalv10010953m.g	Sdiv_ptg000015l_1230-R
OG0001875	Thhalv10015076m.g	Sdiv_ptg000010l_0505-R
OG0001876	Thhalv10027733m.g	Sdiv_ptg000004l_0268-R
OG0001876	Thhalv10013358m.g	Sdiv_ptg000009l_2768-R, Sdiv_ptg000010l_0519-R
OG0001877	Thhalv10016085m.g	Sdiv_ptg000009l_2760-R, Sdiv_ptg000010l_0525-R
