Orthogroup	C_amplexicaulis	E_salsugineum
OG0003445	Caamp.0040s0264, Caamp.0037s0233	Thhalv10012308m.g
OG0003446	Caamp.0040s0281, Caamp.0037s0254	Thhalv10011626m.g
OG0003447	Caamp.0040s0299, Caamp.0037s0268	Thhalv10011602m.g
OG0003448	Caamp.0037s0278	Thhalv10019766m.g
OG0003448	Caamp.0071s0263	Thhalv10027044m.g, Thhalv10027565m.g, Thhalv10009973m.g, Thhalv10010004m.g, Thhalv10009564m.g
OG0003449	Caamp.0004s0006, Caamp.0097s0372	Thhalv10011812m.g
OG0003450	Caamp.0008s0143, Caamp.0004s0247	Thhalv10001926m.g
OG0003451	Caamp.0044s0188	Thhalv10028189m.g
OG0003452	Caamp.0044s0294	Thhalv10014382m.g
OG0003453	Caamp.0044s0301, Caamp.0095s0155	Thhalv10024666m.g
OG0003454	Caamp.0095s0176, Caamp.0044s0324	Thhalv10024950m.g
OG0003455	Caamp.0006s0189	Thhalv10018685m.g
OG0003455	Caamp.0046s0545	Thhalv10009415m.g
OG0003456	Caamp.0097s0112, Caamp.0005s0056	Thhalv10002731m.g
OG0003457	Caamp.0097s0195, Caamp.0005s0127	Thhalv10002386m.g
OG0003458	Caamp.0005s0152, Caamp.0097s0216, Caamp.0097s0215, Caamp.0005s0151	Thhalv10002839m.g, Thhalv10002947m.g
OG0003459	Caamp.0005s0161, Caamp.0097s0222	Thhalv10002414m.g, Thhalv10002404m.g
OG0003460	Caamp.0005s0167	Thhalv10002906m.g
OG0003460	Caamp.0097s0227, Caamp.0005s0168	Thhalv10002850m.g
OG0003461	Caamp.0097s0254, Caamp.0005s0190, Caamp.0097s0255, Caamp.0005s0188	Thhalv10002974m.g, Thhalv10002769m.g
OG0003462	Caamp.0051s0028	Thhalv10017212m.g, Thhalv10017209m.g
OG0003463	Caamp.0057s0047	Thhalv10026940m.g
OG0003463	Caamp.0095s0153	Thhalv10019465m.g, Thhalv10024445m.g, Thhalv10011939m.g
OG0003464	Caamp.0064s0429, Caamp.0058s0130	Thhalv10003264m.g
OG0003465	Caamp.0064s0423, Caamp.0058s0137	Thhalv10003270m.g, Thhalv10012286m.g
OG0003466	Caamp.0058s0160, Caamp.0064s0398	Thhalv10003296m.g
OG0003467	Caamp.0058s0243, Caamp.0076s0532	Thhalv10003252m.g
OG0003468	Caamp.0076s0540, Caamp.0058s0253	Thhalv10003131m.g
OG0003469	Caamp.0097s0013, Caamp.0058s0275	Thhalv10002439m.g
OG0003470	Caamp.0006s0135	Thhalv10009601m.g, Thhalv10018295m.g
OG0003471	Caamp.0006s0141, Caamp.0064s0252	Thhalv10019514m.g
OG0003472	Caamp.0006s0185, Caamp.0064s0295, Caamp.0006s0184	Thhalv10018862m.g
OG0003473	Caamp.0076s0422, Caamp.0006s0300	Thhalv10019604m.g
OG0003474	Caamp.0006s0384, Caamp.0076s0337	Thhalv10018987m.g
OG0003475	Caamp.0076s0267, Caamp.0006s0451	Thhalv10018266m.g
OG0003476	Caamp.0006s0474, Caamp.0076s0248	Thhalv10018146m.g
OG0003477	Caamp.0006s0489, Caamp.0076s0230	Thhalv10018153m.g
OG0003478	Caamp.0076s0212, Caamp.0006s0509	Thhalv10019148m.g, Thhalv10008799m.g
OG0003479	Caamp.0006s0546, Caamp.0076s0178	Thhalv10018537m.g
OG0003481	Caamp.0076s0153, Caamp.0006s0576	Thhalv10018049m.g
OG0003482	Caamp.0076s0151, Caamp.0006s0578	Thhalv10019565m.g, Thhalv10019200m.g
OG0003483	Caamp.0064s0080, Caamp.0006s0639	Thhalv10018125m.g
OG0003484	Caamp.0006s0644, Caamp.0064s0073	Thhalv10018699m.g
OG0003485	Caamp.0064s0068, Caamp.0006s0652	Thhalv10017995m.g
OG0003486	Caamp.0064s0063	Thhalv10000387m.g, Thhalv10000653m.g
OG0003486	Caamp.0006s0657	Thhalv10018021m.g
OG0003487	Caamp.0064s0051, Caamp.0006s0672	Thhalv10008359m.g, Thhalv10018956m.g
OG0003488	Caamp.0076s0598, Caamp.0006s0734, Caamp.0084s0022	Thhalv10001067m.g, Thhalv10019800m.g
OG0003489	Caamp.0084s0083, Caamp.0006s0796	Thhalv10018234m.g
OG0003490	Caamp.0064s0221	Thhalv10023974m.g, Thhalv10024117m.g
OG0003492	Caamp.0064s0579, Caamp.0097s0358	Thhalv10011700m.g
OG0003493	Caamp.0097s0321, Caamp.0064s0621	Thhalv10011818m.g
OG0003494	Caamp.0095s0699, Caamp.0099s0040	Thhalv10010672m.g
OG0003494	Caamp.0064s0629	Thhalv10011761m.g
OG0003495	Caamp.0097s0312, Caamp.0064s0632	Thhalv10011899m.g
OG0003497	Caamp.0068s0018, Caamp.0097s0900	Thhalv10004315m.g, Thhalv10018708m.g
OG0003498	Caamp.0068s0034	Thhalv10028136m.g
OG0003499	Caamp.0097s0879, Caamp.0068s0038	Thhalv10028243m.g
OG0003500	Caamp.0068s0049, Caamp.0068s0047	Thhalv10028307m.g
OG0003501	Caamp.0007s0415	Thhalv10023377m.g
OG0003502	Caamp.0071s0060, Caamp.0097s1020, Caamp.0097s1025, Caamp.0097s1019, Caamp.0097s1021, Caamp.0097s1022	Thhalv10009527m.g
OG0003503	Caamp.0071s0070	Thhalv10009781m.g
OG0003503	Caamp.0071s0068	Thhalv10007827m.g
OG0003503	Caamp.0071s0067	Thhalv10007895m.g
OG0003504	Caamp.0072s0004	Thhalv10009678m.g
OG0003505	Caamp.0085s0061, Caamp.0076s0886	Thhalv10000819m.g
OG0003506	Caamp.0076s0923, Caamp.0085s0102	Thhalv10000761m.g
OG0003507	Caamp.0076s0932, Caamp.0085s0110	Thhalv10005076m.g
OG0003507	Caamp.0076s0931	Thhalv10005071m.g, Thhalv10005073m.g
OG0003508	Caamp.0085s0122, Caamp.0076s0945	Thhalv10004151m.g
OG0003509	Caamp.0076s0965, Caamp.0077s0006	Thhalv10004281m.g
OG0003510	Caamp.0077s0009, Caamp.0076s0968	Thhalv10005091m.g
OG0003511	Caamp.0077s0022, Caamp.0076s0986	Thhalv10003689m.g
OG0003512	Caamp.0076s0987, Caamp.0077s0023	Thhalv10005229m.g, Thhalv10005228m.g
OG0003513	Caamp.0077s0032, Caamp.0076s0997	Thhalv10004545m.g
OG0003515	Caamp.0076s1043, Caamp.0077s0075	Thhalv10005550m.g
OG0003516	Caamp.0076s1051, Caamp.0077s0084	Thhalv10003809m.g
OG0003517	Caamp.0076s1105	Thhalv10004443m.g
OG0003518	Caamp.0095s1074	Thhalv10010302m.g
OG0003518	Caamp.0078s0209	Thhalv10010279m.g
OG0003519	Caamp.0095s1007, Caamp.0078s0285	Thhalv10010065m.g
OG0003520	Caamp.0078s0304, Caamp.0095s0989	Thhalv10010361m.g
OG0003521	Caamp.0078s0312, Caamp.0095s0982	Thhalv10011112m.g, Thhalv10010390m.g
OG0003522	Caamp.0078s0402, Caamp.0095s0796	Thhalv10010203m.g
OG0003523	Caamp.0095s0804, Caamp.0078s0412	Thhalv10010575m.g
OG0003524	Caamp.0095s0806, Caamp.0078s0415	Thhalv10010165m.g
OG0003525	Caamp.0078s0456, Caamp.0095s0849	Thhalv10010251m.g
OG0003526	Caamp.0078s0504, Caamp.0095s0902	Thhalv10010633m.g, Thhalv10000999m.g, Thhalv10014972m.g, Thhalv10016118m.g
OG0003527	Caamp.0095s0919, Caamp.0078s0522	Thhalv10010317m.g
OG0003528	Caamp.0078s0540, Caamp.0095s0755	Thhalv10010244m.g
OG0003529	Caamp.0095s0749, Caamp.0078s0546	Thhalv10010436m.g
OG0003530	Caamp.0078s1104	Thhalv10023039m.g, Thhalv10028037m.g, Thhalv10023035m.g, Thhalv10023065m.g
OG0003531	Caamp.0078s1124, Caamp.0078s1125	Thhalv10019894m.g
OG0003532	Caamp.0095s1286, Caamp.0079s0017	Thhalv10001962m.g
OG0003533	Caamp.0079s0021, Caamp.0095s1308	Thhalv10001922m.g
OG0003534	Caamp.0095s1328, Caamp.0079s0040	Thhalv10001917m.g
OG0003535	Caamp.0095s1336, Caamp.0079s0049	Thhalv10001892m.g
OG0003536	Caamp.0079s0056, Caamp.0095s1344	Thhalv10001996m.g
OG0003537	Caamp.0095s1375, Caamp.0079s0092	Thhalv10002034m.g
OG0003538	Caamp.0095s1377, Caamp.0079s0094	Thhalv10003989m.g
OG0003539	Caamp.0008s0030, Caamp.0008s0034, Caamp.0008s0029, Caamp.0008s0031	Thhalv10001874m.g
OG0003540	Caamp.0008s0229	Thhalv10006491m.g
OG0003540	Caamp.0095s0574, Caamp.0095s0575	Thhalv10006191m.g, Thhalv10006189m.g
OG0003541	Caamp.0097s0994, Caamp.0089s0002	Thhalv10003457m.g
OG0003541	Caamp.0089s0001	Thhalv10003468m.g
OG0003542	Caamp.0090s0022, Caamp.0095s0041	Thhalv10025068m.g
OG0003543	Caamp.0095s0025, Caamp.0090s0039	Thhalv10026330m.g
OG0003544	Caamp.0090s0058, Caamp.0095s0004	Thhalv10026349m.g
OG0003545	Caamp.0093s0007, Caamp.0095s1306, Caamp.0095s1284	Thhalv10002010m.g
OG0003546	Caamp.0095s1274, Caamp.0093s0015	Thhalv10022672m.g
OG0003547	Caamp.0095s1261, Caamp.0093s0031	Thhalv10022522m.g
OG0003548	Caamp.0093s0045, Caamp.0095s1248	Thhalv10022602m.g
OG0003549	Caamp.0093s0053, Caamp.0095s1241	Thhalv10023125m.g, Thhalv10018192m.g
OG0003550	Caamp.0095s1230, Caamp.0093s0069	Thhalv10022562m.g, Thhalv10024453m.g
OG0003551	Caamp.0093s0073, Caamp.0095s1232	Thhalv10022720m.g
OG0003552	Caamp.0095s1200	Thhalv10023032m.g
OG0003552	Caamp.0093s0097	Thhalv10022741m.g
OG0003553	Caamp.0093s0112, Caamp.0097s0155	Thhalv10022871m.g
OG0003554	Caamp.0093s0133, Caamp.0095s1162	Thhalv10025533m.g
OG0003555	Caamp.0093s0170, Caamp.0095s1132	Thhalv10022521m.g
OG0003556	Caamp.0094s0029	Thhalv10025960m.g
OG0003557	Caamp.0094s0318	Thhalv10025194m.g
OG0003558	Caamp.0095s0104, Caamp.0097s0378	Thhalv10024765m.g, Thhalv10016473m.g
OG0003559	Caamp.0095s0128, Caamp.0097s0400	Thhalv10025212m.g
OG0003560	Caamp.0095s0599	Thhalv10028176m.g
OG0003561	Caamp.0099s0105, Caamp.0095s0633	Thhalv10006268m.g
OG0003562	Caamp.0095s0657, Caamp.0099s0082	Thhalv10005845m.g
OG0003563	Caamp.0099s0058, Caamp.0095s0680	Thhalv10010910m.g, Thhalv10005331m.g, Thhalv10006375m.g, Thhalv10006480m.g
OG0003564	Caamp.0099s0051, Caamp.0095s0688	Thhalv10011136m.g
OG0003564	Caamp.0099s0052	Thhalv10010354m.g
OG0003565	Caamp.0095s1193	Thhalv10022955m.g
OG0003566	Caamp.0097s0130	Thhalv10027192m.g, Thhalv10029216m.g, Thhalv10023889m.g, Thhalv10002913m.g, Thhalv10002180m.g, Thhalv10029510m.g, Thhalv10029245m.g, Thhalv10003082m.g
OG0003567	Caamp.0097s0377	Thhalv10025426m.g, Thhalv10027271m.g, Thhalv10027220m.g, Thhalv10026937m.g, Thhalv10026841m.g
OG0003568	Caamp.0097s0463, Caamp.0097s0803	Thhalv10027854m.g
OG0003569	Caamp.0097s0798	Thhalv10028080m.g, Thhalv10027876m.g
OG0003569	Caamp.0097s0800	Thhalv10028303m.g
OG0003570	Caamp.0097s0816	Thhalv10028316m.g, Thhalv10028060m.g, Thhalv10028114m.g, Thhalv10017979m.g
OG0003571	Caamp.0097s0945	Thhalv10024348m.g
OG0003600	Caamp.0001s0006, Caamp.0076s0829	Thhalv10000938m.g
OG0003601	Caamp.0001s0009, Caamp.0076s0826	Thhalv10001019m.g
OG0003602	Caamp.0076s0824, Caamp.0001s0010	Thhalv10000892m.g
OG0003603	Caamp.0001s0011, Caamp.0076s0822	Thhalv10000871m.g
OG0003604	Caamp.0076s0816, Caamp.0001s0018	Thhalv10000898m.g
OG0003605	Caamp.0076s0813, Caamp.0001s0021	Thhalv10000767m.g
OG0003606	Caamp.0076s0812, Caamp.0001s0022	Thhalv10001028m.g
OG0003607	Caamp.0076s0811, Caamp.0001s0023	Thhalv10000740m.g
OG0003608	Caamp.0001s0024, Caamp.0076s0810	Thhalv10000743m.g
OG0003609	Caamp.0001s0051, Caamp.0076s0790	Thhalv10000790m.g
OG0003610	Caamp.0076s0788, Caamp.0001s0053	Thhalv10001053m.g
OG0003611	Caamp.0001s0054, Caamp.0076s0787	Thhalv10001013m.g
OG0003612	Caamp.0076s0782, Caamp.0001s0060	Thhalv10000887m.g
OG0003613	Caamp.0001s0083, Caamp.0076s0755	Thhalv10000847m.g
OG0003614	Caamp.0076s0746, Caamp.0001s0093, Caamp.0001s0096	Thhalv10000786m.g
OG0003615	Caamp.0076s0747, Caamp.0001s0095	Thhalv10000874m.g
OG0003616	Caamp.0076s0745, Caamp.0001s0097	Thhalv10000879m.g
OG0003617	Caamp.0076s0739, Caamp.0001s0101	Thhalv10000782m.g
OG0003618	Caamp.0076s0734, Caamp.0001s0106	Thhalv10008890m.g
OG0003619	Caamp.0076s0727, Caamp.0001s0114	Thhalv10000755m.g
OG0003620	Caamp.0001s0119, Caamp.0076s0724	Thhalv10001045m.g
OG0003621	Caamp.0076s0712, Caamp.0001s0133	Thhalv10000802m.g
OG0003622	Caamp.0076s0694, Caamp.0001s0151	Thhalv10000937m.g
OG0003623	Caamp.0076s0692, Caamp.0001s0153	Thhalv10000784m.g
OG0003624	Caamp.0001s0156, Caamp.0076s0687	Thhalv10000816m.g
OG0003625	Caamp.0076s0685, Caamp.0001s0159	Thhalv10001052m.g
OG0003626	Caamp.0076s0673, Caamp.0001s0163	Thhalv10000881m.g
OG0003627	Caamp.0001s0167, Caamp.0076s0668	Thhalv10000944m.g
OG0003628	Caamp.0076s0662, Caamp.0001s0173	Thhalv10000876m.g
OG0003629	Caamp.0001s0174, Caamp.0076s0661	Thhalv10000836m.g
OG0003630	Caamp.0001s0182, Caamp.0076s0657	Thhalv10001222m.g
OG0003631	Caamp.0001s0185, Caamp.0076s0654	Thhalv10001147m.g, Thhalv10001145m.g
OG0003632	Caamp.0001s0193, Caamp.0076s0648	Thhalv10000834m.g
OG0003633	Caamp.0001s0194, Caamp.0076s0647	Thhalv10000927m.g
OG0003634	Caamp.0076s0626, Caamp.0001s0207, Caamp.0018s0077, Caamp.0076s0625	Thhalv10001735m.g
OG0003635	Caamp.0001s0217, Caamp.0076s0610	Thhalv10000738m.g
OG0003636	Caamp.0076s0609, Caamp.0001s0218	Thhalv10000758m.g
OG0003637	Caamp.0026s0675, Caamp.0076s0597, Caamp.0001s0258, Caamp.0001s0227	Thhalv10029514m.g, Thhalv10029430m.g
OG0003638	Caamp.0076s0590, Caamp.0001s0232	Thhalv10000855m.g
OG0003639	Caamp.0076s0589, Caamp.0001s0233	Thhalv10000939m.g
OG0003641	Caamp.0001s0246	Thhalv10001085m.g
OG0003641	Caamp.0001s0245	Thhalv10001088m.g
OG0003642	Caamp.0001s0268, Caamp.0061s0034	Thhalv10026599m.g
OG0003643	Caamp.0061s0056, Caamp.0001s0295	Thhalv10025298m.g
OG0003644	Caamp.0061s0058, Caamp.0001s0297	Thhalv10024713m.g
OG0003646	Caamp.0061s0068, Caamp.0001s0309	Thhalv10026222m.g
OG0003647	Caamp.0001s0316, Caamp.0107s0009	Thhalv10026673m.g
OG0003648	Caamp.0001s0337, Caamp.0012s0113	Thhalv10026812m.g
OG0003649	Caamp.0058s0025, Caamp.0001s0348	Thhalv10026516m.g
OG0003650	Caamp.0010s0016, Caamp.0041s0003	Thhalv10001248m.g
OG0003651	Caamp.0010s0030, Caamp.0105s0829	Thhalv10013672m.g
OG0003652	Caamp.0008s0133, Caamp.0010s0037, Caamp.1040s1103	Thhalv10002006m.g, Thhalv10002003m.g
OG0003653	Caamp.0008s0126, Caamp.0010s0047	Thhalv10001895m.g
OG0003654	Caamp.0010s0063, Caamp.0008s0109	Thhalv10000253m.g
OG0003655	Caamp.1039s0438, Caamp.0010s0078	Thhalv10000083m.g
OG0003656	Caamp.0010s0094, Caamp.1039s0428	Thhalv10000457m.g
OG0003657	Caamp.0010s0103, Caamp.1039s0413	Thhalv10000070m.g
OG0003658	Caamp.0010s0106, Caamp.1039s0406	Thhalv10000009m.g
OG0003659	Caamp.0010s0124, Caamp.1039s0350	Thhalv10000113m.g
OG0003660	Caamp.0010s0132, Caamp.1039s0363	Thhalv10000120m.g
OG0003661	Caamp.1039s0374, Caamp.0010s0135	Thhalv10000020m.g
OG0003662	Caamp.1039s0380, Caamp.0010s0141	Thhalv10000317m.g
OG0003663	Caamp.0010s0146, Caamp.1039s0345	Thhalv10000258m.g
OG0003664	Caamp.0010s0164, Caamp.1039s0319	Thhalv10000300m.g, Thhalv10029499m.g
OG0003665	Caamp.0018s0095	Thhalv10001535m.g, Thhalv10009727m.g, Thhalv10009395m.g
OG0003665	Caamp.0010s0168	Thhalv10000704m.g
OG0003666	Caamp.0010s0176, Caamp.1039s0299	Thhalv10000173m.g
OG0003667	Caamp.0010s0179	Thhalv10000361m.g
OG0003667	Caamp.0094s0735	Thhalv10026383m.g
OG0003668	Caamp.0010s0180, Caamp.1039s0295, Caamp.0010s0223	Thhalv10000601m.g, Thhalv10024004m.g, Thhalv10026802m.g, Thhalv10027211m.g, Thhalv10027458m.g
OG0003669	Caamp.0010s0181, Caamp.1039s0294	Thhalv10000051m.g
OG0003670	Caamp.0010s0189, Caamp.1035s0008	Thhalv10005473m.g, Thhalv10022133m.g
OG0003671	Caamp.0010s0199, Caamp.1039s0275	Thhalv10000165m.g
OG0003672	Caamp.0010s0206, Caamp.1039s0271	Thhalv10000127m.g
OG0003673	Caamp.1039s0265, Caamp.0010s0210	Thhalv10000280m.g
OG0003674	Caamp.1039s0259, Caamp.0010s0218	Thhalv10000362m.g
OG0003675	Caamp.0010s0224, Caamp.1039s0255	Thhalv10000343m.g
OG0003676	Caamp.1039s0214, Caamp.0010s0269	Thhalv10000066m.g
OG0003677	Caamp.1039s0204, Caamp.0007s0394, Caamp.0010s0277	Thhalv10000354m.g
OG0003678	Caamp.1039s0200	Thhalv10019536m.g
OG0003678	Caamp.0010s0287	Thhalv10000628m.g, Thhalv10000610m.g, Thhalv10000519m.g, Thhalv10002366m.g
OG0003679	Caamp.0010s0321, Caamp.0012s0125	Thhalv10026242m.g
OG0003680	Caamp.0010s0338	Thhalv10002891m.g, Thhalv10012167m.g, Thhalv10012220m.g, Thhalv10012381m.g, Thhalv10012393m.g, Thhalv10012001m.g
OG0003681	Caamp.0101s0005, Caamp.0013s0019	Thhalv10017379m.g
OG0003682	Caamp.0101s0006, Caamp.0013s0020	Thhalv10016340m.g
OG0003683	Caamp.0013s0024, Caamp.0101s0009	Thhalv10016642m.g
OG0003684	Caamp.0013s0030, Caamp.0101s0014	Thhalv10016643m.g
OG0003685	Caamp.0013s0040, Caamp.0101s0022	Thhalv10017181m.g
OG0003686	Caamp.0013s0043, Caamp.0101s0025	Thhalv10017086m.g
OG0003687	Caamp.0013s0050, Caamp.0101s0031	Thhalv10016147m.g
OG0003688	Caamp.0013s0055, Caamp.0101s0036	Thhalv10017810m.g
OG0003689	Caamp.0101s0038, Caamp.0013s0057	Thhalv10016626m.g
OG0003690	Caamp.0013s0059, Caamp.0101s0040	Thhalv10016255m.g
OG0003691	Caamp.0101s0041, Caamp.0013s0060	Thhalv10017032m.g
OG0003692	Caamp.0101s0042, Caamp.0013s0061	Thhalv10017165m.g
OG0003693	Caamp.0013s0070, Caamp.0101s0046	Thhalv10016347m.g
OG0003694	Caamp.0101s0050, Caamp.0013s0076	Thhalv10017443m.g
OG0003695	Caamp.0013s0078, Caamp.0101s0052	Thhalv10016386m.g
OG0003696	Caamp.0101s0053, Caamp.0013s0079	Thhalv10016679m.g
OG0003697	Caamp.0013s0081, Caamp.0101s0055	Thhalv10016277m.g
OG0003698	Caamp.0013s0082, Caamp.0101s0056	Thhalv10016329m.g
OG0003699	Caamp.0101s0066, Caamp.0013s0096	Thhalv10016207m.g
OG0003700	Caamp.0101s0069, Caamp.0097s0697	Thhalv10016842m.g
OG0003701	Caamp.0097s0703, Caamp.0101s0074	Thhalv10016498m.g
OG0003702	Caamp.0101s0075, Caamp.0097s0704	Thhalv10017900m.g
OG0003703	Caamp.0097s0710, Caamp.0101s0085	Thhalv10016590m.g
OG0003704	Caamp.0101s0086, Caamp.0097s0712	Thhalv10016313m.g
OG0003705	Caamp.0097s0714, Caamp.0101s0087	Thhalv10017447m.g
OG0003706	Caamp.0097s0717, Caamp.0101s0089	Thhalv10016532m.g
OG0003707	Caamp.0101s0094, Caamp.0097s0723	Thhalv10016236m.g
OG0003708	Caamp.0097s0736, Caamp.0101s0105	Thhalv10016327m.g
OG0003709	Caamp.0097s0743, Caamp.0101s0112	Thhalv10017323m.g
OG0003710	Caamp.0101s0120, Caamp.0080s0012	Thhalv10002111m.g
OG0003711	Caamp.0026s0233, Caamp.0101s0131	Thhalv10002649m.g
OG0003712	Caamp.0101s0134, Caamp.0026s0239	Thhalv10002410m.g
OG0003713	Caamp.0064s0513, Caamp.0101s0137	Thhalv10002520m.g
OG0003714	Caamp.0101s0138, Caamp.0064s0512	Thhalv10002483m.g
OG0003715	Caamp.0048s0008, Caamp.0101s0169	Thhalv10002656m.g
OG0003716	Caamp.0048s0013, Caamp.0101s0173	Thhalv10002626m.g
OG0003717	Caamp.1031s0291, Caamp.0102s0002	Thhalv10016509m.g
OG0003718	Caamp.0102s0028, Caamp.1031s0254	Thhalv10016665m.g, Thhalv10017965m.g
OG0003719	Caamp.0102s0043, Caamp.1031s0241	Thhalv10016400m.g
OG0003720	Caamp.1031s0222	Thhalv10027610m.g
OG0003720	Caamp.0102s0063	Thhalv10016416m.g
OG0003721	Caamp.1031s0242	Thhalv10003384m.g
OG0003721	Caamp.0102s0080, Caamp.1031s0200	Thhalv10017517m.g
OG0003722	Caamp.0102s0121, Caamp.1031s0157	Thhalv10016968m.g
OG0003723	Caamp.1031s0156, Caamp.0102s0123	Thhalv10016307m.g
OG0003724	Caamp.1031s0155, Caamp.0102s0124	Thhalv10016987m.g
OG0003725	Caamp.1031s0139, Caamp.0102s0136	Thhalv10017916m.g
OG0003726	Caamp.0102s0139, Caamp.1031s0136	Thhalv10016926m.g
OG0003727	Caamp.1031s0567, Caamp.0102s0153, Caamp.0076s1406	Thhalv10001711m.g
OG0003728	Caamp.0102s0183, Caamp.1031s0102	Thhalv10016709m.g
OG0003729	Caamp.1031s0100, Caamp.0102s0185	Thhalv10016387m.g
OG0003730	Caamp.0102s0201, Caamp.1031s0085	Thhalv10016251m.g
OG0003731	Caamp.0102s0217, Caamp.1031s0065	Thhalv10017727m.g
OG0003732	Caamp.0102s0230, Caamp.1031s0050	Thhalv10017516m.g
OG0003733	Caamp.0102s0235, Caamp.1031s0045	Thhalv10016566m.g
OG0003734	Caamp.0102s0238, Caamp.1031s0041	Thhalv10016460m.g
OG0003735	Caamp.0102s0245, Caamp.1031s0035	Thhalv10016232m.g
OG0003736	Caamp.1031s0016, Caamp.0102s0266	Thhalv10017859m.g
OG0003737	Caamp.1031s0004, Caamp.0102s0281	Thhalv10016206m.g
OG0003738	Caamp.0102s0293, Caamp.0105s0773	Thhalv10017729m.g
OG0003739	Caamp.0105s0769, Caamp.0102s0296	Thhalv10016645m.g
OG0003740	Caamp.0105s0767, Caamp.0102s0298	Thhalv10017427m.g, Thhalv10022483m.g
OG0003741	Caamp.0102s0313, Caamp.0105s0750	Thhalv10017215m.g
OG0003742	Caamp.0102s0314, Caamp.0105s0749	Thhalv10017513m.g
OG0003743	Caamp.0102s0328, Caamp.0105s0734	Thhalv10017031m.g
OG0003744	Caamp.0102s0330, Caamp.0105s0732	Thhalv10017966m.g
OG0003745	Caamp.0105s0718, Caamp.0102s0345	Thhalv10016431m.g
OG0003746	Caamp.0102s0348, Caamp.0105s0715	Thhalv10016198m.g
OG0003747	Caamp.0105s0707, Caamp.0102s0356	Thhalv10016472m.g
OG0003748	Caamp.0102s0359, Caamp.0105s0704	Thhalv10016298m.g
OG0003749	Caamp.0102s0360, Caamp.0105s0703	Thhalv10016734m.g
OG0003750	Caamp.0105s0694, Caamp.0102s0369	Thhalv10016912m.g
OG0003751	Caamp.0105s0683, Caamp.0102s0377	Thhalv10016833m.g
OG0003752	Caamp.0102s0379, Caamp.0105s0681	Thhalv10016173m.g
OG0003753	Caamp.0105s0669, Caamp.0102s0395, Caamp.0102s0394	Thhalv10027102m.g
OG0003754	Caamp.0102s0399, Caamp.0105s0665, Caamp.0015s0067	Thhalv10016259m.g
OG0003755	Caamp.0105s0664, Caamp.0102s0400	Thhalv10016937m.g
OG0003756	Caamp.0102s0413, Caamp.0105s0651	Thhalv10016755m.g
OG0003757	Caamp.0105s0634, Caamp.0102s0431	Thhalv10016176m.g
OG0003758	Caamp.0102s0432, Caamp.0105s0633	Thhalv10016415m.g
OG0003759	Caamp.0102s0441, Caamp.0105s0624	Thhalv10017156m.g
OG0003760	Caamp.0095s0973, Caamp.0102s0443, Caamp.0105s0622	Thhalv10017772m.g
OG0003761	Caamp.0105s0621, Caamp.0102s0444	Thhalv10017124m.g
OG0003762	Caamp.0102s0448, Caamp.0105s0615	Thhalv10016349m.g
OG0003763	Caamp.0105s0607, Caamp.0102s0458	Thhalv10016656m.g
OG0003764	Caamp.0102s0465, Caamp.0105s0603	Thhalv10016258m.g
OG0003765	Caamp.0105s0598, Caamp.0102s0469	Thhalv10017498m.g
OG0003766	Caamp.0095s0120, Caamp.0102s0473, Caamp.0105s0592	Thhalv10016563m.g
OG0003767	Caamp.0105s0588, Caamp.0102s0484	Thhalv10016124m.g
OG0003768	Caamp.0102s0490, Caamp.0105s0582	Thhalv10016906m.g
OG0003769	Caamp.0102s0495, Caamp.0105s0572	Thhalv10016768m.g
OG0003770	Caamp.0105s0570, Caamp.0102s0499	Thhalv10017330m.g
OG0003771	Caamp.1037s0386, Caamp.0102s0529, Caamp.0105s0540	Thhalv10017361m.g
OG0003772	Caamp.0102s0530, Caamp.0105s0539	Thhalv10016146m.g
OG0003773	Caamp.0102s0531, Caamp.0105s0538	Thhalv10016654m.g
OG0003774	Caamp.0105s0535, Caamp.0102s0533	Thhalv10016154m.g
OG0003775	Caamp.0102s0542, Caamp.0105s0524	Thhalv10016297m.g
OG0003776	Caamp.0102s0550, Caamp.0105s0517	Thhalv10016753m.g
OG0003777	Caamp.0102s0553	Thhalv10017283m.g
OG0003777	Caamp.0105s0513	Thhalv10012349m.g
OG0003778	Caamp.0105s0497, Caamp.0102s0571	Thhalv10016130m.g
OG0003779	Caamp.0102s0572, Caamp.0105s0496	Thhalv10016345m.g
OG0003780	Caamp.0105s0459, Caamp.0102s0601	Thhalv10017404m.g
OG0003781	Caamp.0102s0603, Caamp.0105s0457	Thhalv10017387m.g
OG0003782	Caamp.0102s0606, Caamp.0105s0454	Thhalv10016919m.g
OG0003783	Caamp.0102s0612, Caamp.0105s0450	Thhalv10017163m.g
OG0003784	Caamp.0102s0617, Caamp.0105s0445	Thhalv10016256m.g
OG0003785	Caamp.0102s0626, Caamp.0105s0436	Thhalv10016466m.g
OG0003786	Caamp.0102s0628, Caamp.0105s0434	Thhalv10016396m.g
OG0003787	Caamp.0105s0427, Caamp.0102s0631	Thhalv10016784m.g
OG0003788	Caamp.0105s0421, Caamp.0102s0638	Thhalv10017477m.g
OG0003789	Caamp.0105s0420, Caamp.0102s0639	Thhalv10017314m.g
OG0003790	Caamp.0102s0640, Caamp.0105s0419	Thhalv10016429m.g
OG0003791	Caamp.0105s0415, Caamp.0102s0643	Thhalv10005174m.g
