Orthogroup	S_pinnata	S_diversifolius
OG0001691	Stapi.4517s0004, Stapi.1208s0013	Sdiv_ptg000009l_0958-R
OG0001691	Stapi.4517s0003	Sdiv_ptg000009l_0959-R
OG0001692	Stapi.1846s0002, Stapi.14940s0001, Stapi.0731s0002, Stapi.3154s0002, Stapi.0197s0014, Stapi.3123s0002	Sdiv_ptg000012l_1381-R
OG0001694	Stapi.1290s0003	Sdiv_ptg000004l_0680-R
OG0001694	Stapi.3458s0004	Sdiv_ptg000005l_0382-R
OG0001694	Stapi.1290s0006	Sdiv_ptg000004l_0681-R
OG0001696	Stapi.10387s0001	Sdiv_ptg000005l_1815-R
OG0001697	Stapi.1640s0003	Sdiv_ptg000015l_1298-R, Sdiv_ptg000015l_1297-R
OG0001711	Stapi.3792s0003	Sdiv_ptg000007l_0808-R
OG0001714	Stapi.1616s0005	Sdiv_ptg000022l_1058-R
OG0001715	Stapi.1085s0010	Sdiv_ptg000012l_1531-R
OG0001717	Stapi.0545s0002, Stapi.0282s0011	Sdiv_ptg000004l_0470-R
OG0001721	Stapi.2795s0003	Sdiv_ptg000009l_1324-R
OG0001722	Stapi.2774s0002	Sdiv_ptg000008l_0308-R
OG0001724	Stapi.1938s0003, Stapi.4410s0005	Sdiv_ptg000022l_0250-R
OG0001725	Stapi.5131s0004	Sdiv_ptg000022l_0235-R, Sdiv_ptg000008l_0247-R
OG0001726	Stapi.12295s0002	Sdiv_ptg000004l_1774-R
OG0001727	Stapi.8440s0001	Sdiv_ptg000005l_1462-R
OG0001728	Stapi.5449s0002, Stapi.5129s0002, Stapi.3406s0002	Sdiv_ptg000008l_0190-R, Sdiv_ptg000022l_0185-R
OG0001732	Stapi.0043s0013	Sdiv_ptg000022l_0567-R, Sdiv_ptg000008l_0530-R
OG0001733	Stapi.0092s0007	Sdiv_ptg000013l_0544-R
OG0001733	Stapi.0893s0002	Sdiv_ptg000012l_1949-R
OG0001734	Stapi.0081s0014	Sdiv_ptg000004l_0342-R
OG0001734	Stapi.0224s0004	Sdiv_ptg000005l_0072-R
OG0001738	Stapi.4648s0002, Stapi.4648s0001, Stapi.1540s0001	Sdiv_ptg000022l_1415-R
OG0001738	Stapi.4072s0005	Sdiv_ptg000008l_1313-R
OG0001739	Stapi.4342s0003	Sdiv_ptg000002l_0295-R
OG0001740	Stapi.0831s0008	Sdiv_ptg000015l_1807-R
OG0001741	Stapi.7041s0003	Sdiv_ptg000022l_1332-R
OG0001742	Stapi.0345s0017, Stapi.0210s0024, Stapi.0789s0019, Stapi.0420s0006, Stapi.1708s0005	Sdiv_ptg000008l_1152-R, Sdiv_ptg000022l_1234-R
OG0001743	Stapi.7970s0002	Sdiv_ptg000022l_1227-R
OG0001743	Stapi.3826s0005	Sdiv_ptg000015l_1749-R
OG0001744	Stapi.1752s0007, Stapi.1071s0016	Sdiv_ptg000022l_1175-R
OG0001745	Stapi.8532s0001	Sdiv_ptg000014l_2090-R, Sdiv_ptg000003l_1108-R
OG0001746	Stapi.6317s0002	Sdiv_ptg000015l_2200-R, Sdiv_ptg000016l_0097-R
OG0001747	Stapi.5742s0003	Sdiv_ptg000008l_0992-R
OG0001747	Stapi.10332s0002	Sdiv_ptg000022l_0060-R
OG0001748	Stapi.3183s0005	Sdiv_ptg000003l_0921-R
OG0001749	Stapi.16255s0001	Sdiv_ptg000003l_0904-R
OG0001750	Stapi.2142s0002	Sdiv_ptg000009l_1612-R
OG0001750	Stapi.0918s0004, Stapi.16209s0001	Sdiv_ptg000010l_1634-R
OG0001751	Stapi.0496s0003	Sdiv_ptg000009l_1660-R
OG0001752	Stapi.1271s0007	Sdiv_ptg000009l_1677-R
OG0001753	Stapi.0290s0010	Sdiv_ptg000009l_1669-R
OG0001753	Stapi.7716s0001	Sdiv_ptg000004l_1222-R
OG0001754	Stapi.2683s0008, Stapi.0043s0018, Stapi.2960s0005	Sdiv_ptg000010l_1576-R
OG0001755	Stapi.9757s0001	Sdiv_ptg000007l_0084-R
OG0001757	Stapi.0161s0034	Sdiv_ptg000014l_2013-R
OG0001762	Stapi.0751s0007, Stapi.0488s0011	Sdiv_ptg000009l_1833-R
OG0001762	Stapi.0184s0012	Sdiv_ptg000010l_1453-R
OG0001763	Stapi.15412s0001	Sdiv_ptg000005l_2025-R
OG0001766	Stapi.23903s0001, Stapi.23044s0001	Sdiv_ptg000022l_0065-R
OG0001767	Stapi.7188s0002	Sdiv_ptg000008l_0101-R
OG0001768	Stapi.3491s0001	Sdiv_ptg000008l_0103-R
OG0001770	Stapi.9169s0001	Sdiv_ptg000002l_0230-R
OG0001771	Stapi.3562s0001	Sdiv_ptg000015l_1914-R
OG0001775	Stapi.10339s0001, Stapi.1150s0008	Sdiv_ptg000015l_2122-R, Sdiv_ptg000016l_0024-R
OG0001776	Stapi.7905s0002, Stapi.4482s0002	Sdiv_ptg000022l_1741-R
OG0001777	Stapi.0741s0022	Sdiv_ptg000016l_0075-R
OG0001778	Stapi.4235s0004	Sdiv_ptg000015l_2184-R
OG0001780	Stapi.16501s0001	Sdiv_ptg000016l_0089-R
OG0001784	Stapi.0390s0002	Sdiv_ptg000014l_0952-R
OG0001785	Stapi.25009s0001	Sdiv_ptg000022l_1905-R
OG0001787	Stapi.0155s0043	Sdiv_ptg000010l_1540-R
OG0001788	Stapi.7469s0002	Sdiv_ptg000018l_0049-R, Sdiv_ptg000022l_2001-R
OG0001790	Stapi.20555s0001	Sdiv_ptg000016l_0263-R
OG0001792	Stapi.10077s0001	Sdiv_ptg000015l_0240-R
OG0001794	Stapi.7111s0001	Sdiv_ptg000003l_0527-R
OG0001795	Stapi.6927s0001, Stapi.10984s0001, Stapi.0725s0016, Stapi.1292s0007, Stapi.25020s0001	Sdiv_ptg000003l_0555-R, Sdiv_ptg000014l_2652-R
OG0001796	Stapi.3910s0009	Sdiv_ptg000003l_0584-R
OG0001797	Stapi.0244s0014	Sdiv_ptg000002l_1453-R
OG0001799	Stapi.3958s0003	Sdiv_ptg000015l_0726-R, Sdiv_ptg000003l_0599-R
OG0001800	Stapi.1294s0010	Sdiv_ptg000002l_1410-R
OG0001802	Stapi.2387s0003, Stapi.4074s0004	Sdiv_ptg000014l_2512-R, Sdiv_ptg000003l_0686-R
OG0001804	Stapi.1502s0004, Stapi.5540s0002	Sdiv_ptg000015l_0911-R
OG0001806	Stapi.5261s0001	Sdiv_ptg000014l_2403-R
OG0001809	Stapi.1078s0020, Stapi.1701s0012	Sdiv_ptg000014l_2348-R
OG0001813	Stapi.0949s0001	Sdiv_ptg000012l_2009-R
OG0001813	Stapi.1364s0007, Stapi.0045s0044	Sdiv_ptg000003l_1097-R
OG0001814	Stapi.15087s0001	Sdiv_ptg000009l_0190-R
OG0001815	Stapi.8402s0001	Sdiv_ptg000014l_1970-R
OG0001816	Stapi.13065s0001, Stapi.0531s0012	Sdiv_ptg000003l_1318-R
OG0001817	Stapi.0692s0001	Sdiv_ptg000002l_0594-R
OG0001819	Stapi.16152s0001, Stapi.16319s0001, Stapi.2745s0006	Sdiv_ptg000007l_2023-R
OG0001820	Stapi.1079s0005, Stapi.3744s0005	Sdiv_ptg000010l_2301-R
OG0001821	Stapi.4047s0002	Sdiv_ptg000010l_2306-R
OG0001822	Stapi.10708s0004	Sdiv_ptg000012l_0201-R, Sdiv_ptg000007l_1970-R, Sdiv_ptg000002l_1955-R
OG0001823	Stapi.21903s0001	Sdiv_ptg000010l_2335-R
OG0001824	Stapi.3718s0006, Stapi.16185s0001	Sdiv_ptg000012l_0267-R
OG0001824	Stapi.2884s0009, Stapi.24328s0001, Stapi.2884s0010	Sdiv_ptg000007l_1923-R
OG0001825	Stapi.9964s0003, Stapi.2915s0004	Sdiv_ptg000009l_0562-R
OG0001825	Stapi.10820s0002	Sdiv_ptg000007l_1911-R
OG0001826	Stapi.0244s0028	Sdiv_ptg000015l_0689-R
OG0001826	Stapi.4165s0005	Sdiv_ptg000012l_0305-R
OG0001827	Stapi.2151s0002	Sdiv_ptg000015l_1448-R
OG0001828	Stapi.0512s0009	Sdiv_ptg000002l_0734-R
OG0001828	Stapi.2641s0003	Sdiv_ptg000015l_1399-R
OG0001829	Stapi.4476s0007	Sdiv_ptg000007l_1779-R
OG0001830	Stapi.3009s0003	Sdiv_ptg000010l_2461-R
OG0001831	Stapi.1990s0010	Sdiv_ptg000009l_0460-R
OG0001831	Stapi.6602s0001	Sdiv_ptg000010l_2456-R
OG0001832	Stapi.1872s0002	Sdiv_ptg000012l_0473-R
OG0001832	Stapi.5283s0001	Sdiv_ptg000010l_2449-R, Sdiv_ptg000009l_0468-R
OG0001833	Stapi.4610s0007	Sdiv_ptg000007l_1655-R
OG0001834	Stapi.3046s0007	Sdiv_ptg000010l_2421-R
OG0001835	Stapi.5391s0004	Sdiv_ptg000007l_1569-R
OG0001835	Stapi.0931s0005	Sdiv_ptg000012l_0636-R
OG0001836	Stapi.2931s0001	Sdiv_ptg000010l_2240-R
OG0001836	Stapi.3955s0004, Stapi.0579s0006	Sdiv_ptg000012l_0652-R
OG0001839	Stapi.1647s0014	Sdiv_ptg000012l_0765-R
OG0001840	Stapi.2426s0007	Sdiv_ptg000001l_1901-R
OG0001841	Stapi.1614s0006	Sdiv_ptg000007l_1343-R
OG0001843	Stapi.1879s0004	Sdiv_ptg000007l_1213-R
OG0001844	Stapi.4956s0004	Sdiv_ptg000007l_1202-R
OG0001846	Stapi.2883s0007	Sdiv_ptg000012l_1051-R
OG0001847	Stapi.9463s0001	Sdiv_ptg000004l_0105-R
OG0001848	Stapi.2434s0014	Sdiv_ptg000012l_1091-R
OG0001849	Stapi.9652s0001, Stapi.9923s0002	Sdiv_ptg000012l_1137-R
OG0001850	Stapi.1870s0001, Stapi.1829s0005, Stapi.1406s0001, Stapi.10729s0002, Stapi.6567s0001, Stapi.0280s0017	Sdiv_ptg000012l_1160-R
OG0001852	Stapi.0989s0011	Sdiv_ptg000003l_2849-R
OG0001853	Stapi.5512s0001	Sdiv_ptg000010l_1813-R
OG0001853	Stapi.1163s0004	Sdiv_ptg000009l_1429-R
OG0001855	Stapi.5071s0002	Sdiv_ptg000009l_1128-R, Sdiv_ptg000010l_0177-R
OG0001856	Stapi.0868s0009, Stapi.1544s0022, Stapi.8164s0001	Sdiv_ptg000010l_0171-R
OG0001857	Stapi.31599s0002, Stapi.21284s0001	Sdiv_ptg000013l_2080-R, Sdiv_ptg000001l_2170-R
OG0001859	Stapi.0702s0001	Sdiv_ptg000009l_1045-R, Sdiv_ptg000013l_2102-R
OG0001861	Stapi.1260s0014	Sdiv_ptg000002l_1428-R
OG0001861	Stapi.1300s0004	Sdiv_ptg000015l_0720-R
OG0001862	Stapi.2332s0005, Stapi.2217s0001	Sdiv_ptg000002l_1380-R
OG0001862	Stapi.3424s0002	Sdiv_ptg000015l_0766-R
OG0001863	Stapi.10731s0001, Stapi.1042s0004	Sdiv_ptg000014l_2467-R
OG0001863	Stapi.3020s0005	Sdiv_ptg000002l_1262-R
OG0001865	Stapi.9530s0002	Sdiv_ptg000009l_3029-R
OG0001866	Stapi.7680s0002	Sdiv_ptg000003l_2945-R
OG0001869	Stapi.10840s0001	Sdiv_ptg000001l_2174-R
OG0001869	Stapi.3938s0002	Sdiv_ptg000009l_1075-R
OG0001870	Stapi.5757s0001	Sdiv_ptg000010l_0293-R
OG0001871	Stapi.1004s0010	Sdiv_ptg000010l_0326-R
OG0001872	Stapi.1004s0001	Sdiv_ptg000009l_1302-R, Sdiv_ptg000010l_0333-R, Sdiv_ptg000009l_0760-R
OG0001873	Stapi.3266s0006	Sdiv_ptg000009l_2818-R, Sdiv_ptg000015l_1207-R, Sdiv_ptg000010l_0466-R
OG0001874	Stapi.0103s0009, Stapi.0045s0026, Stapi.0023s0033, Stapi.0103s0010, Stapi.11043s0001, Stapi.8715s0001	Sdiv_ptg000009l_2805-R
OG0001875	Stapi.3145s0002, Stapi.5512s0004	Sdiv_ptg000015l_1230-R
OG0001876	Stapi.0599s0010	Sdiv_ptg000004l_0268-R
OG0001878	Stapi.2499s0001	Sdiv_ptg000015l_1260-R
OG0001878	Stapi.1951s0011, Stapi.5615s0003	Sdiv_ptg000009l_2752-R
OG0001879	Stapi.2219s0008	Sdiv_ptg000005l_1749-R
OG0001881	Stapi.13734s0002, Stapi.4408s0003	Sdiv_ptg000009l_2699-R
OG0001882	Stapi.2503s0007	Sdiv_ptg000009l_2672-R
OG0001882	Stapi.5085s0001	Sdiv_ptg000010l_0609-R
OG0001883	Stapi.1693s0006	Sdiv_ptg000015l_1334-R
OG0001883	Stapi.6631s0002	Sdiv_ptg000009l_2643-R, Sdiv_ptg000010l_0639-R
OG0001884	Stapi.1869s0007	Sdiv_ptg000009l_2622-R
OG0001885	Stapi.3549s0004	Sdiv_ptg000010l_0705-R
OG0001885	Stapi.1364s0012	Sdiv_ptg000009l_2590-R
OG0001886	Stapi.1307s0017, Stapi.5927s0001, Stapi.2622s0002	Sdiv_ptg000009l_2533-R, Sdiv_ptg000010l_0751-R
OG0001887	Stapi.7090s0003	Sdiv_ptg000009l_2489-R
OG0001888	Stapi.0145s0010, Stapi.4068s0001	Sdiv_ptg000012l_2037-R
OG0001889	Stapi.1443s0003	Sdiv_ptg000005l_1171-R
OG0001890	Stapi.0790s0020	Sdiv_ptg000010l_1003-R
OG0001891	Stapi.0924s0005	Sdiv_ptg000009l_2334-R
OG0001892	Stapi.1098s0010	Sdiv_ptg000004l_1484-R, Sdiv_ptg000010l_1027-R, Sdiv_ptg000009l_2254-R
OG0001893	Stapi.0265s0015	Sdiv_ptg000009l_2127-R
OG0001894	Stapi.6989s0005	Sdiv_ptg000009l_2098-R
OG0001894	Stapi.3179s0007	Sdiv_ptg000010l_1171-R
OG0001894	Stapi.3179s0006	Sdiv_ptg000010l_1170-R
OG0001895	Stapi.8100s0003	Sdiv_ptg000004l_2018-R
OG0001896	Stapi.0810s0004	Sdiv_ptg000009l_1985-R
OG0001896	Stapi.17401s0001, Stapi.0957s0003, Stapi.13708s0001	Sdiv_ptg000010l_1291-R
OG0001898	Stapi.5774s0006	Sdiv_ptg000009l_0941-R
OG0001898	Stapi.3650s0003	Sdiv_ptg000001l_2272-R
OG0001899	Stapi.3277s0002, Stapi.0851s0001	Sdiv_ptg000010l_2087-R
OG0001900	Stapi.23259s0001	Sdiv_ptg000010l_2173-R
OG0001900	Stapi.0250s0025, Stapi.0250s0028	Sdiv_ptg000010l_2172-R
OG0001900	Stapi.2446s0012	Sdiv_ptg000009l_0754-R
OG0001901	Stapi.1312s0012	Sdiv_ptg000009l_0753-R
OG0001901	Stapi.31458s0001, Stapi.11299s0003, Stapi.16066s0001, Stapi.0250s0027	Sdiv_ptg000010l_2174-R
OG0001903	Stapi.2347s0003	Sdiv_ptg000009l_0561-R
OG0001904	Stapi.3957s0005, Stapi.0355s0005	Sdiv_ptg000022l_0297-R
OG0001905	Stapi.5678s0004	Sdiv_ptg000010l_2471-R
OG0001906	Stapi.3343s0007	Sdiv_ptg000009l_0386-R
OG0001907	Stapi.5259s0003	Sdiv_ptg000001l_1578-R, Sdiv_ptg000013l_1511-R
OG0001908	Stapi.9274s0003	Sdiv_ptg000001l_1595-R
OG0001909	Stapi.12654s0001, Stapi.0800s0013, Stapi.1944s0010	Sdiv_ptg000010l_2652-R, Sdiv_ptg000009l_0278-R
OG0001910	Stapi.11801s0001	Sdiv_ptg000009l_0269-R, Sdiv_ptg000010l_2661-R
OG0001912	Stapi.8104s0003	Sdiv_ptg000001l_1674-R
OG0001913	Stapi.15190s0001, Stapi.10830s0001	Sdiv_ptg000009l_0186-R
OG0001914	Stapi.2816s0004	Sdiv_ptg000009l_0151-R
OG0001915	Stapi.3857s0008	Sdiv_ptg000013l_1699-R
OG0001918	Stapi.15590s0001, Stapi.1792s0001, Stapi.4475s0002, Stapi.0404s0009	Sdiv_ptg000012l_1989-R
OG0001919	Stapi.0365s0001, Stapi.3724s0001, Stapi.11537s0001, Stapi.9479s0001, Stapi.2574s0003, Stapi.2574s0004, Stapi.2788s0004	Sdiv_ptg000008l_0252-R
OG0001920	Stapi.6913s0003	Sdiv_ptg000013l_1372-R
OG0001922	Stapi.3156s0003	Sdiv_ptg000001l_1318-R
OG0001922	Stapi.0157s0015	Sdiv_ptg000013l_1258-R
OG0001924	Stapi.1563s0017	Sdiv_ptg000003l_1928-R, Sdiv_ptg000014l_0999-R, Sdiv_ptg000001l_1227-R
OG0001925	Stapi.1786s0007	Sdiv_ptg000015l_0005-R
OG0001927	Stapi.2872s0003	Sdiv_ptg000003l_1526-R
OG0001927	Stapi.7303s0001	Sdiv_ptg000013l_1054-R
OG0001929	Stapi.0579s0011	Sdiv_ptg000014l_1510-R
OG0001930	Stapi.1247s0013	Sdiv_ptg000014l_1471-R
OG0001931	Stapi.0736s0010	Sdiv_ptg000004l_0654-R
OG0001932	Stapi.1613s0004	Sdiv_ptg000001l_0793-R
OG0001933	Stapi.1460s0002	Sdiv_ptg000005l_0294-R
OG0001934	Stapi.0362s0013	Sdiv_ptg000005l_0270-R
OG0001934	Stapi.0586s0020	Sdiv_ptg000001l_0748-R
OG0001935	Stapi.1881s0016, Stapi.9530s0004	Sdiv_ptg000009l_3027-R
OG0001940	Stapi.5405s0002, Stapi.18655s0001, Stapi.5250s0005	Sdiv_ptg000027l_0284-R
OG0001940	Stapi.2460s0005, Stapi.0850s0010	Sdiv_ptg000004l_0040-R
OG0001941	Stapi.5023s0005	Sdiv_ptg000012l_2279-R, Sdiv_ptg000007l_0077-R, Sdiv_ptg000004l_0055-R
OG0001942	Stapi.1055s0002	Sdiv_ptg000010l_1952-R, Sdiv_ptg000009l_0979-R
OG0001943	Stapi.3975s0001, Stapi.13903s0001, Stapi.2710s0013	Sdiv_ptg000004l_1758-R
OG0001945	Stapi.2667s0005	Sdiv_ptg000005l_1391-R
OG0001945	Stapi.2651s0002	Sdiv_ptg000004l_1683-R
OG0001946	Stapi.6535s0001	Sdiv_ptg000013l_0078-R, Sdiv_ptg000011l_0079-R
OG0001947	Stapi.3305s0005	Sdiv_ptg000003l_1688-R
OG0001948	Stapi.1508s0015, Stapi.0724s0005	Sdiv_ptg000004l_0183-R
OG0001949	Stapi.0819s0014	Sdiv_ptg000010l_1958-R
OG0001951	Stapi.2045s0010, Stapi.1916s0006	Sdiv_ptg000010l_1933-R
OG0001952	Stapi.11911s0002	Sdiv_ptg000003l_2786-R
OG0001952	Stapi.10169s0003	Sdiv_ptg000014l_0171-R
OG0001953	Stapi.0387s0020	Sdiv_ptg000009l_1528-R
OG0001954	Stapi.0651s0011	Sdiv_ptg000009l_1547-R
OG0001954	Stapi.0173s0014	Sdiv_ptg000010l_1701-R
OG0001955	Stapi.24038s0001, Stapi.3130s0012	Sdiv_ptg000005l_0819-R, Sdiv_ptg000004l_1137-R
OG0001957	Stapi.0843s0008, Stapi.0843s0006	Sdiv_ptg000010l_1670-R
OG0001958	Stapi.0111s0035	Sdiv_ptg000003l_1740-R
OG0001958	Stapi.2084s0005, Stapi.8940s0001	Sdiv_ptg000003l_1741-R
OG0001959	Stapi.2157s0008	Sdiv_ptg000015l_1559-R
OG0001959	Stapi.7928s0003	Sdiv_ptg000012l_0065-R
OG0001960	Stapi.0991s0002	Sdiv_ptg000012l_0055-R, Sdiv_ptg000004l_2157-R, Sdiv_ptg000005l_1842-R
OG0001961	Stapi.0681s0002	Sdiv_ptg000022l_0924-R
OG0001962	Stapi.4253s0002, Stapi.0405s0005	Sdiv_ptg000022l_0901-R
OG0001963	Stapi.0115s0022, Stapi.1411s0004	Sdiv_ptg000022l_0857-R
OG0001964	Stapi.0441s0013, Stapi.5319s0002	Sdiv_ptg000002l_0882-R
OG0001965	Stapi.0405s0015	Sdiv_ptg000003l_2665-R, Sdiv_ptg000008l_0805-R
OG0001967	Stapi.2211s0005, Stapi.0731s0006	Sdiv_ptg000022l_0753-R
OG0001969	Stapi.2675s0003	Sdiv_ptg000001l_0196-R
OG0001970	Stapi.4699s0003	Sdiv_ptg000001l_0209-R
OG0001972	Stapi.1649s0001	Sdiv_ptg000005l_1661-R, Sdiv_ptg000004l_1970-R
OG0001973	Stapi.2843s0005, Stapi.8830s0005	Sdiv_ptg000004l_1937-R
OG0001973	Stapi.8830s0001, Stapi.16725s0002	Sdiv_ptg000005l_1629-R
OG0001974	Stapi.1177s0004	Sdiv_ptg000013l_0425-R
OG0001975	Stapi.0006s0022	Sdiv_ptg000008l_0401-R
OG0001975	Stapi.0030s0009	Sdiv_ptg000022l_0420-R
OG0001976	Stapi.14958s0002	Sdiv_ptg000001l_1617-R
OG0001977	Stapi.0095s0023, Stapi.0095s0029	Sdiv_ptg000002l_1086-R
OG0001978	Stapi.5813s0001	Sdiv_ptg000001l_1772-R
OG0001979	Stapi.4697s0002	Sdiv_ptg000007l_0324-R
OG0001979	Stapi.2213s0003	Sdiv_ptg000012l_2015-R
OG0001980	Stapi.2700s0001, Stapi.5887s0001, Stapi.0026s0004, Stapi.1284s0007	Sdiv_ptg000012l_1961-R
OG0001982	Stapi.0421s0009	Sdiv_ptg000089l_0003-R, Sdiv_ptg000089l_0014-R, Sdiv_ptg000129l_0004-R, Sdiv_ptg000839c_0005-R, Sdiv_ptg000958l_0004-R, Sdiv_ptg000050l_0002-R
OG0001986	Stapi.0356s0022	Sdiv_ptg000012l_1230-R
OG0001986	Stapi.3813s0002	Sdiv_ptg000007l_1002-R
OG0001987	Stapi.6504s0002	Sdiv_ptg000012l_1019-R
OG0001987	Stapi.8018s0001	Sdiv_ptg000007l_1197-R
OG0001988	Stapi.2340s0004	Sdiv_ptg000002l_0627-R
OG0001989	Stapi.2532s0001	Sdiv_ptg000005l_0049-R
OG0001989	Stapi.4572s0002	Sdiv_ptg000011l_0017-R, Sdiv_ptg000013l_0022-R
OG0001995	Stapi.0991s0013	Sdiv_ptg000012l_2107-R, Sdiv_ptg000012l_2097-R
OG0001996	Stapi.10128s0001	Sdiv_ptg000007l_0222-R
OG0001998	Stapi.2130s0004	Sdiv_ptg000014l_0689-R
OG0001999	Stapi.0460s0018, Stapi.2354s0005, Stapi.0533s0006, Stapi.4859s0003, Stapi.0231s0001, Stapi.2164s0006, Stapi.0533s0005	Sdiv_ptg000007l_0199-R
OG0002001	Stapi.6495s0002	Sdiv_ptg000012l_2240-R, Sdiv_ptg000007l_0123-R, Sdiv_ptg000012l_2250-R
OG0002003	Stapi.4797s0002, Stapi.9063s0002, Stapi.0273s0006, Stapi.9090s0003	Sdiv_ptg000013l_0062-R, Sdiv_ptg000011l_0061-R
OG0002005	Stapi.0153s0006, Stapi.0925s0003, Stapi.0153s0004, Stapi.0153s0003, Stapi.0925s0004, Stapi.0153s0005	Sdiv_ptg000022l_0445-R
OG0002007	Stapi.8136s0005	Sdiv_ptg000022l_1776-R
OG0002008	Stapi.14897s0001	Sdiv_ptg000015l_2230-R
OG0002008	Stapi.3745s0003	Sdiv_ptg000016l_0127-R
OG0002009	Stapi.11204s0002	Sdiv_ptg000022l_1989-R
OG0002010	Stapi.4244s0001	Sdiv_ptg000007l_0346-R
OG0002010	Stapi.4332s0005	Sdiv_ptg000014l_0582-R
OG0002011	Stapi.3217s0004	Sdiv_ptg000014l_0721-R
OG0002011	Stapi.4238s0001	Sdiv_ptg000005l_1089-R
OG0002012	Stapi.2008s0001	Sdiv_ptg000003l_2290-R
OG0002013	Stapi.1095s0010	Sdiv_ptg000014l_0869-R, Sdiv_ptg000003l_2057-R
OG0002014	Stapi.2346s0002	Sdiv_ptg000014l_0932-R, Sdiv_ptg000003l_1998-R
OG0002014	Stapi.1113s0002	Sdiv_ptg000007l_0969-R
OG0002015	Stapi.1894s0008	Sdiv_ptg000014l_1040-R, Sdiv_ptg000003l_1889-R
OG0002017	Stapi.3493s0006, Stapi.1293s0013	Sdiv_ptg000003l_1880-R
OG0002018	Stapi.23741s0001	Sdiv_ptg000002l_2065-R
OG0002019	Stapi.2983s0005	Sdiv_ptg000003l_0134-R
OG0002021	Stapi.6134s0006, Stapi.5192s0005, Stapi.8106s0005	Sdiv_ptg000014l_0243-R
OG0002022	Stapi.30120s0001, Stapi.5250s0004	Sdiv_ptg000014l_0203-R
OG0002025	Stapi.1551s0004	Sdiv_ptg000014l_1382-R, Sdiv_ptg000003l_0445-R
OG0002026	Stapi.0580s0002	Sdiv_ptg000014l_1401-R
OG0002028	Stapi.3900s0005	Sdiv_ptg000014l_2516-R
OG0002028	Stapi.3455s0005	Sdiv_ptg000004l_1356-R
OG0002030	Stapi.3607s0001, Stapi.5495s0001	Sdiv_ptg000013l_0335-R, Sdiv_ptg000011l_0334-R
OG0002031	Stapi.0202s0015, Stapi.15441s0001, Stapi.0202s0016, Stapi.3617s0007	Sdiv_ptg000005l_0831-R, Sdiv_ptg000005l_0885-R
OG0002032	Stapi.3617s0004	Sdiv_ptg000004l_1192-R
OG0002032	Stapi.0202s0003, Stapi.2551s0004	Sdiv_ptg000004l_1190-R
OG0002033	Stapi.3883s0004	Sdiv_ptg000005l_0876-R
OG0002034	Stapi.3124s0003	Sdiv_ptg000010l_1653-R
OG0002035	Stapi.0097s0020, Stapi.3435s0002	Sdiv_ptg000005l_0730-R
OG0002036	Stapi.2642s0005	Sdiv_ptg000005l_0669-R
OG0002036	Stapi.3679s0005	Sdiv_ptg000004l_0990-R
OG0002037	Stapi.0720s0002	Sdiv_ptg000001l_0391-R
OG0002037	Stapi.5977s0004, Stapi.1288s0002, Stapi.0383s0004	Sdiv_ptg000011l_0362-R, Sdiv_ptg000013l_0361-R
OG0002038	Stapi.0332s0012	Sdiv_ptg000001l_0375-R
OG0002039	Stapi.5090s0004	Sdiv_ptg000001l_0350-R
OG0002040	Stapi.0629s0002, Stapi.2375s0001	Sdiv_ptg000011l_0318-R, Sdiv_ptg000013l_0319-R
OG0002041	Stapi.12798s0001, Stapi.0716s0006, Stapi.5900s0001, Stapi.24235s0001, Stapi.2390s0005	Sdiv_ptg000001l_0317-R
OG0002042	Stapi.4459s0001, Stapi.6937s0001, Stapi.0316s0005	Sdiv_ptg000011l_0282-R, Sdiv_ptg000013l_0279-R
OG0002042	Stapi.0355s0008	Sdiv_ptg000001l_0299-R
OG0002043	Stapi.7663s0001	Sdiv_ptg000002l_1929-R
OG0002046	Stapi.5936s0003	Sdiv_ptg000002l_1221-R
OG0002046	Stapi.5936s0002	Sdiv_ptg000002l_1220-R
OG0002048	Stapi.9274s0001	Sdiv_ptg000001l_1594-R
OG0002049	Stapi.3857s0002	Sdiv_ptg000001l_1763-R
OG0002050	Stapi.4006s0001, Stapi.0486s0009, Stapi.1558s0001	Sdiv_ptg000005l_0335-R
OG0002051	Stapi.2834s0004	Sdiv_ptg000004l_0635-R
OG0002052	Stapi.0116s0020	Sdiv_ptg000004l_0615-R
OG0002053	Stapi.8932s0001	Sdiv_ptg000004l_0547-R
OG0002055	Stapi.10772s0001, Stapi.0413s0009, Stapi.0923s0005	Sdiv_ptg000004l_0481-R
OG0002055	Stapi.0413s0010	Sdiv_ptg000005l_0213-R
OG0002056	Stapi.0442s0004, Stapi.20918s0001	Sdiv_ptg000016l_0007-R, Sdiv_ptg000015l_2106-R
OG0002057	Stapi.6719s0001	Sdiv_ptg000015l_2108-R
OG0002057	Stapi.7558s0002	Sdiv_ptg000022l_1657-R
OG0002058	Stapi.3904s0007	Sdiv_ptg000003l_2600-R
OG0002059	Stapi.5174s0004, Stapi.10479s0001	Sdiv_ptg000014l_1305-R
OG0002060	Stapi.3234s0007	Sdiv_ptg000002l_1757-R
OG0002061	Stapi.5742s0006	Sdiv_ptg000003l_0359-R
OG0002061	Stapi.3234s0002	Sdiv_ptg000014l_1294-R
OG0002062	Stapi.1133s0001	Sdiv_ptg000014l_1207-R
